Department,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No, Amount ,Description,Post Code,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,24-01-2020,Contractor Costs,IT DIRECTORATE,CAPITA SECURE INFORMATION SOLUTIONS LIMITED,782783," £72,232.93 ",Customer Operations Traffic Management,SW1P 1QT,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,06-01-2020,Prepaid expenses - admin,FINANCE & BUSINESS SERVICES,CRAIGARD (SHERWOOD PARK) LIMITED,781353," £72,143.10 ",Corporate,PO15 7FJ,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,07/01/2020,CurrGrt Las in AEF/A,Local,HERTFORDSHIRE ACTION ON DISABILITY,8100006861," £72,088.00 ",Mobility Centres Q4 2019-20,AL7 4DD,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,08/01/2020,CurrGrt Las in AEF/A,Local,HERTFORDSHIRE ACTION ON DISABILITY,2000020597," £72,088.00 ",Mobility Centres Q4 2019-20,AL7 4DD,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,07/01/2020,CurrGrt Las in AEF/A,Local,Driving Mobility,8100006865," £71,954.00 ",Mobility Centres Q4 2019-20,TR1 2ES,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,08/01/2020,CurrGrt Las in AEF/A,Local,Driving Mobility,2000020599," £71,954.00 ",Mobility Centres Q4 2019-20,TR1 2ES,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,01/01/2020,P40020 - Stakeholder Engagement,It Services,SITEL UK LTD,#," £71,928.41 ",Public help desk and enquiry service,,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,21-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,J MCCANN & CO (NOTTM) LIMITED,CONF9075201641716577," £71,906.40 ",Renewals of Roads,NG9 6DQ,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,09-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,INTERSERVE CONSTRUCTION LIMITED,781624," £71,400.00 ",Cycling Feasibility,B37 7HQ,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,01/01/2020,000000 AUC - Phase 1,AUC - Phase 1,TURNER & TOWNSEND COST MANAGEMENT LTD,#," £71,281.20 ",Commercial Management Services for the Planning and Development of Stations,,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,01/01/2020,P40030 - Chief Operating Officer (COO),Memberships & Subscriptions,GIA,#," £71,265.60 ",Rights of light expert advice for Euston Estates Dispute ,,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,15/01/2020,Financial Consultanc,DG_Rail - Passenger Services,ERNST & YOUNG LLP,2000021125," £71,229.40 ",#,SE1 2AF,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,23/01/2020,Maintenance Other,Strategic Roads,Q-Free (Bristol) UK Limited,2000021811," £71,010.00 ",#,BS24 9BP,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,15/01/2020,IT Ser Running Costs,"Road Safety, Standards and Services",DELOITTE LLP,2000021121," £70,967.77 ",#,MK9 1FD,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,09/01/2020,Research,"Energy,Technology & Innovation",Emissions Analytics Limited,2000020688," £70,800.00 ",#,SO22 5QX,,,,,,,,,,,,,,,,,,,
Department For Transport,British Transport Police,02/01/2020,Building Rental,Manchester Victoria,Peninsula Business Services Limited,498662," £70,488.00 ",Building Rental,M4 4FB,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,14-01-2020,Contractor Costs,OPERATIONS DIRECTORATE,SOFTWARE BOX LIMITED,782017," £70,284.12 ",Customer Operations Traffic Officer Service,YO61 1ET,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,31-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,TURNER & TOWNSEND,783515," £70,086.03 ",Support General Other,LS18 4GH,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,21-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,JOINTLINE LIMITED,CONF9074701841717768," £70,039.02 ",Renewals of Roads,LN6 9TW,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,22-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,H W MARTIN (TRAFFIC MANAGEMENT) LTD,CONF9075501941715344," £69,470.52 ",Renewals of Roads,DE55 5JY,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,22-01-2020,Contractor Costs,IT DIRECTORATE,CHUBB SYSTEMS,782566," £69,420.00 ",Technology Maintenance,BB1 2PR,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,07-01-2020,Consultants Costs,OPERATIONS DIRECTORATE,CH2M HILL UNITED KINGDOM,781392," £68,942.04 ",Operate General Other,W6 7EF,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,15/01/2020,Subsidies Private Se,Local,ROSSENDALE TRANSPORT LTD,2000021079," £68,756.92 ",Rossendale Transport Ltd,BB4 4RS,,,,,,,,,,,,,,,,,,,
Department For Transport,Maritime and Coastguard Agency,17/01/2020,Utilities - Electricity,Regional Estates,British Gas,233082868," £68,624.83 ","Electricity charges, standing charges and CCL",GU95 1AW,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,29-01-2020,TA Cost AUC - Programme,IT DIRECTORATE,MOTT MACDONALD GROUP LTD,783163," £68,413.25 ",Support General ICT Programme,CR0 2EE,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,07/01/2020,CurrGrt Las in AEF/A,Local,DISABLED LIVING CENTRE,8100006866," £68,229.00 ",Mobility Centres Q4 2019-20,BS16 2QQ,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,08/01/2020,CurrGrt Las in AEF/A,Local,DISABLED LIVING CENTRE,2000020585," £68,228.00 ",Mobility Centres Q4 2019-20,BS16 2QQ,,,,,,,,,,,,,,,,,,,
DEPARTMENT FOR TRANSPORT,Driver and Vehicle Standards Agency ,10/01/2020,PROPERTY MAINTENANCE,PROPERTY INVESTMENT,KIER SERVICES LIMITED,5100009099," £68,071.56 ",WORKS & FEES,CM20 2SE,GB586676181,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,15-01-2020,RM - Electricity costs,FINANCE & BUSINESS SERVICES,BRITISH GAS TRADING LIMITED,782099," £67,955.90 ",Routine Maintenance,GU95 1AW,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,10/01/2020,P40010 - Safety and Assurance,Office Accommodation,CONTROL RISKS GROUP LIMITED,#," £67,944.10 ",Safety and Assurance,,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,29-01-2020,Contractor Costs,IT DIRECTORATE,ACTICA CONSULTING LIMITED,783126," £67,836.40 ",Customer Operations Traffic Management,GU2 7RF,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,15-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,HANSON CONTRACTING,782028," £67,349.55 ",Renewals of Roads,SL6 4JJ,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,24-01-2020,Contractor Costs,OPERATIONS DIRECTORATE,HAMMOND (ECS) LTD,782786," £67,194.38 ",Protocol HRE,CF44 0AE,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,08-01-2020,PFI Service Payments,OPERATIONS DIRECTORATE,CONNECT M1-A1 LTD,781492," £66,996.89 ",Operate Roads PFI Service Payments,NW1 3AX,,,,,,,,,,,,,,,,,,,
DEPARTMENT FOR TRANSPORT,Driver and Vehicle Standards Agency ,10/01/2020,SOFTWARE LICENCE CAPITAL,CVS - BETA-SOFTWARE,BJSS LIMITED,5100009018," £66,813.00 ",CVS ARCHITECTURAL ASSURANCE,LS1 2TW,GB613295452,,,,,,,,,,,,,,,,,,
Department For Transport,Driver & Vehicle Licensing Agency,25/01/2020,Machinery Maintenance,Operations,BOWE SYSTEC LTD,2000027468," £66,751.48 ",#,SL6 4DP,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,24-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,KIER HIGHWAYS LIMITED,CONF9213606630015863," £66,634.15 ",Renewals of Roads,SG19 2BD,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,10-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN LIMITED,781729," £66,303.64 ",Feasibility,SL6 4UB,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,14-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,KIER HIGHWAYS LIMITED,CONF9133304741362690," £66,186.06 ",Renewals of Roads,SG19 2BD,,,,,,,,,,,,,,,,,,,
Department For Transport,Driver & Vehicle Licensing Agency,21/01/2020,Mail Collection/Delivery Costs,Operations,DHL Parcel UK Ltd,2000027279," £66,179.79 ",#,SL1 4LZ,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,17-01-2020,Rental charges - Buildings,FINANCE & BUSINESS SERVICES,TURNER LOCKER BARNFIELD LIMITED,782315," £66,158.18 ",Support General Ex Admin,EX1 1QT,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,23-01-2020,"Admin building refurbishment, maintenance, repairs, inspections and advice",OPERATIONS DIRECTORATE,PERFECT CIRCLE JV LIMITED,782736," £66,000.00 ",Operate General Management Costs,LE1 1HA,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,20-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,SEVERN TRENT WATER LTD (CIS) DIVERT/CONNECT,782389," £65,824.46 ",RIS 1 Schemes,CV1 2LZ,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,30-01-2020,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,ASSOCIATED BRITISH PORTS,783340," £65,618.07 ",Renewals of Structures,IP4 1BY,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Support Services,Group Finance,Thompsons Solicitors,2000021751," £65,500.00 ",#,HA1 3AP,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,29/01/2020,Subsidies Private Se,Local,First Bus Shared Services,2000022223," £65,484.01 ",FIRST HAMPSHIRE & DORSET LTD,LS1 4HY,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,21-01-2020,RM Cost Reimbursable,OPERATIONS DIRECTORATE,RINGWAY INFRASTRUCTURE SERVICES LTD,CONF9670000346004429," £65,309.14 ",Routine Maintenance,EN1 1TH,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,24-01-2020,TA Cost AUC - Programme,"SAFETY, ENGINEERING AND STANDARDS",AMEY OW LIMITED,782754," £65,077.00 ",Air Quality,OX4 4DQ,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,15-01-2020,RM - Electricity costs,FINANCE & BUSINESS SERVICES,BRITISH GAS TRADING LIMITED,782116," £65,055.36 ",Routine Maintenance,GU95 1AW,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,01/01/2020,P10060 - Phase 1,Project Management,CH2M HILL UK,#," £65,000.40 ",Name Removed,,,,,,,,,,,,,,,,,,,,
DEPARTMENT FOR TRANSPORT,Driver and Vehicle Standards Agency ,31/01/2020,ELECTRICITY,VARIOUS SITES,EDFENERGY CUST PLC,4077080673," £64,968.62 ",VARIOUS SITES EDFENERGY CUST PLC,,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,29-01-2020,ICT Consultancy Costs,IT DIRECTORATE,BAE SYSTEMS APPLIED INTELLIGENCE,783259," £64,660.36 ",Support General ICT Programme,GU2 7YP,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,01/01/2020,P40030 - Chief Operating Officer (COO),"Assurance, Audit, Risk Services",OVE ARUP & PARTNERS LIMITED,#," £64,647.00 ","Phases 2 & 3 Scope - Expert advice inc  market research, SoC & engineering/construction advice, engagement, final report and conclusion ",,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,28-01-2020,CM - Compounds Maintenance,OPERATIONS DIRECTORATE,RINGWAY INFRASTRUCTURE SERVICES LTD,CONF9212012730016931," £64,519.05 ",Routine Maintenance,EN1 1TH,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,27-01-2020,TA Cost AUC - Programme,"SAFETY, ENGINEERING AND STANDARDS",TRL LTD,782960," £64,486.81 ",Air Quality,RG40 3GA,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,20-01-2020,TA Cost AUC - ICT (A),OPERATIONS DIRECTORATE,GOWLING WLG (UK) LLP (TR140),LOMD273577," £64,447.98 ",LNMS Other Economy,SE1 2AU,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,24-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,TELENT TECHNOLOGY SERVICES LIMITED,782791," £64,396.21 ",SR13 Smart Motorway Scheme,CV34 5AH,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,14/01/2020,P40035 - Chief Finance Officer,Software,FUJITSU SERVICES LTD,#," £64,339.20 ",RCO3-024 PCR225 - Technical Support for IT Project Portfolio,,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,09-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,MACE LTD,781647," £64,310.00 ",Support Enhancements,NW1 0LF,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,15-01-2020,CM - Time Based Charges,OPERATIONS DIRECTORATE,THE POLICE AND CRIME COMMISSIONER FOR DERBYSHIRE,782058," £64,192.20 ",Maintenance Other,DE5 3RS,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,15-01-2020,CM - Time Based Charges,OPERATIONS DIRECTORATE,THE POLICE AND CRIME COMMISSIONER FOR WEST YORKSHIRE,782033," £64,072.15 ",Routine Maintenance,WF1 3QP,,,,,,,,,,,,,,,,,,,
Department For Transport,Maritime and Coastguard Agency,06/01/2020,Telecoms Pws,Information & Communications Technology,Bt Global Services,233082268," £63,549.78 ",WAN bill - November 2019,NW9 6LB,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,01/01/2020,P40030 - Chief Operating Officer (COO),General Es,BAM NUTTALL LIMITED,#," £63,417.62 ",PH1 Ground Investigations Euston Area Client GI,,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,24-01-2020,Contractor Costs,OPERATIONS DIRECTORATE,FLEET SOLUTIONS,782768," £62,974.32 ",Customer Operations Traffic Management,B37 7YN,,,,,,,,,,,,,,,,,,,
Department For Transport,British Transport Police,10/01/2020,Fuel & Lubricants,Ps Fhq Fib,Allstar Fuel Card Services,500674," £62,649.60 ",Fuel & Lubricants,SN5 6PE,,,,,,,,,,,,,,,,,,,
Department For Transport,Driver & Vehicle Licensing Agency,30/01/2020,Mail Collection/Delivery Costs,Operations,ROYAL MAIL GROUP LIMITED,2000030163," £62,613.24 ",#,S49 1HQ,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,09-01-2020,PFI Service Payments,OPERATIONS DIRECTORATE,THE POLICE AND CRIME COMMISSIONER FOR KENT,781619," £62,548.00 ",Routine Maintenance,ME15 9BZ,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,31/01/2020,IT Ser Running Costs,Local,ITO World Limited,2000022536," £62,500.00 ",#,CB4 0DL,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,10-01-2020,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,KIER HIGHWAYS LIMITED,APC203938," £62,468.19 ",Renewals of Technology,SG19 2BD,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,27-01-2020,CM - Lump Sum Fees,IT DIRECTORATE,BALFOUR BEATTY CIVIL ENGINEERING LTD,782863," £62,441.25 ",Maintenance Other,SW1V 1LQ,,,,,,,,,,,,,,,,,,,
DEPARTMENT FOR TRANSPORT,Driver and Vehicle Standards Agency ,15/01/2020,SOFTWARE LICENCE CAPITAL,LEGACY DATA-SOFTWARE,KAINOS SOFTWARE LIMITED,5100008977," £62,337.90 ",AWS DATA MODELS ,BT7 1NT,GB180158418,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,15-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,HANSON CONTRACTING,782039," £62,267.77 ",Renewals of Roads,SL6 4JJ,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,13-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),APC203982," £62,233.58 ",Renewals of Roads,DL1 1TJ,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,02-01-2020,Consultants Costs,OPERATIONS DIRECTORATE,ARS TRAFFIC & TRANSPORT TECHNOLOGY B.V.,781229," £62,224.07 ",Protocol Abnormal & Indivisible Loads,2508,,,,,,,,,,,,,,,,,,,
DEPARTMENT FOR TRANSPORT,Driver and Vehicle Standards Agency ,22/01/2020,SUBCONTRACTED SERVICE,FINANCE CORPORATE,DEPARTMENT FOR INFRASTRUCTURE,1900009086," £61,958.00 ",LICSENSING PAYMENT - DEC 2019,BT2 8GB,GB888808059,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,02-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,BT OPENREACH (CIS) DIVERT/CONNECT,781243," £61,830.79 ",RIS 1 Schemes,S1 3EF,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,13-01-2020,TA Cost AUC - ICT (A),MAJOR PROJECTS,EVERSHEDS SUTHERLAND (INTERNATIONAL) LLP (TR140),LOMD273495," £61,495.99 ",Legacy Schemes,CF10 5BT,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,02/01/2020,P40040 - Human Resources,Recruitment Fees,COMENSURA LTD,#," £61,408.20 ",NV Interim and temporary agency costs ,,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,16-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,GEORGE CORDEROY & CO,782177," £61,310.62 ",SR13 Smart Motorway Scheme,ME18 5NN,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,31-01-2020,TA Cost AUC - Programme,IT DIRECTORATE,WSP UK LIMITED,783520," £61,282.87 ",Operate General Management Costs,WC2A 1AF,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,31-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,MOTT MACDONALD SWECO,783533," £61,248.72 ",Feasibility,SO50 9NW,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,31-01-2020,TA Cost AUC - ICT (A),IT DIRECTORATE,TELEFONICA O2 UK LIMITED,783435," £61,236.00 ",Support General Corporate Services,MK77 1UB,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,08-01-2020,TA Cost AUC - Programme,COMMERCIAL & PROCUREMENT,ERNST & YOUNG LLP,781533," £61,146.35 ",Innovation Safety Delivery,SE1 2AF,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,14-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,CARNELL SUPPORT SERVICES,CONF9104400241005270," £61,129.17 ",Renewals of Roads,ST19 5DJ,,,,,,,,,,,,,,,,,,,
Department For Transport,British Transport Police,10/01/2020,Fuel & Lubricants,Ps Fhq Fib,Allstar Fuel Card Services,500675," £61,099.93 ",Fuel & Lubricants,SN5 6PE,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,14/01/2020,P20070 - Phase 2,General Es,BALFOUR BEATTY CIVIL ENGINEERING LTD,#," £61,016.15 ",Work Package 1B (Ph2B) ERP,,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,IT Ser Running Costs,Local,Civica UK Ltd,2000021739," £60,906.01 ",#,DY1 4TD,,,,,,,,,,,,,,,,,,,
Department For Transport,British Transport Police,02/01/2020,Auc - It Equipment,Capital Control Account,The Police And Crime Commissioner For Sussex,499017," £60,840.00 ",Auc - It Equipment,BN7 2DZ,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,27/01/2020,Cap Grt Loc Auth,"Energy,Technology & Innovation",Portsmouth City Council,2000022030," £60,698.00 ",Portsmouth On Street,PO1 2AL,,,,,,,,,,,,,,,,,,,
Department For Transport,Driver & Vehicle Licensing Agency,22/01/2020,Mail Collection/Delivery Costs,Operations,ROYAL MAIL GROUP LIMITED,2000029379," £60,589.67 ",#,S49 1HQ,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,23-01-2020,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,SOUTH WEST HIGHWAYS LTD,CONF9214302642115950," £60,581.60 ",Environment Water Quality Delivery,EX5 2HB,,,,,,,,,,,,,,,,,,,
DEPARTMENT FOR TRANSPORT,Driver and Vehicle Standards Agency ,16/01/2020,IT SERVICE RUNNING COSTS,TSS - TARS,BJSS LIMITED,5100009088," £60,500.00 ",TARS SUPPORT,LS1 2TW,GB613295452,,,,,,,,,,,,,,,,,,
Department For Transport,Driver & Vehicle Licensing Agency,16/01/2020,Mail Collection/Delivery Costs,Operations,ROYAL MAIL GROUP LIMITED,2000028854," £60,214.11 ",#,S49 1HQ,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,14-01-2020,CM - Lump Sum Fees,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF9070005041728674," £60,209.63 ",Routine Maintenance,CB25 9PG,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,07/01/2020,Other Professional F,Maritime,HOME OFFICE SHARED SERVICE CENTRE,2000020494," £60,000.00 ",#,NP20 9BB,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,30-01-2020,ICT Consultancy Costs,IT DIRECTORATE,MOZAIC SERVICES LIMITED,783330," £60,000.00 ",Operate General Management Costs,EC2R 7HG,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,22/01/2020,Cap Grt Pri Sec-Cos.,"Energy,Technology & Innovation",Riversimple Movement Ltd,2000021769," £59,974.74 ",Hydrogen for Transport Programme (Stage 2),LD1 6DF,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,28-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,TELENT TECHNOLOGY SERVICES LIMITED,783116," £59,948.49 ",SR13 Smart Motorway Scheme,CV34 5AH,,,,,,,,,,,,,,,,,,,
Department For Transport,Driver & Vehicle Licensing Agency,14/01/2020,Info Broker Costs,Information Services,Mobilise Cloud Services Limited,2000027000," £59,893.93 ",#,LD3 7JL,,,,,,,,,,,,,,,,,,,
Department For Transport,British Transport Police,10/01/2020,Fuel & Lubricants,Fhq Scenes Of Crime,Allstar Fuel Card Services,500676," £59,880.84 ",Fuel & Lubricants,SN5 6PE,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,09/01/2020,Research,Aviation,Civil Aviation Authority,2000020708," £59,857.00 ",#,RH6 0YR,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,29-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,GEOFFREY OSBORNE LTD,783249," £59,753.55 ",SR13 RIP Schemes,RH2 9PY,,,,,,,,,,,,,,,,,,,
Department For Transport,Maritime and Coastguard Agency,22/01/2020,Telecoms Pws,Information & Communications Technology,Bt Global Services,233082974," £59,533.41 ",MCA WAN Bill Dec 2019,NW9 6LB,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,17-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,AECOM INFRASTRUCTURE & ENVIRONMENT UK LIMITED,782285," £59,479.08 ",Renewals of Roads,RG21 7PP,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,01/01/2020,000000 AUC - Phase 1,AUC - Phase 1,BRITISH TELECOMMUNICATIONS PLC,#," £59,344.39 ",PMO 18-21,,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,24-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,WSP UK LIMITED,782823," £59,311.58 ",Feasibility,WC2A 1AF,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,10-01-2020,ICT Software Maintenance,IT DIRECTORATE,VODAFONE LIMITED (TELEPHONE ACCOUNTS),781763," £59,276.36 ",Support General Corporate Services,SE1 0SL,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,03-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,PELL FRISCHMANN,781248," £59,275.28 ",SR13 Smart Motorway Scheme,WF1 1LY,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,09-01-2020,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,WSP UK LIMITED,781687," £59,223.09 ",Renewals of Technology,WC2A 1AF,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,01/01/2020,Basic Franchise Rec,DG_Rail - Passenger Services,Arriva Rail North Limited,2000020163," £58,824.85 ",2010 Wk4 Northern DR15 Payments 2019/20 Period 10,M1 2NF,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,29/01/2020,Basic Franchise Rec,DG_Rail - Passenger Services,Arriva Rail North Limited,2000022333," £58,824.85 ",2011 Wk4 Northern DR15 Payments 2019/20 Period 11,M1 2NF,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,29-01-2020,Consultants Costs,CORP AFFAIRS & COMMS DIR,S8080 LIMITED,783242," £58,788.00 ",Support General Other,SA1 8PH,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,29-01-2020,TA Cost AUC - Programme,IT DIRECTORATE,MOTT MACDONALD GROUP LTD,783165," £58,732.32 ",Operate General Management Costs,CR0 2EE,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,10/01/2020,Mobile Phone charges,Group Assurance,EE Ltd,2000020780," £58,718.47 ",98871186 - 01.01.2020,S98 1PS,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,22/01/2020,000000 AUC - Phase 1,AUC - Phase 1,BRITISH TELECOMMUNICATIONS PLC,#," £58,571.02 ",PMO 18-21,,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,22-01-2020,TA Cost AUC - Programme,"SAFETY, ENGINEERING AND STANDARDS",CACI LTD,782604," £58,453.25 ",Innovation Safety Delivery,W14 8TS,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,10-01-2020,Consultants Costs,OPERATIONS DIRECTORATE,KIER HIGHWAYS LIMITED,APC203944," £58,312.22 ",Operate S274/S278,SG19 2BD,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,23-01-2020,Contractor Costs,OPERATIONS DIRECTORATE,SOUTH WEST HIGHWAYS LTD,CONF9214302642145137," £58,171.31 ",Renewals of Roads,EX5 2HB,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,30-01-2020,Consultants Costs,"SAFETY, ENGINEERING AND STANDARDS",IBI GROUP (UK) LTD,783349," £58,058.60 ",TM - Other,G2 1BT,,,,,,,,,,,,,,,,,,,
Department For Transport,British Transport Police,22/01/2020,Season Ticket Loan,Force Balance Sheet (Excl.Far),Rsp Rail Travel Account,501142," £58,028.00 ",Season Ticket Loan,NG9 2ND,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,06/01/2020,Apprentice Levy C/A,#NoData,PAYE,2000020377," £58,025.00 ",3rd Party Payments - December 2019,#,,,,,,,,,,,,,,,,,,,
