Entity,Transaction Posting Date,Merchant Name,Amount,Description
EA,21/08/2013,HSS HIRE,£714.10,Dehumidifiers for Kempsey Incident Recovery
EA,21/08/2013,HSS HIRE,"£1,420.00",Security deposit for air conditioning hired during heatwave
EA,21/08/2013,HUMAN APPLICATIONS LIM,"£1,237.99",Ergonomic Vehicle assessment for one person for occupational health purposes - Kent and South London Hydrometry and Telemetry team
EA,21/08/2013,HYDROKIT,"£1,850.97",Six splayed base copper rain gauges for Hydrometry and Telemetry team
EA,21/08/2013,HYPHOSE LTD,"£1,740.00",New hydraulic lock gate operating rams for Teddington Lock - River Thames
EA,21/08/2013,I M G LTD,"£1,153.16","Oil-only spill kit, four boxes of one hundred red rags and carriage charge"
EA,21/08/2013,I M G LTD,"£1,150.36",48 one-litre degreaser bottles for degreasing of assets in the field
EA,21/08/2013,I M G LTD,£856.03,Two cases of six lots of Natural Force (specialist product) plus two boxes of ten lots of sealant - Thames Barrier
EA,21/08/2013,IEMA LTD,£900.00,Accreditation for Continuing Professional Development renewal for twelve months
EA,21/08/2013,IEMA LTD,£900.00,Accreditation for Continuing Professional Development renewal for twelve months
EA,21/08/2013,IET EVENTS,"£1,148.40",Fees for three people attending a one-day workshop on Electrical Safety 
EA,21/08/2013,INDUSTRIAL EQPMNT & S-,"£1,024.68","Brushes, wrenches, batteries for Field Teams - in Osney stores"
EA,21/08/2013,INDUSTRIAL EQPMNT & S-,£944.08,"Saws, blades, tape for Field Teams - in Osney stores"
EA,21/08/2013,INDUSTRIAL EQPMNT & S-,£932.56,"Rope, cutters, tool case for Field Teams - in Osney stores"
EA,21/08/2013,INDUSTRIAL EQPMNT & S-,£921.26,24 Yale padlocks and six lots of cleaning suppliers for Field Teams at Osney Yard
EA,21/08/2013,INDUSTRIAL EQPMNT & S-,£833.04,Handrails and pipe clamps for Benson walkway repairs
EA,21/08/2013,INFORM (UK) LTD,"£4,680.00",One thousand units of sealant for site works
EA,21/08/2013,INTERNAT' STUDENTS HOU,"£1,195.00",Room and equipment hire plus refreshments for ten people for a two-day meeting
EA,21/08/2013,IRON MOUNTAIN UK LTD,"£1,010.93",Offsite storage documents that have to be kept for records
EA,21/08/2013,J C PHILLIPS & SON,£729.60,Gravel for defence repair at Dorset field services
EA,21/08/2013,J GLIDDON & SONS L,£586.80,Operational equipment - strimmer 
EA,21/08/2013,JABEZ CONCRETE,£572.83,Six metres of concrete for Camelford Wall repair
EA,21/08/2013,JACKSONS FENCING,"£1,349.81","Fencing, posts and gate for Tenbury Gauging Station"
EA,21/08/2013,JACTONE PRODUCTS LTD,"£4,875.76",37 freestanding Health and Safety lock stands 
EA,21/08/2013,JACTONE PRODUCTS LTD,"£1,828.18",Manufacture and installation of seven Environment Agency National Laboratory Service signs
EA,21/08/2013,JACTONE PRODUCTS LTD,£680.08,Inserts for Health and Safety lock stands
EA,21/08/2013,JACTONE PRODUCTS LTD,£640.28,Five storyboard prints and two frames acting as a visual representation of a Director's meeting so that staff in the North West and Head Office are aware of what was agreed
EA,21/08/2013,JACTONE PRODUCTS LTD,£500.76,Manufacture of Environment Agency branded tablecloth for Flood and Coastal Risk Management Community Engagement events
EA,21/08/2013,JCA (OP) LIMITED,£985.03,Flood and Coastal Risk Management Climate Survey project fees
EA,21/08/2013,JCA (OP) LIMITED,£600.00,Emotional Intelligence Reports for five people
EA,21/08/2013,JEMPSONS COMMERCIAL LT,£829.05,Supply and fitting of roof rack to Land Rover - Scots Float Yard
EA,21/08/2013,JEWSON LTD,£822.54,Sheet plywood and joists
EA,21/08/2013,JOHN DAVIDSON PIPE,£958.72,600mm pipes for Camelford Wall repair
EA,21/08/2013,JOHNSONS ENGINEERING L,"£1,193.81",Large steel component used to locate and lock gates into position so they can be hinged open and closed at Hambleden Lock - River Thames
EA,21/08/2013,JOHNSONS MOVING SE,"£2,895.72",Quarterly storage for furniture from Colvedene Court
EA,21/08/2013,JURYS BIRMINGHAM,"£5,000.00",Accommodation including evening meal for fifty people for one night attending Midlands Leadership Team meeting
EA,21/08/2013,JURYS BIRMINGHAM,"£1,232.00",Accommodation for nine people for one night plus room hire for 32 people attending Leadership Programme workshop
EA,21/08/2013,JURYS BIRMINGHAM,£948.00,Accommodation for three people for one night plus room hire for 32 people attending Leadership Programme workshop
EA,21/08/2013,JURYS BIRMINGHAM,£732.00,Accommodation for four people for one night plus room hire and refreshments for Technical Resilience team meeting
EA,21/08/2013,JURYS BIRMINGHAM,£705.00,Room hire and refreshments for five people attending Team Leader Assessment Day for the National Permitting Service
EA,21/08/2013,JURYS DOYLE AR,"£2,704.00",Accommodation and evening meal for two people for two nights and eight people for one night plus room and equipment hire for Coaching for Performance course
EA,21/08/2013,JURYS DOYLE AR,£746.00,Accommodation including evening meal for one person for one night plus room hire and refreshments for sixteen people attending Partnership and Collaboration for Managers course
EA,21/08/2013,K.& S.MCKENZIE LTD,£704.93,Hand tools and equipment
EA,21/08/2013,KASS STEEL STK HLDR LT,"£1,924.32",Hand railing for South Ferriby Depot
EA,21/08/2013,KEE PROCESS LTD,"£2,295.20",Repairs and servicing to Eynsham and Blake's Lock
EA,21/08/2013,KEMPSTON CONTROLS,£503.98,Two inclination sensors for gate inclinometer tests
EA,21/08/2013,KEYLINE,"£3,879.50","Geogrid for soil reinforcement and stabilisation - Riccall Depot, York"
EA,21/08/2013,KEYLINE,"£3,282.69","Geogrid, fencing and pegs used to reinforce soil for Clifton Ings"
EA,21/08/2013,KINGS LYNN & W NORFOLK,£856.83,"Annual National Non-Domestic Rates for Public Convenience Sluice Bank, Denver"
EA,21/08/2013,KINGSDOWN C A S,£773.35,"Service of air compressors at Generator House, Thames Barrier; plus compressor oil and service kits"
EA,21/08/2013,KINNARPS (UK) LTD,"£1,926.02",Two new desks and replacement desk parts for Ecological Appraisal Team at Red Kite House
EA,21/08/2013,KINNARPS (UK) LTD,"£1,810.22",Under-desk trunking for Carbon Reduction Commitment for Nuclear Regulations Team office
EA,21/08/2013,KINNARPS (UK) LTD,"£1,045.30","Two desktop screens/dividers, two floor/freestanding dividers, two stabilisers for the screens, six legs and two connecting pieces for for one person working on confidential documents in an open-plan office"
EA,21/08/2013,KINNARPS (UK) LTD,£635.80,One specialist ergonomic chair at Hafren House
EA,21/08/2013,KONE PLC,"£1,971.07",Half of the annual maintenance contract payment for the lifts at Guildbourne House.
EA,21/08/2013,L & S ENGINEERS LT,"£1,455.12",Four water transfer pumps and ten hose clips - Pevensey Office
EA,21/08/2013,LAMBERTS/NORWICH/LTD,"£2,378.65","Key Clamps and fittings for fencing at Cley Windmill, Norwich"
EA,21/08/2013,LANDMARK TRADING,"£2,133.24",Replacement of damaged pole sets held by Worcestershire field teams used to clear branches and debris causing blockages 
EA,21/08/2013,LEICA GEOSYSTEMS LIMIT,"£1,440.00",GPS (Global Positioning System) annual license
EA,21/08/2013,LEICA GEOSYSTEMS LIMIT,"£1,440.00",Renewal of Global Positioning System annual license
EA,21/08/2013,LEICA GEOSYSTEMS LIMIT,"£1,440.00",Renewal of Global Positioning System annual license 
EA,21/08/2013,LICENSED SOLITIONS 4,"£5,245.00",Accommodation and dinner for ten people for three nights plus a further night for two people plus room hire and day delegate rate for ten people attending a four-day Essential Enforcement course
EA,21/08/2013,LICENSED SOLUTIONS 6,"£2,507.00",Room hire for Anglian Northern Area Joint Team Meeting
EA,21/08/2013,LICHFIELD LOCK & KEY,£612.86,Padlocks for Environment Agency assets
EA,21/08/2013,LICHFIELD LOCK & KEY,"£1,532.16",Thirty padlocks for the Lower Dove Flood Alleviation Scheme to secure access gates 
EA,21/08/2013,LICHFIELD LOCK & KEY,"£1,283.27",24 padlocks and fifteen keys for Asset Performance Projects
EA,21/08/2013,LICHFIELD LOCK & KEY,"£1,225.73",24 Yale padlocks for access gates in the Midlands area
EA,21/08/2013,LIFTANDSHIFTU.COM,"£2,100.00",Lift and shift of rotenone chemical store
EA,21/08/2013,LINCOLN SECURITY LTD,"£3,550.80",Sixty padlocks for access gates
EA,21/08/2013,LINCOLN SECURITY LTD,"£1,958.40",250 navigation keys 
EA,21/08/2013,LINCOLN SECURITY LTD,£646.68,"Ten Environment Agency padlocks for use in three sites: Ashley, Fosters Bridge and Tallington"
EA,21/08/2013,LITTLEWOOD FENCING,"£2,478.00",Fencing posts and rails for River Ouse banks
EA,21/08/2013,LITTLEWOOD FENCING,£522.48,Palisade steel fencing around South East Kent and South London reservoirs
EA,21/08/2013,LOADING BAY SPECIA,"£3,194.40",Four access ramps to create pedestrian access over pump pipes during operation and incidents
EA,21/08/2013,LONG MOOR FARM ENT,£789.26,Maintenance for small machinery at Osney Yard
EA,21/08/2013,LRS OFFROAD,£527.98,Two ground anchors for use in two field team patches 
EA,21/08/2013,LUCKETTS TRAVEL,£561.00,Two-day minibus hire for South Coast site tour for team
EA,21/08/2013,M M P ANGLIA LTD,£895.00,Anti-slip sheeting for weed boat mooring pontoons
EA,21/08/2013,M U ENTERPRISES,£718.40,Venue hire and lunch for twelve people attending a Project Board meeting
EA,21/08/2013,M U ENTERPRISES,£611.60,Room hire for fourteen people attending the third phase of a Staff Programme 
EA,21/08/2013,M U ENTERPRISES,£606.00,Venue and catering for England and Wales Fisheries Group
EA,21/08/2013,M U ENTERPRISES,£596.40,Venue hire for Insurance Team meeting in London
EA,21/08/2013,M U ENTERPRISES,£593.00,Venue hire for fifteen people attending Water Research Environmental Meeting in London - 17 July 2013
EA,21/08/2013,M U ENTERPRISES,£569.00,Coastal Group Chairs conference fees including lunch and room hire
EA,21/08/2013,M U ENTERPRISES,£524.00,"Room hire for Company Level Environmental Accounting, Reporting and Information partner board meeting"
EA,21/08/2013,M U ENTERPRISES,£521.00,Room and refreshments for 25 day delegates for meeting
EA,21/08/2013,MACDONALD HOTELS MANCH,"£3,081.05",Room hire for one hundred people attending a River Restoration conference 
EA,21/08/2013,MAINTENANCE SUPPLIES L,"£3,120.00",Site barriers for River Irwell
EA,21/08/2013,MARINE MANAGEMENT,£500.00,Marine Management Organisation license
EA,21/08/2013,MARKETFORCE BUSINESS M,£810.00,Fee for one person attending Water 2013 conference
EA,21/08/2013,MARRIOTT,"£1,809.35","Accommodation for three people for one night plus room hire, lunch and refreshments for sixteen people attending Conflict Resolution two-day refresher course"
EA,21/08/2013,MARRIOTT,"£1,258.00","Room hire, lunch and refreshments for fourteen people for two days attending Lead Field Team Members training course"
EA,21/08/2013,MARRIOTT,£807.00,Training for twenty people attending Bullying and Harassment Advisor Training session
EA,21/08/2013,MARRIOTT,£640.90,Room hire for forty people attending third phase of Staff Programme 
EA,21/08/2013,MARTIN CHILDS LTD,"£1,812.00",350mm flanged duckbill for backflow prevention at Rewsalls Sluice
EA,21/08/2013,MARTINS RUBBER CO LTD,£554.53,Nitrile bushes for No. 1 Pump at Short Ferry
EA,21/08/2013,MARY WARD HOUSE LTD,"£1,637.50",Venue hire plus lunch for thirty people attending Aspire Graduation Programme in London
EA,21/08/2013,MARY WARD HOUSE LTD,"£1,067.04",Room hire with lunch and refreshments for National Project Support Officer event - 26 February 2013
EA,21/08/2013,MARY WARD HOUSE LTD,"£1,067.04",Room hire with lunch and refreshments for National Project Support Officer event - 26 February 2013
EA,21/08/2013,MARY WARD HOUSE LTD,£746.93,Room hire for meeting on Modelling and Risk to support operational Flood and Coastal Risk Management
EA,21/08/2013,MARY WARD HOUSE LTD,£615.60,Fees for thirty people attending Smarter Environmental Regulation Review training
EA,21/08/2013,MARY WARD HOUSE LTD,£533.52,Room hire plus lunch and refreshments for nine people attending a group meeting
EA,21/08/2013,MASCOM TECHNOLOGIES GM,"£2,503.87",Autosampler for dioxin instrument including delivery charge
EA,21/08/2013,MASSON SEELEY & CO,"£2,443.20",Supplying and fitting signs at Nene House for Health and Safety
EA,21/08/2013,MASSON SEELEY & CO,"£1,164.00",Three canoe-landing signage posts
EA,21/08/2013,MERCURE HATFIELD OAK H,£630.00,Room hire and lunch for 21 people attending North East Thames team-building exercise
EA,21/08/2013,MERCURE HOLLAND HOUSE,"£2,212.65",Accommodation for one person for two nights and six people for one night plus room hire and refreshments and delegate day rate for eleven people attending Advanced Influencing Skills for Managers course
EA,21/08/2013,MERCURE KIDDERMINS,"£1,790.85",Accommodation including evening meal for four people for one night plus room hire for two days for Site Leaders Programme training
EA,21/08/2013,MERCURE THAMES LODGE H,£502.70,Room hire and subsistence for site meeting with Large Projects Review Group and Defra
EA,21/08/2013,METCALFE (PLANT HI,£772.80,Move of plant equipment to different sites
EA,21/08/2013,METEOR COMMUNICATIONS,"£4,340.55",Parts and accessories for installation of Bude bathing water kiosk
EA,21/08/2013,METHODIST INT CEN,"£2,190.00",Room and equipment hire for 45 people attending Operation Managers meeting
EA,21/08/2013,METLAB SUPPLIES LT,"£1,284.36",Instrument consumable
EA,21/08/2013,METLAB SUPPLIES LT,"£1,004.02",Instrument consumable
EA,21/08/2013,METLAB SUPPLIES LT,£825.41,Chemical reagents
EA,21/08/2013,MIDMEDS LTD,£767.96,Refrigerator for new Ecology lab at Olympia House
EA,21/08/2013,MILLAR LANDSCAPES,"£3,168.00",Contractor for works undertaken on the River Irwell to clear a vast area of knotweed 
EA,21/08/2013,MILLENNIUM GLOUCES,£600.00,Accommodation for one person for five nights while attending a National Exam Board Occupational Health and Safety training course
EA,21/08/2013,MILLENNIUM GLOUCES,£600.00,Accommodation for five people attending a training course in London
EA,21/08/2013,MILLSTREAM ASSOCIATES,£954.00,Annual payment for filtered alerts concerning commercial tenders that may be of interest to the National Laboratory Service
EA,21/08/2013,MMS.CARDSAVEONLINEPAYM,£520.00,Storage for equipment for River Habitat Survey 
EA,21/08/2013,MOLE COUNTRY STORES LT,£936.96,"Galvanised gate slam post, Gate Ashbourne Box for Hydro"
EA,21/08/2013,MOLE VALLEY FARMERS,£662.40,Lightweight rubber surface mat for asphalt protection whilst using heavy excavators
EA,21/08/2013,MOLE VALLEY FARMERS,£534.90,"Barbed wire and fencing materials for Bridgwater, Somerset"
EA,21/08/2013,MUSEUM,£575.00,"Room hire, equipment and catering for Water Resources meeting "
EA,21/08/2013,MYTUM & SELBY,"£1,562.40","Skip hire for waste disposal from Tanghall Deck, James Street Screen"
EA,21/08/2013,NCH UK LTD,£580.32,One hundred cutting discs for Gloucestershire Operations Team
EA,21/08/2013,NEC SALES LEDGER,£930.00,Room hire for National Statistics meeting 
EA,21/08/2013,NETWORK RAIL INFRASTRU,"£4,691.83",Compound licence fee for Northern Ambition work
EA,21/08/2013,NEWBURY WELDING SUPPLI,"£1,194.00",Generator and welder for use by Flood and Coastal Risk Management officers at Caversham Lakes
EA,21/08/2013,NLI SHAREFILE,"£2,868.32",Monthly charges for Sharefile system
EA,21/08/2013,NORTHERN DIVER (INTNL),£522.00,Drysuit
EA,21/08/2013,NORTHERN POWERTOOLS &,£650.00,Stone saw for Bridge End Depot Field Team
EA,21/08/2013,NOSWAR SERVICES,£717.60,Dip bracket points for flood warning sites and the Hydrometry and Telemetry team
EA,21/08/2013,NOTHING BUT PADLOC,"£1,605.24",120 replacement water-quality padlocks
EA,21/08/2013,NOVOTEL SHEFFIELD,"£1,100.00",Room hire and lunch for fifty people attending Induction Day
EA,21/08/2013,NOVOTEL SHEFFIELD,£812.00,Room hire and lunch for thirty people attending National Trading and Regulatory Services Team Leader Network 
EA,21/08/2013,NPL NEW PIG LTD,"£1,807.20",Containers for pollution spill waste drums at Osney Yard
EA,21/08/2013,NPL NEW PIG LTD,£845.10,Absorbent mats used for oil spills
EA,21/08/2013,NUCLEAR INSTITUTE,£714.00,Venue hire and refreshments for The United Kingdom Decommissioning and Waste Management conference
EA,21/08/2013,NYCOMM LTD,£754.90,Twenty desk phones for Lutra House stock
EA,21/08/2013,NYCOMM LTD,£876.04,Replacement telephones plus acoustic adapters for call centre
EA,21/08/2013,NYS CORPORATE,£844.43,Venue and refreshments for Head Office Business Finance Quarterly Team Meeting
EA,21/08/2013,NYS CORPORATE,£624.84,"Room hire, equipment and lunch for workshops for the Catchment Restoration Fund project"
EA,21/08/2013,OAKLEY COURT HOTEL FRO,"£1,124.50",Accommodation for four people for one night plus evening meal for ten people plus venue hire for Waterways Management meeting and training 
EA,21/08/2013,OPEN OFFICE SOLUTIONS,£668.40,Two hundred Police Books in duplicate 
EA,21/08/2013,OPEN UNIVERSITY,"£2,035.00",Open University fee for Research Project for Pollution Prevention Control Officer
EA,21/08/2013,OPUS INTERNATIONAL,£577.50,Fee for updates to report and new plan Production Survey for Knockin Heath
EA,21/08/2013,ORTON HALL HOTEL,"£2,550.00",Accommodation for two people for two nights and ten people for one night plus room hire for twelve people attending Working with Others - An Introduction to Stakeholder Engagement for Permit Applications
EA,21/08/2013,ORTON HALL HOTEL,"£2,040.20",Room hire for Regional Flood Coastal Committee members event 
EA,21/08/2013,OTT HYDROMETRY LTD,"£1,464.12",One Orpheus Mini Data Logger - used to record water level and monitor river flow/level for flooding and water resources purposes. 
EA,21/08/2013,OTT HYDROMETRY LTD,"£1,285.60",One Orpheus Mini Data Logger - used to record water level and monitor river flow/level for flooding and water resources purposes. 
EA,21/08/2013,OTTER WATERSPORTS,£540.00,Drysuit
EA,21/08/2013,P D M NEPTEC LTD,£521.64,Marine signal cable for Teston Fish Pass project
EA,21/08/2013,P.R. NEWSON LTD,"£1,960.80",Biomass chipping at Newmans Compound
EA,21/08/2013,PATTRICK & THOMPSONS L,£828.00,One hundred posts for fencing at Kings Lynn
EA,21/08/2013,PAYPAL  AYGLTD,"£1,513.08",Time-lapse cameras to record restoration works progress
EA,21/08/2013,PEARSON HYDRAULICS LTD,"£2,781.18",Replacement hydraulic hose for course weedscreen
EA,21/08/2013,PERSONNEL HYGIENE SERV,£627.56,Service of water dispenser unit at Rothley office
EA,21/08/2013,PETERBOROUGH CATHE,£570.00,Room hire and lunch for 25 people attending a Trio Workshop
EA,21/08/2013,PEVERALL BROS LTD,£598.90,Cable and pipe detector
EA,21/08/2013,PEVERALL BROS LTD,£665.64,Servicing and calibration of equipment at Taunton Depot
EA,21/08/2013,PGR RECYCLING LTD,£653.14,Eight deliveries of soil and clay of 1.6 tonnes
EA,21/08/2013,PIPERS PROJECTS LTD,"£1,200.00","Annual membership of New London Architecture, London's Centre for the Built Environment"
EA,21/08/2013,PPK SERVICES,"£1,740.00",King George V Dock site visit to change accumulators - Thames Barrier
EA,21/08/2013,PPL AUSTIN COURT,£870.00,Venue for eighteen people attending a nationally dispersed team meeting 
EA,21/08/2013,PPL AUSTIN COURT,£692.16,Room hire for four days for Telecom interviews 
EA,21/08/2013,PPL SAVOY PLACE,"£2,807.70","Venue, equipment hire and subsistence for 38 people attending training event"
EA,21/08/2013,PRESS TO PRINT LTD,"£1,207.20",Printing handbooks for Regional and Coastal Committee members
EA,21/08/2013,PRESS TO PRINT LTD,£819.00,Printing documents for Regional Flood and Coastal Committee members 
EA,21/08/2013,PRIORY ROOMS (BULL STR,"£1,287.60",Venue hire and delegate day rate for 37 people attending Regional Land and Water workshop 
EA,21/08/2013,PRIORY ROOMS (BULL STR,"£1,134.00",Room hire for Surface Water Mapping workshop 
EA,21/08/2013,PRIORY ROOMS (BULL STR,"£1,041.60",Room hire plus lunch and refreshments for fourteen people attending meetings for two days
EA,21/08/2013,PRIORY ROOMS (BULL STR,£930.00,Room hire for National Permitting Service Waste Exemption Refresher Training
EA,21/08/2013,PRIORY ROOMS (BULL STR,£744.00,Room hire for National Quarterly Evidence Managers' Meeting
EA,21/08/2013,PRIORY ROOMS (BULL STR,£696.00,Venue hire for meeting of National Enforcement Services Management Team
EA,21/08/2013,PRIORY ROOMS (BULL STR,£558.00,Room hire for Wellbeing meeting
EA,21/08/2013,PRIORY ROOMS (BULL STR,£522.00,Room hire and lunch for eighteen people attending Environment Agency Principle Permitting Team Meeting
EA,21/08/2013,PROFIX FABRICATIONS LT,"£1,929.60",Six new Groundwater Borehole Boxes and two Galvanised Flanges
EA,21/08/2013,PROFIX FABRICATIONS LT,£616.80,"Assorted pipes, spigots and saddles for Ghyll Mount"
EA,21/08/2013,PTE,"£1,036.80",Chainsaw and drill
EA,21/08/2013,PTE,£569.48,Chainsaw and drill
EA,21/08/2013,PTE,£509.59,Bolt croppers and socket sets for Field Teams at Thorne Depot 
EA,21/08/2013,PULSAR PROCESS MSMNT L,"£1,017.12","Ultrasonic unit and head to replace old one at Mell House, including wall stand and twenty-metre cable"
EA,21/08/2013,QMX LABORATORIES LIMIT,"£1,017.00",Standard reference materials
EA,21/08/2013,QMX LABORATORIES LIMIT,£543.00,Standard reference materials
EA,21/08/2013,QUADRILECT LTD,£740.36,Fee for one person to attend Planning Conference
EA,21/08/2013,QUALITY SUPPLIES LTD,£966.06,Tools for field maintenance work at Sunbury on Thames
EA,21/08/2013,R AND M TRANSPORT,£600.00,Low loader to move 21-tonner from East Mersea to Peldon and back
EA,21/08/2013,RADIODETECTION LTD,"£3,842.38",Four new Cat and four Gennys (cable detection equipment)  - Shrewsbury
EA,21/08/2013,RADISSON BLU HOTEL,"£1,680.00",Venue hire for Board members and sixteen day delegates attending July Board meeting
EA,21/08/2013,RAMADA ENCORE IPSWICH,£620.20,"Accommodation for two people for one night plus room hire, lunch and refreshments for fourteen people attending Leadership Style training"
EA,21/08/2013,RAPIDMIX KENT LIMI,"£1,541.01","Concrete for repairing sea wall at Redoubt, Eastbourne"
EA,21/08/2013,RED FUNNEL BOOKIT,"£1,000.00",Cost of ferry to enable travel to Isle of Wight to carry out fieldwork
EA,21/08/2013,RED SNAPPER LTD,£776.25,Temporary staff
EA,21/08/2013,RED SNAPPER LTD,£776.25,Temporary staff
EA,21/08/2013,RED SNAPPER LTD,£776.25,Temporary staff
EA,21/08/2013,REED SPECIALIST,£506.58,Temporary staff
EA,21/08/2013,RESAPOL LTD,£505.08,"Sealant for joints for Dewsbury Dry cut, Thorne Depot"
EA,21/08/2013,RESOURCE ENG,£664.56,Six Wypall pop boxes - heavy-duty wipes
EA,21/08/2013,RIG SYSTEMS LTD,"£3,518.71",Replacement rope access kit to meet Health and Safety regulations
EA,21/08/2013,ROB PERRY MARINE LTD,"£2,827.60",Royal Yachting Association five-day Boat Handling training at Owsten Ferry
EA,21/08/2013,ROCKALL SURVEY SUP,£738.60,Four personal gas monitors for team use
EA,21/08/2013,ROSE BANK SAWMILL LTD,£720.00,Building materials for flood defence reinforcement on the River Caldew
EA,21/08/2013,ROSE BANK SAWMILL LTD,£576.00,Building materials for flood defence reinforcement on the River Caldew
EA,21/08/2013,RS COMPONENTS LTD,"£1,057.61",Fishery temperature monitoring equipment
EA,21/08/2013,RS COMPONENTS LTD,£521.58,Materials for site upgrade at Loftsome Bridge
EA,21/08/2013,RS COMPONENTS LTD,"£1,855.92",Equipment for the deployment of Water Monitoring Equipment
EA,21/08/2013,SAFESITE LTD,£813.60,Clearing of trash screen operative safety line to enable water to flow freely and prevent flooding
EA,21/08/2013,SAFETY-KLEEN UK LTD,"£1,626.00",Hazardous Waste disposal at Spalding Depot
EA,21/08/2013,SAFETY-KLEEN UK LTD,£798.60,Removal of oily booms from Kings Lynn
EA,21/08/2013,SAFETY-KLEEN UK LTD,£990.00,"Removal of kerosene, paint tins, waste oil and empty aerosol drums"
EA,21/08/2013,SAFETY-KLEEN UK LTD,£692.31,Remediation equipment for oil spillage. National Incident Recording system recharge to Northern Power Grid.
EA,21/08/2013,SAFETY-KLEEN UK LTD,£600.00,Removing waste from Ipswich office
EA,21/08/2013,SAFETYSHOP,£634.20,Replacement signage for Leewick
EA,21/08/2013,SAFETYSHOP,£550.91,Signage for Haddiscoe Depot
EA,21/08/2013,SAFETYSHOP,"£2,948.40",Sixty warning signs for Thames Barrier site
EA,21/08/2013,SAFETYSHOP,"£1,504.80",Six lockers for Environment Management team at Sapphire East
EA,21/08/2013,SAFETYSHOP,£799.20,Printing of one hundred operations Public Safety signs
EA,21/08/2013,SAFETYSHOP,£715.54,Signage for Climping rock groynes (a groyne is a  protective structure of stone or concrete) for Public Safety Risk Assessment
EA,21/08/2013,SAFETYSHOP,£633.60,Thirty warning signs for Thames Barrier
EA,21/08/2013,SAFETYSHOP,£575.22,Six signs for Bath navigation closure whilst completing Diving and Survey operations
EA,21/08/2013,SANDSFIELD GRAVEL,£887.17,Removal of waste from Bryan Mills Beck site in Tickton
EA,21/08/2013,SCALES WORLD UK LIMITE,£503.94,Scales for weighing pollution waste
EA,21/08/2013,SCREWFIX,£540.46,Stainless steel hammer fixings and seven multipurpose tools for the Hydrometry and Telemetry team in Cornwall
EA,21/08/2013,SCREWFIX DIRECT,£649.07,Handtools and two tool bags for Hydrometry and Telemetry team
EA,21/08/2013,SCREWFIX DIRECT,£539.97,Replacement power tools
EA,21/08/2013,SE SHARED SERVICES,£955.66,Six-month Traffic Regulation Order for Rye footpath
EA,21/08/2013,SELWOOD LTD,"£3,591.36",Armoured hoses and bends axe
EA,21/08/2013,SETON,£559.67,Six lots of five hundred 'Fragile Glass' labels
EA,21/08/2013,SGI INDUSTRIES LTD,"£2,382.35","Dung drags and extension poles with attachments, used to remove blockage from weed screens for Pevensey Office"
EA,21/08/2013,SGI INDUSTRIES LTD,"£2,056.19",Consumables for all teams - 120 bite and sting relief and ten lots of clear pallet wrap
EA,21/08/2013,SGI INDUSTRIES LTD,"£1,936.08","Consumables for Thameside Team including hand towels, plastic pump and four lots of four-gallon cherry bomb (hand cleaner)"
EA,21/08/2013,SGI INDUSTRIES LTD,£935.46,Nuts and bolts for fencing on Public Safety Risk Assessment sites on the Arun Area Independent Drainage Board 
EA,21/08/2013,SGI INDUSTRIES LTD,£528.00,Four tubs of five-litre paint for structures
EA,21/08/2013,SHEPSHED AGGREGATES,£532.80,Six tonnes of wet ready-mixed cement delivered to Bulwick and Harr
EA,21/08/2013,SHERBORNE HOTEL,£840.00,Accommodation for twelve people for one night from the Area Management Team and Human Resources Business Partners
EA,21/08/2013,SIG,"£3,440.04",Glastonbury Defence Repair
EA,21/08/2013,SILVERLINING INDUSTRIE,"£1,173.60","Disposal of chemical containment bottles from National Laboratory Services, Starcross Laboratory"
EA,21/08/2013,SILVERLINING INDUSTRIE,"£1,113.89","Collection of chemical containment bottles from National Laboratory Services, Starcross Laboratory"
EA,21/08/2013,SITA HOLDINGS UK,£599.00,Waste Collections - June 2013
EA,21/08/2013,SITA HOLDINGS UK,£599.00,Office waste collection for May 2013
EA,21/08/2013,SMITH & SONS BLECHINGT,£701.13,Clay purchased for repair to flood bund in Aylesbury
EA,21/08/2013,SOUTH WEST GALVANIZERS,"£2,474.92",Galvanized steel beams and flooring panels for Malago site
EA,21/08/2013,SOUTH WEST GALVANIZERS,"£1,405.27",Galvanized grills for Malago in Bristol
EA,21/08/2013,SOUTHERN BROADCAST,"£1,440.00",Cameras for use by Red Kite House Environment Teams 
EA,21/08/2013,SPECTRA DISPLAYS L,"£1,240.80",32x120 pixel indoor red board for display including cables and adaptor
EA,21/08/2013,SPEEDY ASSET SRVCS,£529.20,Security fencing for Environment Agency Beck Slips
EA,21/08/2013,SPLCNG & ALLD SVCS,"£2,417.04",Gate wire lifting ropes for Penton Hook weir - River Thames
EA,21/08/2013,SPLCNG & ALLD SVCS,"£1,518.62",Gate wire lifting ropes for Penton Hook weir - River Thames
EA,21/08/2013,SPLCNG & ALLD SVCS,"£3,813.89",Weir wire ropes to replace ropes on Marsh B Weir to control river flow
EA,21/08/2013,SPLCNG & ALLD SVCS,"£3,813.89",Weir wire ropes to replace ropes on Marsh A Weir to control river flow
EA,21/08/2013,SPLCNG & ALLD SVCS,"£2,685.60",Bell weir wire ropes for Osney Depot
EA,21/08/2013,SPLCNG & ALLD SVCS,"£2,369.95",Weir wire ropes to replace ropes on River Ray to control the flow of the river
EA,21/08/2013,SPLCNG & ALLD SVCS,"£2,148.48",Old Windsor weir wire ropes for Osney Depot
