Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/08/2022,Hardware/Software Maintenance,ISS Recoverable Charges – UKRI,Ogel IT Ltd,99781274,"8,726.01","Technical Assurance, Support and Escalation Services",SG1 2FS
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/08/2022,Hardware/Software Maintenance,ISS Recoverable Charges – UKRI,Ogel IT Ltd,99781276,"8,726.01","Technical Assurance, Support and Escalation Services",SG1 2FS
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/08/2022,Hardware/Software Maintenance,ISS Recoverable Charges – UKRI,Ogel IT Ltd,99781292,"8,726.01","Technical Assurance, Support and Escalation Services",SG1 2FS
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/08/2022,Contract Staff,Production Services,Alexander Mann Solutions Ltd,99783558,"3,465.30",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/08/2022,Financial Services,Corporate Finance,UKRI - Engineering & Physical Sciences Research Council,99785314,"8,689.05",Financial Services,INTERCO
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/08/2022,Protective Clothing,Finance Operations 1,Aston Pharma,99786353,11.11,Safety Equipment & Materials,SWAREHOUSEONLY
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/08/2022,Safety Materials & Equipment,Finance Operations 1,Aston Pharma,99786353,11.04,Safety Equipment & Materials,SWAREHOUSEONLY
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/08/2022,Contract Staff,Production Services,Alexander Mann Solutions Ltd,99786548,"3,465.30",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/08/2022,Agency Staff,ROE Application Upgrade,Alexander Mann Solutions Ltd,99786749,"4,090.44",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/08/2022,T&S - Parking Tolls Congestion Charges,Operational Excellence,Unspecified,99787099,12,"Parking, Tolls, Congestion Charge",HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/08/2022,T&S - Subsistence,Operational Excellence,Unspecified,99787099,4.89,Breakfast (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/08/2022,T&S - Subsistence,Operational Excellence,Unspecified,99787099,10.98,Evening Meal (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/08/2022,T&S - Subsistence,Operational Excellence,Unspecified,99787099,25.7,Lunch (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/08/2022,T&S - Vehicle Hire,Operational Excellence,Unspecified,99787099,90.51,Vehicle Hire/Rental/Fuel (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/08/2022,Conferences & Seminars,HRSD Recoverables,Unspecified,99787100,78,Conference/Course Fees (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/08/2022,T&S - Parking Tolls Congestion Charges,Operational Excellence,Unspecified,99787102,20,"Parking, Tolls, Congestion Charge",HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,24/08/2022,IT Cloud Services,Production Services,Insight Direct (UK) Ltd,99787067,"5,850.22",Computer Consumables,SMARTFORM
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,24/08/2022,IT Cloud Services,Production Services,Insight Direct (UK) Ltd,99787067,"27,678.75",Computer Consumables,SMARTFORM
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,24/08/2022,T&S - Other Charges,Accounting,Unspecified,99787436,55,Miscellaneous (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,25/08/2022,Computer Software Licences,SHARP,Oracle Corporation UK Ltd,99777752,"2,133.65",Computer Consumables,RG6 1RA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,25/08/2022,Computer Software Licences,SHARP,Oracle Corporation UK Ltd,99777752,"2,133.65",Computer Consumables,RG6 1RA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,25/08/2022,Computer Software Licences,SHARP,Oracle Corporation UK Ltd,99777752,"1,194.84",Computer Consumables,RG6 1RA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,25/08/2022,Computer Software Licences,SHARP,Oracle Corporation UK Ltd,99777752,664.56,Computer Consumables,RG6 1RA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,25/08/2022,Computer Software Licences,SHARP,Oracle Corporation UK Ltd,99777752,271.28,Computer Consumables,RG6 1RA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,25/08/2022,Computer Software Licences,SHARP,Oracle Corporation UK Ltd,99777752,136.55,Computer Consumables,RG6 1RA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,25/08/2022,Computer Software Licences,SHARP,Oracle Corporation UK Ltd,99777752,"4,267.30",Computer Consumables,RG6 1RA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,25/08/2022,Computer Software Licences,SHARP,Oracle Corporation UK Ltd,99777752,"2,321.68",Computer Consumables,RG6 1RA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,25/08/2022,Computer Software Licences,SHARP,Oracle Corporation UK Ltd,99777752,376.49,Computer Consumables,RG6 1RA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,25/08/2022,Staff Training,HRSD Recoverables,The Knowledge Academy,99779868,"3,588.00",Training,RG12 1HL
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,25/08/2022,Health & Safety (inc. Medicals & Opticians),HR Ops,Unspecified,99788723,25,Medical Fees & Vaccinations (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,25/08/2022,Health & Safety (inc. Medicals & Opticians),Operational Excellence,Unspecified,99788724,80,Medical Fees & Vaccinations (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,25/08/2022,Conferences & Seminars,Project Office,Unspecified,99788725,390,Conference/Course Fees (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,25/08/2022,T&S - Parking Tolls Congestion Charges,Operational Excellence,Unspecified,99788726,10,"Parking, Tolls, Congestion Charge",HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,26/08/2022,Computer Hardware,Production Services,Probrand Ltd,99789035,599.76,Computing Hardware,SMARTFORM
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,26/08/2022,Computer Hardware,Production Services,Probrand Ltd,99789035,2.4,Computing Hardware,SMARTFORM
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,26/08/2022,Computing Consumables,Production Services,Probrand Ltd,99789035,152.16,Computer Consumables,SMARTFORM
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,30/08/2022,Contract Staff,Production Services,Alexander Mann Solutions Ltd,99790025,"6,159.24",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,30/08/2022,Contract Staff,People,Alexander Mann Solutions Ltd,99790035,"10,775.02",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,30/08/2022,Contract Staff,Corporate HR,Alexander Mann Solutions Ltd,99790039,"3,780.36",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,30/08/2022,Contract Staff,Project Office,Alexander Mann Solutions Ltd,99790041,"3,649.14",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,30/08/2022,Contract Staff,Production Services,Alexander Mann Solutions Ltd,99790147,"7,945.56",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,30/08/2022,Contract Staff,SHARP,Alexander Mann Solutions Ltd,99790149,"3,387.66",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,30/08/2022,Computing Consumables,Production Services,Gemini Print Southern Ltd,99790218,918,Computer Consumables,BN43 6NZ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,30/08/2022,T&S - Subsistence,Finance Operations 1,Unspecified,99790230,8.15,Evening Meal (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,31/08/2022,Contract Staff,Professional Services,Hays Specialist Recruitment Ltd,99787311,"1,908.00",Recruitment Services,KT3 4QF
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,31/08/2022,UK - Professional Memberships & Subscriptions,Procurement Policy & Strategy,Dun & Bradstreet Ltd,99789191,516,Professional Memberships,W2 1AF
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,31/08/2022,UK - Professional Memberships & Subscriptions,Procurement Policy & Strategy,Dun & Bradstreet Ltd,99789192,168,Professional Memberships,W2 1AF
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,31/08/2022,UK - Professional Memberships & Subscriptions,Procurement Policy & Strategy,Dun & Bradstreet Ltd,99789194,264,Professional Memberships,W2 1AF
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,31/08/2022,Contract Staff,People,Alexander Mann Solutions Ltd,99790150,"2,126.47",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,31/08/2022,Contract Staff,Production Services,Hays Specialist Recruitment Ltd,99790520,"5,866.56",Recruitment Services,KT3 4QF
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,31/08/2022,Contract Staff,Production Services,Hays Specialist Recruitment Ltd,99790521,"5,587.20",Recruitment Services,KT3 4QF
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,31/08/2022,Contract Staff,Production Services,Hays Specialist Recruitment Ltd,99790527,"7,750.74",Recruitment Services,KT3 4QF
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,31/08/2022,Contract Staff,Production Services,Hays Specialist Recruitment Ltd,99790539,"6,754.90",Recruitment Services,KT3 4QF
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,31/08/2022,Contract Staff,Production Services,Hays Specialist Recruitment Ltd,99790541,"8,963.03",Recruitment Services,KT3 4QF
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,31/08/2022,Health & Safety (inc. Medicals & Opticians),Contact Centres,Unspecified,99790632,55,Medical Fees & Vaccinations (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,31/08/2022,T&S - Mileage,"D&I Digital, Data & Analytics",Unspecified,99790633,63.23,Mileage - Car (excl Home to Office),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,24/08/2022,Bank Charges,Corporate Finance,,,847,Bank Charges,
