Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,Description of Goods (Purpose of expenditure look up),Service/Department   (SAP Hierarchy Position),Expense Area (cost centre desc),Net Order Value Over £5000.00 (line item value shown here),GL Code,Cost Centre/WBS
06/08/2020,ZZH681101,1,10786,Market Place Management Ltd,390000,Supplies and services,Supplies and services,Services to Place,Market General,"65,000.00",401600,10906
06/08/2020,ZZH681104,1,223,Groundwork Landscapes Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to Place,Land Dev-Werneth Os,"1,344.00",200123,11280
06/08/2020,ZZH681104,2,223,Groundwork Landscapes Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to Place,Land Dev-Werneth Os,"5,733.00",200123,11280
06/08/2020,ZZH681117,1,7819,Kings Chambers,280000,Legal Services  ,Legal Fees,Services to Place,Planning,"6,000.00",401016,12150
07/08/2020,ZZH681128,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,Services to Place,Highway Structs R+R,"5,156.49",401600,11975
07/08/2020,ZZH681130,1,14317,Ridge and Partners LLP,150000,Consultancy   ,Professional Fees,Services to Place,Design Frmwk Staff,"141,120.00",401020,11965
07/08/2020,ZZH681132,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"5,667.18",200304,C.01283.203
07/08/2020,ZZH681134,1,14317,Ridge and Partners LLP,150000,Consultancy   ,Professional Fees,Services to Place,Design Frmwk Staff,"112,125.00",401020,11965
07/08/2020,ZZH681135,1,14317,Ridge and Partners LLP,150000,Consultancy   ,Professional Fees,Services to Place,Design Frmwk Staff,"268,800.00",401020,11965
10/08/2020,ZZH681163,1,2927,XMA Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,Start Well Ops Staff,"9,153.75",400110,12880
10/08/2020,ZZH681163,2,2927,XMA Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,Start Well Ops Staff,52.50,400110,12880
10/08/2020,ZZH681163,3,2927,XMA Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,Start Well Ops Staff,52.50,400110,12880
10/08/2020,ZZH681163,4,2927,XMA Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,Start Well Ops Staff,183.30,400110,12880
10/08/2020,ZZH681163,5,2927,XMA Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,Start Well Ops Staff,247.35,400110,12880
10/08/2020,ZZH681198,1,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,SC - Leaving Care,"5,950.00",402001,11501
10/08/2020,ZZH681211,1,10363,Gala Lights Ltd,290000,Arts & Leisure Services  ,Publicity and Promotion,Services to Place,Borough Festive Ligh,"40,479.00",401801,12654
11/08/2020,ZZH681238,1,13860,Howard Lynn Property Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,Property Client Acct,"7,256.21",100290,12328
11/08/2020,ZZH681250,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"52,852.92",200304,C.01328.203
11/08/2020,ZZH681251,1,12608,Liquidlogic Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I.T Business Relat,"7,500.00",402002,13044
12/08/2020,ZZH681269,1,865,Bethell Construction Ltd,390000,Supplies and services,Supplies and services,Services to Place,Highway Structs R+R,"9,313.89",401600,11975
13/08/2020,ZZH681352,1,6693,HAGS-SMP Ltd,240000,Horticultural  ,Grounds Maintenance,#N/A,#N/A,"12,528.00",202032,C.10775
13/08/2020,ZZH681353,1,7802,Craemer UK Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Wheelie Bins,"9,628.50",400401,10864
13/08/2020,ZZH681353,2,7802,Craemer UK Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Wheelie Bins,"7,140.00",400401,10864
13/08/2020,ZZH681356,1,9453,Gaist Solutions Ltd,391200,"Works - Construction, Repair & Maintenance Engineering ",Professional Fees,Services to Place,Transport Strategy,"10,200.00",401032,13060
13/08/2020,ZZH681358,1,7025,CBRE Limited,390000,Supplies and services,Supplies and services,#N/A,#N/A,"140,000.00",401600,C.00845.203
13/08/2020,ZZH681359,1,4272,Civica UK Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,Public Libraries Gen,"25,500.00",400111,11329
14/08/2020,ZZH681376,1,14317,Ridge and Partners LLP,150000,Consultancy   ,Professional Fees,Services to Place,Design Frmwk Staff,"55,770.00",401007,11965
14/08/2020,ZZH681377,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,#N/A,#N/A,"67,873.60",401600,C.01250.203
14/08/2020,ZZH681382,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,#N/A,#N/A,"5,301.33",401600,C.01166.203
17/08/2020,ZZH681413,1,14325,Ivanti UK Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"7,389.90",402002,11324
17/08/2020,ZZH681413,2,14325,Ivanti UK Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"4,105.50",402002,11324
18/08/2020,ZZH681447,1,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,#N/A,#N/A,"2,040.00",400105,C.10004.001
18/08/2020,ZZH681447,2,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,#N/A,#N/A,"3,750.00",400105,C.10004.001
18/08/2020,ZZH681447,3,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,#N/A,#N/A,650.00,400105,C.10004.001
18/08/2020,ZZH681472,1,1177,Copyright Licensing Agency,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Legal Fees Budget,"14,605.00",401020,12271
18/08/2020,ZZH681478,1,3291,Leica Geosystems Ltd,390000,Supplies and services,Supplies and services,Services to Place,D & I Team,"7,711.86",401600,11960
19/08/2020,ZZH681516,1,11962,PROQUEST INFORMATION & LEARNIN,171113,Education Library Books ,Library Equipment,Corporate and Support Services,Library Dev & Res,"6,662.66",400202,11328
19/08/2020,ZZH681522,1,1799,Stockport Homes,150000,Consultancy   ,Professional Fees,Services to Place,Neighbourhoods Team,"25,000.00",401020,10900
19/08/2020,ZZH681541,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,#N/A,#N/A,"30,673.84",401600,C.01250.203
19/08/2020,ZZH681542,1,865,Bethell Construction Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,"7,737.52",401600,C.01338.203
20/08/2020,ZZH681556,1,13445,All Pump Solutions,230000,Highway Equipment & Materials    ,Highways Maintenance,Services to Place,Passages Rail & Marr,"13,801.67",202050,11998
20/08/2020,ZZH681557,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,#N/A,#N/A,"227,360.45",401600,C.00950.203
21/08/2020,ZZH681595,1,7820,GMCA - GMUTC,230000,Highway Equipment & Materials    ,Highways Maintenance,#N/A,#N/A,"35,450.31",202054,C.01172.203
21/08/2020,ZZH681597,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,"8,388.22",401600,C.00880.203
21/08/2020,ZZH681611,1,3529,Totally Local Company Ltd,290000,Arts & Leisure Services  ,Publicity and Promotion,Services to Place,Borough Festive Ligh,"32,927.80",401801,12654
21/08/2020,ZZH681612,1,3529,Totally Local Company Ltd,290000,Arts & Leisure Services  ,Publicity and Promotion,Services to Place,Borough Festive Ligh,"59,457.79",401801,12654
24/08/2020,ZZH681634,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,Services to Place,Special Project 9,"45,000.00",401600,11275
24/08/2020,ZZH681634,2,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,Services to Place,Special Project 9,"45,000.00",401600,11275
24/08/2020,ZZH681638,1,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,SC - Care Matters,"5,950.00",402001,11768
24/08/2020,ZZH681660,1,9315,Carillion Morgan Sindall JV,390000,Supplies and services,Supplies and services,#N/A,#N/A,"300,000.00",401600,C.00880.203
26/08/2020,ZZH681758,1,2927,XMA Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,What Works - SBSW,"8,960.70",400110,13027
26/08/2020,ZZH681758,2,2927,XMA Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,What Works - SBSW,35.00,400110,13027
26/08/2020,ZZH681758,3,2927,XMA Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,What Works - SBSW,35.00,400110,13027
26/08/2020,ZZH681763,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,#N/A,#N/A,"13,927.00",401600,C.00966.203
26/08/2020,ZZH681765,1,6116,Atkins Limited,150000,Consultancy   ,Professional Fees,Services to Place,Transport Strategy,"27,975.00",401007,13060
26/08/2020,ZZH681767,1,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,926.86,200304,C.01198.203
26/08/2020,ZZH681767,2,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"1,685.20",200304,C.01198.203
26/08/2020,ZZH681767,3,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,421.30,200304,C.01198.203
26/08/2020,ZZH681767,4,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"2,746.29",200304,C.01198.203
26/08/2020,ZZH681767,5,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,88.59,200304,C.01198.203
26/08/2020,ZZH681767,6,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,301.23,200304,C.01198.203
26/08/2020,ZZH681768,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Transport Strategy,"21,528.00",401007,13060
26/08/2020,ZZH681769,1,3529,Totally Local Company Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Policy-Rights Of Way,"10,000.00",202030,10088
27/08/2020,ZZH681790,1,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"6,993.58",200304,C.01198.203
27/08/2020,ZZH681790,2,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"80,047.00",200304,C.01198.203
27/08/2020,ZZH681790,3,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"6,998.61",200304,C.01198.203
27/08/2020,ZZH681790,4,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"5,622.96",200304,C.01198.203
27/08/2020,ZZH681790,5,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"13,655.76",200304,C.01198.203
27/08/2020,ZZH681790,6,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"10,241.82",200304,C.01198.203
27/08/2020,ZZH681790,7,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"34,537.65",200304,C.01198.203
27/08/2020,ZZH681790,8,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"5,067.30",200304,C.01198.203
27/08/2020,ZZH681790,9,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,680.04,200304,C.01198.203
27/08/2020,ZZH681790,10,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"1,137.02",200304,C.01198.203
27/08/2020,ZZH681791,1,3529,Totally Local Company Ltd,150000,Consultancy   ,Professional Fees,#N/A,#N/A,"12,548.00",401007,C.01265.202
27/08/2020,ZZH681792,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,"6,357.28",401600,C.01410.203
27/08/2020,ZZH681794,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,"14,764.43",401600,C.01410.203
27/08/2020,ZZH681795,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,"6,144.64",401600,C.01410.203
27/08/2020,ZZH681802,1,11162,Kenny Waste Management Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,Berevement Services,"12,000.00",400115,11285
28/08/2020,ZZH681826,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Design Frmwk Staff,"38,160.00",401020,11965
28/08/2020,ZZH681843,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Design Frmwk Staff,"38,160.00",401020,11965
28/08/2020,ZZH681844,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Design Frmwk Staff,"40,560.00",401020,11965
28/08/2020,ZZH681845,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Design Frmwk Staff,"40,560.00",401020,11965
28/08/2020,ZZH681846,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Design Frmwk Staff,"16,560.00",401020,11965
28/08/2020,ZZH681847,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Design Frmwk Staff,"16,560.00",401020,11965
28/08/2020,ZZH681848,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Design Frmwk Staff,"16,560.00",401020,11965
28/08/2020,ZZH681849,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Design Frmwk Staff,"38,160.00",401020,11965
28/08/2020,ZZH681850,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Design Frmwk Staff,"38,160.00",401020,11965
28/08/2020,ZZH681851,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Design Frmwk Staff,"38,160.00",401020,11965
01/09/2020,ZZH681856,1,6925,Ladybirds,240000,Horticultural  ,Grounds Maintenance,Services to People,Brinnigton CC,"10,000.00",202030,12295
01/09/2020,ZZH681875,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Design Frmwk Staff,"21,600.00",401020,11965
01/09/2020,ZZH681876,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Design Frmwk Staff,"18,960.00",401020,11965
01/09/2020,ZZH681877,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Design Frmwk Staff,"8,280.00",401020,11965
01/09/2020,ZZH681894,1,3156,Creative Ideas In Print,320000,Social Community Care Supplies & Services  ,Care Payments,Corporate and Support Services,POD Communications,"18,945.00",530356,11323
01/09/2020,ZZH681895,1,3156,Creative Ideas In Print,320000,Social Community Care Supplies & Services  ,Care Payments,Corporate and Support Services,POD Communications,"43,977.00",530356,11323
02/09/2020,ZZH681905,1,13998,Lucid Outdoor Limited,181800,Environmental Services Technical Equipment ,Furniture and Equipment,#N/A,#N/A,"8,000.00",400110,C.10941
02/09/2020,ZZH681916,1,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"9,732.00",200304,C.01220.203
02/09/2020,ZZH681916,2,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"54,020.16",200304,C.01220.203
02/09/2020,ZZH681917,1,8106,Tarmac Trading Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,"115,592.70",401600,C.01068.203
02/09/2020,ZZH681929,1,13808,Progress to Excellence Group,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,SEN Independent Sch,"175,000.00",401024,10372
02/09/2020,ZZH681933,1,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"14,598.00",200304,C.01220.203
02/09/2020,ZZH681933,2,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"65,274.36",200304,C.01220.203
02/09/2020,ZZH681933,3,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"14,911.36",200304,C.01220.203
02/09/2020,ZZH681934,1,4509,Traffic Direct,390000,Supplies and services,Supplies and services,#N/A,#N/A,"84,348.75",401600,C.01410.201
02/09/2020,ZZH681937,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,"13,271.14",401600,C.01410.203
02/09/2020,ZZH681939,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,"13,344.24",401600,C.01410.203
02/09/2020,ZZH681942,1,7820,GMCA - GMUTC,230000,Highway Equipment & Materials    ,Highways Maintenance,#N/A,#N/A,"35,450.31",202054,C.01172.203
02/09/2020,ZZH681953,1,1572,Theraposture Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,SEN Equipment,"5,750.00",400110,10324
02/09/2020,ZZH681953,2,1572,Theraposture Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,SEN Equipment,160.00,400110,10324
02/09/2020,ZZH681953,3,1572,Theraposture Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,SEN Equipment,960.00,400110,10324
02/09/2020,ZZH681953,4,1572,Theraposture Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,SEN Equipment,325.00,400110,10324
02/09/2020,ZZH681953,5,1572,Theraposture Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,SEN Equipment,185.00,400110,10324
02/09/2020,ZZH681956,1,2859,G and S Smirthwaite,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to People,SEN Equipment,"8,497.00",400110,10324
02/09/2020,ZZH681962,1,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,FDAC - Family D&A Ct,"5,376.42",402001,13058
02/09/2020,ZZH681962,2,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,FDAC - Family D&A Ct,21.00,402001,13058
02/09/2020,ZZH681962,3,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,FDAC - Family D&A Ct,21.00,402001,13058
02/09/2020,ZZH681962,4,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,FDAC - Family D&A Ct,48.88,402001,13058
03/09/2020,ZZH681984,1,5276,ESE Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Wheelie Bins,"2,784.00",400401,10864
03/09/2020,ZZH681984,2,5276,ESE Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Wheelie Bins,"3,657.50",400401,10864
06/09/2020,ZZH682084,1,216,Manchester City Council,390000,Supplies and services,Supplies and services,#N/A,#N/A,"34,950.00",401600,C.00880.203
06/09/2020,ZZH682086,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"29,118.46",200304,C.01172.203
07/09/2020,ZZH682104,1,10674,Ortoo Technologies Ltd,200000,Financial Services  ,Fees and Charges,Services to People,SI - School Govern,"10,500.00",402401,10755
07/09/2020,ZZH682106,1,3529,Totally Local Company Ltd,#N/A,#N/A,#N/A,Services to People,Senior Management,"57,596.00",400999,12923
07/09/2020,ZZH682125,1,14346,Pennine Medical Supplies Ltd,#N/A,#N/A,#N/A,Corporate and Support Services,CSS Management,"6,000.00",400999,12499
08/09/2020,ZZH682162,1,12959,Apollo Home Healtcare,310000,Healthcare  ,Third party payments - Public Sector,Services to People,SEN Specific support,"14,332.50",500402,10300
08/09/2020,ZZH682163,1,8423,SMS Coaching Limited,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,SEN Independent Sch,"30,000.00",401024,10372
08/09/2020,ZZH682164,1,12269,PENARTH GROUP,261500,Human Resources Training & Conferences ,Fees and Charges,Services to People,SEN Independent Sch,"38,000.00",401024,10372
08/09/2020,ZZH682192,1,9715,NHS Stockport CCG,260000,Human Resources  ,Other Payments,Services to People,Modernisation,"16,960.31",100304,11876
09/09/2020,ZZH682194,1,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,SHV CSC Locality Lea,"5,376.42",402001,11514
09/09/2020,ZZH682194,2,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,SHV CSC Locality Lea,21.00,402001,11514
09/09/2020,ZZH682194,3,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,SHV CSC Locality Lea,21.00,402001,11514
09/09/2020,ZZH682196,1,780,J A Jones + Sons,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,Special Project 9,324.00,400115,11275
09/09/2020,ZZH682196,2,780,J A Jones + Sons,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,Special Project 9,224.00,400115,11275
09/09/2020,ZZH682196,3,780,J A Jones + Sons,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,Special Project 9,"2,550.00",400115,11275
09/09/2020,ZZH682196,4,780,J A Jones + Sons,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,Special Project 9,"2,450.00",400115,11275
09/09/2020,ZZH682196,5,780,J A Jones + Sons,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,Special Project 9,"2,450.00",400115,11275
09/09/2020,ZZH682196,6,780,J A Jones + Sons,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,Special Project 9,144.00,400115,11275
09/09/2020,ZZH682196,7,780,J A Jones + Sons,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,Special Project 9,"1,330.00",400115,11275
09/09/2020,ZZH682196,8,780,J A Jones + Sons,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,Special Project 9,"1,428.00",400115,11275
09/09/2020,ZZH682196,9,780,J A Jones + Sons,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,Special Project 9,"1,428.00",400115,11275
09/09/2020,ZZH682196,10,780,J A Jones + Sons,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,Special Project 9,"1,428.00",400115,11275
09/09/2020,ZZH682196,11,780,J A Jones + Sons,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,Special Project 9,190.00,400115,11275
09/09/2020,ZZH682196,12,780,J A Jones + Sons,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,Special Project 9,360.00,400115,11275
09/09/2020,ZZH682196,13,780,J A Jones + Sons,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,Special Project 9,340.00,400115,11275
09/09/2020,ZZH682196,14,780,J A Jones + Sons,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,Special Project 9,950.00,400115,11275
09/09/2020,ZZH682196,15,780,J A Jones + Sons,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,Special Project 9,"2,400.00",400115,11275
09/09/2020,ZZH682196,16,780,J A Jones + Sons,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,Special Project 9,204.00,400115,11275
09/09/2020,ZZH682196,17,780,J A Jones + Sons,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,Special Project 9,"2,660.00",400115,11275
09/09/2020,ZZH682197,1,7802,Craemer UK Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Wheelie Bins,"9,628.50",400401,10864
09/09/2020,ZZH682197,2,7802,Craemer UK Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Wheelie Bins,"7,140.00",400401,10864
09/09/2020,ZZH682197,3,7802,Craemer UK Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Wheelie Bins,"8,657.25",400401,10864
09/09/2020,ZZH682197,4,7802,Craemer UK Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Wheelie Bins,"8,657.25",400401,10864
09/09/2020,ZZH682198,1,833,Egbert Taylor Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Bulk Container,"6,625.00",400401,10883
09/09/2020,ZZH682198,2,833,Egbert Taylor Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Bulk Container,"8,355.00",400401,10883
11/09/2020,ZZH682322,1,14346,Pennine Medical Supplies Ltd,#N/A,#N/A,#N/A,Corporate and Support Services,CSS Management,"8,000.00",400999,12499
11/09/2020,ZZH682325,1,9957,Marketing Stockport,#N/A,#N/A,#N/A,Services to Place,Economic Development,"15,150.00",400999,10103
11/09/2020,ZZH682327,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"9,706.80",200304,C.01068.203
11/09/2020,ZZH682334,1,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"14,999.88",200304,C.01220.203
11/09/2020,ZZH682334,2,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"41,866.56",200304,C.01220.203
11/09/2020,ZZH682334,3,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,#N/A,#N/A,"3,885.57",200304,C.01220.203
11/09/2020,ZZH682336,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,"7,220.72",401600,C.01410.203
11/09/2020,ZZH682337,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,#N/A,#N/A,"5,097.52",401600,C.01410.203
11/09/2020,ZZH682339,1,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,HTV CSC Locality Lea,"5,376.42",402001,11516
11/09/2020,ZZH682339,2,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,HTV CSC Locality Lea,21.00,402001,11516
11/09/2020,ZZH682339,3,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,HTV CSC Locality Lea,21.00,402001,11516
14/09/2020,ZZH682350,1,9232,Reed Specialist Recruitment Lt,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,DP - Respite,"10,811.84",530358,11513
14/09/2020,ZZH682369,1,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,CB/MW CSC Locality L,"5,376.42",402001,12188
14/09/2020,ZZH682369,2,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,CB/MW CSC Locality L,21.00,402001,12188
