Unique identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Supplier Name,Transparency Invoice Amount
August Transparency 276,04/08/2022,EP CEP WHP DWP CONTRACTS S ENG CPA4,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,THE PLUSS ORGANISATION,"£145,111"
August Transparency 277,03/08/2022,DIG - SDX DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,COMPUTACENTER UK LTD,"£144,887"
August Transparency 278,04/08/2022,EP CEP WHP DWP CONTRACTS CENT ENG CPA1,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SHAW TRUST,"£143,871"
August Transparency 279,22/08/2022,CHG INTEGRATED SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,OPENCAST,"£143,711"
August Transparency 280,04/08/2022,EP CEP RESTART CPA 4B SOUTH CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,FEDCAP EMPLOYMENT,"£143,613"
August Transparency 281,04/08/2022,EP CEP RESTART CPA 5B SOUTH & EAST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS HEALTH & HUMAN SERVICES LTD,"£143,587"
August Transparency 282,03/08/2022,DIG CITIZEN INF - STRATEGIC ARA CROSS PROG SUPPORT DELP,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,IBM UNITED KINGDOM LTD,"£141,930"
August Transparency 283,12/08/2022,PCP ESTATES INVESTMENT PROJECTS DELP,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,MCBAINS LTD,"£141,829"
August Transparency 284,23/08/2022,DIG CHILDREN  - CMS 2012 CORE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,TATA CONSULTANCY SERVICES LTD,"£141,809"
August Transparency 285,22/08/2022,DIG CHILDREN - CMG ACCELERATION ACTIVITY DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£141,542"
August Transparency 286,23/08/2022,DIG DATA OPS FOR UC DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CREDERA LTD,"£141,203"
August Transparency 287,16/08/2022,DIG DATA ASSET MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,AGILE SOLUTIONS GB LTD,"£140,590"
August Transparency 288,04/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESF COLLABORATE TO TRAIN COV & WARWICKSHIRE,"£140,056"
August Transparency 289,11/08/2022,EP CEP RESTART CPA 2A NORTH EAST & HUMBERSIDE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£139,541"
August Transparency 290,22/08/2022,EP CEP PHASE 2 NEA NB CPA04 LONDON & HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,IXION HOLDINGS CONTRACTS LTD,"£139,223"
August Transparency 291,02/08/2022,P&C SYNERGY,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,PIXEL GROUP LTD,"£138,828"
August Transparency 292,02/08/2022,P&C SYNERGY,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,PIXEL GROUP LTD,"£138,828"
August Transparency 293,16/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,BERKSHIRE EDUCATION EMPLOYER PARTNERSHIP BEEP,"£138,720"
August Transparency 294,19/08/2022,DIG TEAM COLLABORATION ,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,INVOTRA LTD,"£138,611"
August Transparency 295,25/08/2022,EP CEP PHASE 2 NEA NB CPA05 LONDON & HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE - SERVICE COMPLETION FEE,IXION HOLDINGS CONTRACTS LTD,"£137,356"
August Transparency 296,25/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ROUTES TO WORK 1 4,"£137,251"
August Transparency 297,05/08/2022,DIG COMPLEX DELIVERY,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,UBDS IT CONSULTING LTD,"£136,710"
August Transparency 298,18/08/2022,DIG PUBLIC SECTOR NETWORK DOMAIN NAME SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING NETWORKS,NOMINET UK,"£136,365"
August Transparency 299,22/08/2022,DIG MAINTENANCE - HEALTH AND DISABILITY DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ENTSERV UK LTD,"£136,308"
August Transparency 300,18/08/2022,EP CEP RESTART CPA 1B EAST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,JOBS 22 LTD,"£135,544"
August Transparency 301,17/08/2022,DIG ECMS PROJECT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£135,300"
August Transparency 302,26/08/2022,OPS DD DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£135,223"
August Transparency 303,18/08/2022,EP CEP RESTART CPA 5A CENTRAL & WEST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£135,080"
August Transparency 304,02/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,STEM UP ESF,"£134,880"
August Transparency 305,31/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,THRIVE & WORK,"£134,049"
August Transparency 306,22/08/2022,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£133,563"
August Transparency 307,03/08/2022,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£133,091"
August Transparency 308,03/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,DIRECTIONS,"£132,154"
August Transparency 309,12/08/2022,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,SCRUMCONNECT LTD,"£131,910"
August Transparency 310,10/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,EM3 APPRENTICESHIP & SKILLS HUB,"£131,120"
August Transparency 311,05/08/2022,EP CEP RESTART CPA 3A NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,G4S REGIONAL MANAGEMENT UK & I LTD,"£130,225"
August Transparency 312,18/08/2022,EP CEP WHP DWP CONTRACTS NE ENG CPA2,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£130,036"
August Transparency 313,11/08/2022,PCP ESTATES LCW DELP,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,RESOLUTION INTERIORS LTD,"£129,868"
August Transparency 314,05/08/2022,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,UBDS IT CONSULTING LTD,"£129,139"
August Transparency 315,25/08/2022,EP CEP RESTART CPA 6 WALES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE - OUTCOME FEE 1,SERCO LTD,"£127,486"
August Transparency 316,15/08/2022,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,PARAGON CUSTOMER COMMUNICATIONS INTERNATIONAL LTD,"£125,883"
August Transparency 317,16/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,DIRECTIONS,"£125,865"
August Transparency 318,04/08/2022,EP CEP RESTART CPA 2B S & W YORKSHIRE DERBYSHIRE & NOTTINGHAMSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS HEALTH & HUMAN SERVICES LTD,"£125,527"
August Transparency 319,26/08/2022,OPS DD DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£124,834"
August Transparency 320,04/08/2022,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,OMNICOM MEDIA GROUP UK LTD,"£124,500"
August Transparency 321,26/08/2022,FG CS HS PIP LOT 2,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP GP FACTUAL,CAPITA BUSINESS SERVICES LTD,"£124,285"
August Transparency 322,02/08/2022,DIG NOTIFICATION SERVICE PROJECT DELP,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CAPGEMINI UK PLC,"£124,210"
August Transparency 323,12/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESF EMPLOYMENT HUB,"£124,139"
August Transparency 324,02/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£124,136"
August Transparency 325,11/08/2022,DIG - SECURITY PROJECTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SOFTCAT PLC,"£124,094"
August Transparency 326,02/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£123,714"
August Transparency 327,25/08/2022,EP CEP RESTART CPA 3B GREATER MANCHESTER,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE - OUTCOME FEE 1,INGEUS UK LTD,"£123,672"
August Transparency 328,05/08/2022,DIG ACCESSIBILITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£122,550"
August Transparency 329,08/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,TASTE LOCAL,"£122,110"
August Transparency 330,30/08/2022,PCP ESTATES UTILITIES DELP,EXP - PURCHASE OF GOODS/SERVICES - WATER,CASTLE WATER LTD,"£121,055"
August Transparency 331,19/08/2022,DIG FED CFCD IT SPEND,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,SCRUMCONNECT LTD,"£120,960"
August Transparency 332,25/08/2022,DIG BASELINE RUN - HEALTH AND DISABILITY DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SQC TECHNOLOGY LTD,"£120,950"
August Transparency 333,02/08/2022,FG SPC FG SECURITY  POLICY & COMPLIANCE,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - RECRUITMENT,CABINET OFFICE,"£120,384"
August Transparency 334,02/08/2022,FG SPC FG SECURITY  POLICY & COMPLIANCE,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - RECRUITMENT,CABINET OFFICE,"£120,384"
August Transparency 335,05/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£120,348"
August Transparency 336,19/08/2022,DIG - SECURITY PROJECTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CYBERFORT LTD,"£120,120"
August Transparency 337,23/08/2022,DIG IT ASSET MANAGEMENT (ITAM) DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,BOXXE LTD,"£120,000"
August Transparency 338,17/08/2022,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,AUTOMATION LOGIC LTD,"£118,440"
August Transparency 339,26/08/2022,OPS DD DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£118,281"
August Transparency 340,23/08/2022,PCP ESTATES OLD BAU DELP,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,SODEXO LTD,"£118,149"
August Transparency 341,05/08/2022,SE SPD RECORDS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - REMOTE STORAGE,RESTORE PLC DOCUMENT MANAGEMENT SERVICES DIVISION,"£117,077"
August Transparency 342,09/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,LANDAU ESF NEETS ESF,"£117,072"
August Transparency 343,25/08/2022,EP CEP WHP DWP CONTRACTS NE ENG CPA2,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE - OUTCOME FEE 1,REED IN PARTNERSHIP LTD,"£116,918"
August Transparency 344,08/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,IPROGRAMME ESF,"£116,765"
August Transparency 345,23/08/2022,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,TECKNUOVO LTD,"£116,424"
August Transparency 346,22/08/2022,SE SM CMG PJT DIGITAL,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£116,301"
August Transparency 347,23/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,BUSINESS EDUCATION ALLIANCE,"£116,202"
August Transparency 348,10/08/2022,CHG RAR HUB,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - CONTRACTED OUT OFFICE,HHG ASSOCIATES LTD,"£115,786"
August Transparency 349,23/08/2022,DIG CHILDREN  - COMMON PLATFORMS,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,TATA CONSULTANCY SERVICES LTD,"£115,765"
August Transparency 350,30/08/2022,DIG ECMS PROJECT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CAPGEMINI UK PLC,"£115,513"
August Transparency 351,03/08/2022,WWEG WP FG CEP ESF1420 HERTFORDSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£115,268"
August Transparency 352,25/08/2022,DIG EDW REMEDIATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DELOITTE LLP,"£115,266"
August Transparency 353,12/08/2022,SE SPD RECORDS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - REMOTE STORAGE,RESTORE PLC DOCUMENT MANAGEMENT SERVICES DIVISION,"£114,701"
August Transparency 354,25/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ROUTES TO WORK 1 1,"£114,481"
August Transparency 355,18/08/2022,EP CEP RESTART CPA 6 WALES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SERCO LTD,"£113,321"
August Transparency 356,22/08/2022,DIG CHILDREN STRATEGIC MATERNITY ALLOWANCE DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£113,232"
August Transparency 357,26/08/2022,SE SM WA PJT JSA ESA DIGITAL,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,VALTECH LTD,"£112,200"
August Transparency 358,24/08/2022,DIG ACCESSIBILITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£111,990"
August Transparency 359,22/08/2022,P&C SYNERGY,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,PIXEL GROUP LTD,"£111,760"
August Transparency 360,25/08/2022,EP CEP RESTART CPA 3A NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE - OUTCOME FEE 1,G4S REGIONAL MANAGEMENT UK & I LTD,"£111,297"
August Transparency 361,11/08/2022,EP CEP WHP DWP CONTRACTS NE ENG CPA2,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£110,644"
August Transparency 362,19/08/2022,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,PARAGON CUSTOMER COMMUNICATIONS INTERNATIONAL LTD,"£110,373"
August Transparency 363,12/08/2022,DIG WORKPLACE COMPUTING SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CDW LTD,"£110,355"
August Transparency 364,12/08/2022,DIG WORKPLACE COMPUTING SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CDW LTD,"£110,355"
August Transparency 365,22/08/2022,PCP ESTATES FFE DELA,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,WAGSTAFF BROS LTD T/A WAGSTAFF INTERIORS GROUP,"£109,594"
August Transparency 366,26/08/2022,PCP ESTATES SECURITY DELA,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,G4S SECURE SOLUTIONS UK LTD,"£108,924"
August Transparency 367,22/08/2022,DIG NOTIFICATION SERVICE PROJECT DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£108,900"
August Transparency 368,17/08/2022,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£108,404"
August Transparency 369,08/08/2022,DIG WORKPLACE COMPUTING SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£108,083"
August Transparency 370,11/08/2022,EP CEP RESTART CPA 3A NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,G4S REGIONAL MANAGEMENT UK & I LTD,"£107,511"
August Transparency 371,18/08/2022,DIG CITIZEN INF - STRATEGIC ARA CROSS PROG SUPPORT DELP,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,OPENCAST,"£107,289"
August Transparency 372,04/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,CARE TO STEP UP,"£107,129"
August Transparency 373,18/08/2022,EP CEP RESTART CPA 4A SOUTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,THE PLUSS ORGANISATION,"£107,123"
August Transparency 374,22/08/2022,DIG STRATEGIC VIDEO SOLUTION DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£105,598"
August Transparency 375,04/08/2022,CHG UC DIGITAL SERVICES-RECURRENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ACF TECHNOLOGIES (UK) LTD,"£105,176"
August Transparency 376,23/08/2022,SE SM CMG PJT DIGITAL,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,TATA CONSULTANCY SERVICES LTD,"£105,104"
August Transparency 377,18/08/2022,PCP ESTATES UTILITIES DELP,EXP - PURCHASE OF GOODS/SERVICES - ELECTRICITY,NPOWER BUSINESS SOLUTIONS,"£105,031"
August Transparency 378,26/08/2022,STR WAB DIRECTOR & SUPPORT,Exp - Purchase Of Goods/Services - Consultancy,PA CONSULTING SERVICES LTD,"£103,985"
August Transparency 379,19/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,BACK2WORK,"£103,791"
August Transparency 380,17/08/2022,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - BANK CHARGES,VOCALINK,"£103,200"
August Transparency 381,22/08/2022,EP CEP RESTART CPA 5A CENTRAL & WEST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£102,982"
August Transparency 382,02/08/2022,DIG WORKPLACE COMPUTING SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,CDW LTD,"£102,275"
August Transparency 383,04/08/2022,DIG TRANSFORMATION ACCESS MANAGEMENT DELP,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CAPGEMINI UK PLC,"£100,951"
August Transparency 384,26/08/2022,OPS DD DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£100,314"
August Transparency 385,18/08/2022,EP CEP RESTART CPA 3B GREATER MANCHESTER,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£100,019"
August Transparency 386,26/08/2022,SE SM WA PJT JSA ESA DIGITAL,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,VALTECH LTD,"£99,828"
August Transparency 387,22/08/2022,CHG UC STAKEHOLDER & PARTNERS,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,MANNING GOTTLIEB OMD,"£99,531"
August Transparency 388,03/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£99,479"
August Transparency 389,04/08/2022,EP CEP RESTART CPA 1A WEST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SERCO LTD,"£99,467"
August Transparency 390,26/08/2022,CHG UC DIGITAL SERVICES-RECURRENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ACF TECHNOLOGIES (UK) LTD,"£98,820"
August Transparency 391,08/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,MCMT SKILLS FOR GROWTH PROGRAMME,"£98,597"
August Transparency 392,10/08/2022,DIG - SECURITY CONTRACTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,AKAMAI TECHNOLOGIES,"£98,348"
August Transparency 393,23/08/2022,DIG WORKPLACE COMPUTING SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,SPECIALIST COMPUTER CENTRES PLC,"£98,286"
August Transparency 394,10/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,TILBURY TOMORROW,"£98,091"
August Transparency 395,01/08/2022,EP CEP RESTART CPA 4B SOUTH CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,FEDCAP EMPLOYMENT,"£97,846"
August Transparency 396,02/08/2022,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SOL TEC LTD,"£97,812"
August Transparency 397,04/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,IGNITE ASPIRATIONS,"£97,723"
August Transparency 398,04/08/2022,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,TECKNUOVO LTD,"£97,524"
August Transparency 399,18/08/2022,DIG INTELLIGENT AUTOMATION GARAGE SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,SOFTWAREONE UK LTD,"£97,493"
August Transparency 400,12/08/2022,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,OPENCAST,"£97,368"
August Transparency 401,08/08/2022,DIG INFRASTRUCTURE TOOLING RUN,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DYNATRACE LTD,"£97,272"
August Transparency 402,15/08/2022,DIG IOS ARCHITECTURE DESIGN,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CAPGEMINI UK PLC,"£96,913"
August Transparency 403,01/08/2022,EP CEP RESTART CPA 4A SOUTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,THE PLUSS ORGANISATION,"£96,339"
August Transparency 404,04/08/2022,DIG TECH PLATFORM CIS BAU,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,BAE SYSTEMS APPLIED INTELLIGENCE LTD,"£96,255"
August Transparency 405,26/08/2022,DIG DATA ASSET MANAGEMENT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,AUTOMATION LOGIC LTD,"£96,015"
August Transparency 406,22/08/2022,DIG NOTIFICATION SERVICE PROJECT DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£95,694"
August Transparency 407,18/08/2022,EP CEP RESTART CPA 4B SOUTH CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,FEDCAP EMPLOYMENT,"£95,479"
August Transparency 408,30/08/2022,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,MANNING GOTTLIEB OMD,"£94,611"
August Transparency 409,23/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,APPRENTICESHIPS NEW ANGLIA,"£94,435"
August Transparency 410,26/08/2022,PCP ESTATES UTILITIES DELP,EXP - PURCHASE OF GOODS/SERVICES - GAS,TOTAL ENERGIES GAS& POWER LIMITED,"£94,315"
August Transparency 411,22/08/2022,HR CHANGE REQUESTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - HR,SHARED SERVICES CONNECTED LTD,"£94,302"
August Transparency 412,30/08/2022,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM UNITED KINGDOM LTD,"£94,073"
August Transparency 413,08/08/2022,EP CEP RESTART CPA 5A CENTRAL & WEST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£93,620"
August Transparency 414,11/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,CORNWALL RECOVERY COLLEGE,"£93,307"
August Transparency 415,22/08/2022,FG FIN CONT SHARED SERVICES CORE COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ACCOUNTING,SHARED SERVICES CONNECTED LTD,"£93,208"
August Transparency 416,01/08/2022,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,MANNING GOTTLIEB OMD,"£92,958"
August Transparency 417,30/08/2022,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,MANNING GOTTLIEB OMD,"£92,958"
