A3131. Expenditure Over Threshold (AP),,,,,,,,,
,,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description,Purchase Invoice Number
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,MAPLES HEALTH CENTRE,37554166,"11,302.61",C&M-GMS PCN DES Clin Pharmacist,G05000006000
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,MAPLES HEALTH CENTRE,37554166,"2,797.90",C&M-GMS PCN DES Clinical Director,G05000006000
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MAPLES HEALTH CENTRE,37554166,"1,859.18",C&M-GMS PCN DES Participation,G05000006000
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Physiotherapist,PRC DELEGATED CO-COMMISSIONING,MAPLES HEALTH CENTRE,37554166,"4,355.16",C&M-GMS PCN DES Physiotherapist,G05000006000
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,MAPLES HEALTH CENTRE,37554166,"6,019.00",C&M-GMS PCN DES Soc Prescribing,G05000006000
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MAPLES HEALTH CENTRE,37554166,"8,359.64",C&M-GMS QOF Aspiration,G05000006000
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-PCN DES DIETICIANS,PRC DELEGATED CO-COMMISSIONING,MAPLES HEALTH CENTRE,37554166,"3,221.77",C&M-PCN DES DIETICIANS,G05000006000
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,MAPLES HEALTH CENTRE,37554166,"1,424.79",ME-GMS GP Pension EEs,G05000006000
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,MAPLES HEALTH CENTRE,37554166,"5,112.29",ME-GMS GP Pension EEs Adjustments,G05000006000
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension ERs,PRC DELEGATED CO-COMMISSIONING,MAPLES HEALTH CENTRE,37554166,"2,366.71",ME-GMS GP Pension ERs,G05000006000
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,MAPLES HEALTH CENTRE,37554166,"5,674.12",ME-GMS GP Pension ERs Adjustments,G05000006000
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,MAPLES HEALTH CENTRE,37554168,"-11,898.02",ME - GMS GP Prior Year ERs,G05000006002
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,MAPLES HEALTH CENTRE,37554168,"-3,370.83",ME-GMS GP Pension EEs,G05000006002
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension ERs,PRC DELEGATED CO-COMMISSIONING,MAPLES HEALTH CENTRE,37554168,"-3,475.16",ME-GMS GP Pension ERs,G05000006002
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,MAPLES HEALTH CENTRE,37554168,"-13,169.40",ME-GMS GP Prior Year EEs,G05000006002
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Clinical&Medical-Voluntary Sector,PALLIATIVE CARE,MARIE CURIE,37507267,"45,800.75",Clinical&Medical-Voluntary Sector,89002
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,MARIE STOPES INTERNATIONAL,37438090,"39,483.00",Clinical&Medical-Voluntary Sector,MS211207
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,External Data Contracts,STRATEGY & DEVELOPMENT,MEDEANALYTICS,37349167,"35,710.00",External Data Contracts,INV16736
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MID AND SOUTH ESSEX FOUNDATION TRUST,37401946,"190,418.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP072103
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Clinical&Medical-Independent Sector,WHEELCHAIR SERVICE,MILLBROOK HEALTHCARE LTD,37564092,"126,062.65",Clinical&Medical-Independent Sector,31766
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,37401968,"421,878.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP072115
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,MUCH HADHAM HLTH CNTRE,37541228,"55,228.32",C&M-GMS Global Sum,G05000004996
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MUCH HADHAM HLTH CNTRE,37541228,984.11,C&M-GMS PCN DES Participation,G05000004996
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,MUCH HADHAM HLTH CNTRE,37541228,"6,000.00",C&M-GMS Prem Actual Rent,G05000004996
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,MUCH HADHAM HLTH CNTRE,37541228,"1,875.00",C&M-GMS Prem Notional Rent,G05000004996
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,MUCH HADHAM HLTH CNTRE,37541228,203.25,C&M-GMS Prem Water Rates,G05000004996
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MUCH HADHAM HLTH CNTRE,37541228,"5,647.16",C&M-GMS QOF Aspiration,G05000004996
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,MUCH HADHAM HLTH CNTRE,37554737,"44,851.05",C&M-GMS Cost of Drugs -Dispensing,G05000006238
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,MUCH HADHAM HLTH CNTRE,37554737,"20,586.78",C&M-GMS Prof Fees Dispensing,G05000006238
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NEVELLS ROAD SURGERY,37541268,"76,838.78",C&M-GMS Global Sum,G05000005976
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NEVELLS ROAD SURGERY,37541268,"1,501.55",C&M-GMS PCN DES Participation,G05000005976
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NEVELLS ROAD SURGERY,37541268,"3,500.00",C&M-GMS Prem Notional Rent,G05000005976
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,NEVELLS ROAD SURGERY,37541268,129.95,C&M-GMS Prem Water Rates,G05000005976
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NEVELLS ROAD SURGERY,37541268,"8,535.44",C&M-GMS QOF Aspiration,G05000005976
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NEW RIVER HEALTH,37541252,140.00,C&M-GMS DES Learn Dsblty Hlth Chk,G05000005080
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NEW RIVER HEALTH,37541252,"137,459.83",C&M-GMS Global Sum,G05000005080
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NEW RIVER HEALTH,37541252,"2,924.29",C&M-GMS PCN DES Participation,G05000005080
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NEW RIVER HEALTH,37541252,"17,587.50",C&M-GMS Prem Notional Rent,G05000005080
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,NEW RIVER HEALTH,37541252,403.57,C&M-GMS Prem Water Rates,G05000005080
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NEW RIVER HEALTH,37541252,"14,320.90",C&M-GMS QOF Aspiration,G05000005080
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,E'ers Pen-Senior Manager band 8D,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,NHS BUSINESS SERVICES AUTHORITY,37574765,"36,555.52",E'ers Pen-Senior Manager band 8D,2000005044
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Seconded-Basic Sal-Staff fm oth org,PRIMARY CARE SUPPORT,NHS HERTS VALLEYS CCG,37303642,"22,430.54",Seconded-Basic Sal-Staff fm oth org,7021201789
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Seconded-Employer's NHI Costs,PRIMARY CARE SUPPORT,NHS HERTS VALLEYS CCG,37303642,"2,798.16",Seconded-Employer's NHI Costs,7021201789
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Seconded-Employer's Pension Costs,PRIMARY CARE SUPPORT,NHS HERTS VALLEYS CCG,37303642,"3,225.51",Seconded-Employer's Pension Costs,7021201789
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Rent,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,37303591,"87,374.08",Rent,H447651
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Contr Estate Management,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,37349180,"2,333.97",Contr Estate Management,H467115
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Contr Estate Management,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,37349180,"11,669.83",Contr Estate Management,H467115
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Service Charge,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,37349180,"59,560.09",Service Charge,H467115
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Meeting expense/Room Hire,PRC DELEGATED CO-COMMISSIONING,NHS PROPERTY SERVICES LTD,37396737,"27,375.00",Meeting expense/Room Hire,H465103
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Seconded-Basic Sal-Staff fm oth org,CEO/ BOARD OFFICE,NHS WEST ESSEX CCG,37349151,"12,550.70",Seconded-Basic Sal-Staff fm oth org,7022001934
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Seconded-Basic Sal-Staff fm oth org,CEO/ BOARD OFFICE,NHS WEST ESSEX CCG,37349151,"9,134.38",Seconded-Basic Sal-Staff fm oth org,7022001934
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Seconded-Basic Sal-Staff fm oth org,NURSING DIRECTORATE,NHS WEST ESSEX CCG,37349151,"9,228.46",Seconded-Basic Sal-Staff fm oth org,7022001934
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Seconded-Employer's NHI Costs,CEO/ BOARD OFFICE,NHS WEST ESSEX CCG,37349151,"1,642.81",Seconded-Employer's NHI Costs,7022001934
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Seconded-Employer's NHI Costs,CEO/ BOARD OFFICE,NHS WEST ESSEX CCG,37349151,"1,171.36",Seconded-Employer's NHI Costs,7022001934
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Seconded-Employer's NHI Costs,NURSING DIRECTORATE,NHS WEST ESSEX CCG,37349151,"1,184.34",Seconded-Employer's NHI Costs,7022001934
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Seconded-Employer's Pension Costs,CEO/ BOARD OFFICE,NHS WEST ESSEX CCG,37349151,"1,313.53",Seconded-Employer's Pension Costs,7022001934
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Charges from CCG,PROGRAMME PROJECTS,NHS WEST ESSEX CCG,37457282,"113,854.00",Charges from CCG,7022001938
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,37401971,"815,515.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP072116
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Corporation Tax Payable,BALANCE SHEET,ONE-OFF SUPPLIER,37349869,"-3,082.25",Corporation Tax Payable,107558-06-JUL-2021
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,NHS Recbles <1Yr- CHC Risk Pool Con,BALANCE SHEET,ONE-OFF SUPPLIER,37349869,"80,464.19",NHS Recbles <1Yr- CHC Risk Pool Con,107558-06-JUL-2021
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Corporation Tax Payable,BALANCE SHEET,ONE-OFF SUPPLIER,37459534,"-1,003.01",Corporation Tax Payable,107597-14-JUL-2021
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Utilisation-Cont Care<1Yr,BALANCE SHEET,ONE-OFF SUPPLIER,37459534,"90,697.58",Utilisation-Cont Care<1Yr,107597-14-JUL-2021
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,PARK GREEN SURGERY BROXBOURNE,37541290,"75,519.21",C&M-GMS Global Sum,G05000006068
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PARK GREEN SURGERY BROXBOURNE,37541290,"1,576.98",C&M-GMS PCN DES Participation,G05000006068
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,PARK GREEN SURGERY BROXBOURNE,37541290,"6,631.00",C&M-GMS PCO Other,G05000006068
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,PARK GREEN SURGERY BROXBOURNE,37541290,"20,775.00",C&M-GMS Prem Notional Rent,G05000006068
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PARK GREEN SURGERY BROXBOURNE,37541290,"8,279.51",C&M-GMS QOF Aspiration,G05000006068
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,PARSONAGE SURGERY,37554178,"47,476.48",C&M-GMS Global Sum,G05000006110
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PARSONAGE SURGERY,37554178,"1,012.28",C&M-GMS PCN DES Participation,G05000006110
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,PARSONAGE SURGERY,37554178,"8,355.00",C&M-GMS Prem Actual Rent,G05000006110
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PARSONAGE SURGERY,37554178,"4,524.56",C&M-GMS QOF Aspiration,G05000006110
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,PARSONAGE SURGERY,37554178,244.82,ME - GMS GP Prior Year ERs,G05000006110
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,PARSONAGE SURGERY,37554178,229.80,ME-GMS GP Prior Year EEs,G05000006110
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,PEARTREE GROUP PRACTICE,37541238,"2,940.00",C&M-GMS DES Learn Dsblty Hlth Chk,G05000005025
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,PEARTREE GROUP PRACTICE,37541238,"155,408.68",C&M-GMS Global Sum,G05000005025
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PEARTREE GROUP PRACTICE,37541238,"3,082.92",C&M-GMS PCN DES Participation,G05000005025
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,PEARTREE GROUP PRACTICE,37541238,"19,125.00",C&M-GMS Prem Actual Rent,G05000005025
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,PEARTREE GROUP PRACTICE,37541238,"21,700.00",C&M-GMS Prem Notional Rent,G05000005025
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PEARTREE GROUP PRACTICE,37541238,"16,725.46",C&M-GMS QOF Aspiration,G05000005025
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,PINEHILL HOSPITAL,37457360,"477,038.00",Clinical&Medical-Independent Sector,ENHCCGPINJUL21
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS DES Violent Patients,PRC DELEGATED CO-COMMISSIONING,PORTMILL SURGERY,37541243,"16,033.32",C&M-GMS DES Violent Patients,G05000005037
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,PORTMILL SURGERY,37541243,"105,097.07",C&M-GMS Global Sum,G05000005037
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PORTMILL SURGERY,37541243,"2,063.45",C&M-GMS PCN DES Participation,G05000005037
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PORTMILL SURGERY,37541243,"10,280.63",C&M-GMS QOF Aspiration,G05000005037
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,PORTMILL SURGERY,37554772,"22,434.08",C&M-GMS Cost of Drugs -Prescribing,G05000006434
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,PORTMILL SURGERY,37554772,"5,312.83",C&M-GMS Prof Fees Prescribing,G05000006434
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M- PCN DES CARE COORDINATOR,PRC DELEGATED CO-COMMISSIONING,POTTERELLS MEDICAL CENTRE,37554159,"11,552.25",C&M- PCN DES CARE COORDINATOR,G05000005066
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,POTTERELLS MEDICAL CENTRE,37554159,"5,250.00",C&M- PCN DES CARE HOME PREMIUM,G05000005066
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,POTTERELLS MEDICAL CENTRE,37554159,"6,298.32",C&M-GMS DES Extended Hours Access,G05000005066
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,POTTERELLS MEDICAL CENTRE,37554159,"108,174.34",C&M-GMS Global Sum,G05000005066
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,POTTERELLS MEDICAL CENTRE,37554159,"11,341.63",C&M-GMS PCN DES Clin Pharmacist,G05000005066
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,POTTERELLS MEDICAL CENTRE,37554159,"3,219.14",C&M-GMS PCN DES Clinical Director,G05000005066
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,POTTERELLS MEDICAL CENTRE,37554159,"2,603.64",C&M-GMS PCN DES Participation,G05000005066
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Physiotherapist,PRC DELEGATED CO-COMMISSIONING,POTTERELLS MEDICAL CENTRE,37554159,"6,416.02",C&M-GMS PCN DES Physiotherapist,G05000005066
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,POTTERELLS MEDICAL CENTRE,37554159,"5,061.36",C&M-GMS PCN DES Soc Prescribing,G05000005066
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,POTTERELLS MEDICAL CENTRE,37554159,"6,195.00",C&M-GMS Prem Actual Rent,G05000005066
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,POTTERELLS MEDICAL CENTRE,37554159,"15,797.50",C&M-GMS Prem Notional Rent,G05000005066
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,POTTERELLS MEDICAL CENTRE,37554159,"8,403.02",C&M-GMS QOF Aspiration,G05000005066
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Hcare Srv Rec NHS Trust,PROGRAMME PROJECTS,PRINCESS ALEXANDRA HOSPITAL NHS TRUST (THE),37303544,"54,917.00",Hcare Srv Rec NHS Trust,A124186
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PRINCESS ALEXANDRA HOSPITAL NHS TRUST (THE),37401982,"5,741,764.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP072121
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,PUCKERIDGE & STANDON SURGERY,37541236,"72,491.04",C&M-GMS Global Sum,G05000005022
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PUCKERIDGE & STANDON SURGERY,37541236,"1,325.89",C&M-GMS PCN DES Participation,G05000005022
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,PUCKERIDGE & STANDON SURGERY,37541236,"5,230.56",C&M-GMS PCO Doctors Ret Scheme,G05000005022
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,PUCKERIDGE & STANDON SURGERY,37541236,"15,407.50",C&M-GMS Prem Notional Rent,G05000005022
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PUCKERIDGE & STANDON SURGERY,37541236,"7,166.08",C&M-GMS QOF Aspiration,G05000005022
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,RAMSAY NEUROLOGICAL SERVICES,37457245,"250,000.00",Cont Care- Adult 100% Fully Funded,ENHERTS0721PF
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,RAMSAY NEUROLOGICAL SERVICES,37457248,"-67,102.21",Cont Care- Adult 100% Fully Funded,CRENHERTS04210621
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,REGAL CHAMBERS SURGERY,37541278,560.00,C&M-GMS DES Learn Dsblty Hlth Chk,G05000006032
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,REGAL CHAMBERS SURGERY,37541278,"95,661.30",C&M-GMS Global Sum,G05000006032
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,REGAL CHAMBERS SURGERY,37541278,"1,871.06",C&M-GMS PCN DES Participation,G05000006032
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,REGAL CHAMBERS SURGERY,37541278,"45,750.00",C&M-GMS Prem Actual Rent,G05000006032
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,REGAL CHAMBERS SURGERY,37541278,91.80,C&M-GMS Prem Water Rates,G05000006032
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,REGAL CHAMBERS SURGERY,37541278,"11,040.77",C&M-GMS QOF Aspiration,G05000006032
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,REGAL CHAMBERS SURGERY,37541278,473.67,ME - GMS GP Prior Year ERs,G05000006032
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,REGAL CHAMBERS SURGERY,37541278,444.71,ME-GMS GP Prior Year EEs,G05000006032
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,REGAL CHAMBERS SURGERY,37554171,"-20,115.93",C&M-GMS Prem Rates,G05000006034
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,REGAL CHAMBERS SURGERY,37554171,"-5,434.70",C&M-GMS QOF Achievement,G05000006034
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Pension Added Years EEs,PRC DELEGATED CO-COMMISSIONING,REGAL CHAMBERS SURGERY,37554171,-998.66,ME-GMS GP Pension Added Years EEs,G05000006034
