Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Sum of Amount,Text,Postcode
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9072002941157093,2283.75,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,Contractor Costs,IT DIRECTORATE,GENESYS TELECOMMUNICATIONS LTD,722401,2295.85,Customer Operations Technology PFI,GU14 7BF
Department For Transport,Highways England,30/10/2017,CM - Third Party Damage,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9073001741095672,2329.02,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9072002941158739,2348.37,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9072002941095550,2379.77,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9072002941158768,2383.24,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,CM - Third Party Damage,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9073001741157569,2420.16,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9073001741156743,2489.76,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,CM - Third Party Damage,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9073001741074543,2492.64,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,Contractor Costs,OPERATIONS DIRECTORATE,CH2M HILL UNITED KINGDOM,722473,2500,Operate General Other,W6 7EF
Department For Transport,Highways England,30/10/2017,Hire car rental,MAJOR PROJECTS,ENTERPRISE RENT-A-CAR UK LTD,1163824,2520.22,Support General Corporate Services,CB8 0AL
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9072002941156699,2542.9,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,Contractor Costs,"SAFETY, ENGINEERING AND STANDARDS",OVE ARUP & PARTNERS,722425,2547.45,Support General Research and Development,NE1 3PL
Department For Transport,Highways England,30/10/2017,Hire car rental,OPERATIONS DIRECTORATE,ENTERPRISE RENT-A-CAR UK LTD,1163824,2553.49,Customer Operations Traffic Management,CB8 0AL
Department For Transport,Highways England,30/10/2017,CM - Third Party Damage,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9073001741158289,2569.49,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,CM - Third Party Damage,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9072002941157177,2590.17,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,Teas and Coffees,HUMAN RESOURCES,AMEY COMMUNITY LIMITED,722434,2598.81,Support General Corporate Services,OX4 4DQ
Department For Transport,Highways England,30/10/2017,CM - Third Party Damage,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9073001741156721,2618.94,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,CM - Third Party Damage,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9073001741157008,2688.52,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,CM - Third Party Damage,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9073001741158284,2708.03,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9073001741158984,2756.27,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9072002941156696,2789.78,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,CM - Third Party Damage,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9073001741157137,2813.65,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,Couriers & IDS Operating Costs,FINANCE & BUSINESS SERVICES,AMEY COMMUNITY LIMITED,722434,2842.43,Support General Ex Admin,OX4 4DQ
Department For Transport,Highways England,30/10/2017,CM - Third Party Damage,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9073001741158150,2893.51,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,Contractor Costs,OPERATIONS DIRECTORATE,AECOM,722442,3041.28,Operate General Other,AL1 9WQ
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9072002941156684,3062.16,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9072002941156685,3100.4,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,CM - Third Party Damage,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9073001741157042,3120.34,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9072002941157142,3155.8,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,Contractor Costs,"SAFETY, ENGINEERING AND STANDARDS",WSP UK LIMITED,722411,3199.48,Support General Research and Development,RG21 4HJ
Department For Transport,Highways England,30/10/2017,CM - Third Party Damage,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9073001741157503,3206.25,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,CM - Third Party Damage,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9073001741095849,3226.56,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9073001741020063,3358.31,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9072002941156810,3429.5,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,CM - Third Party Damage,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9073001741157082,3499.63,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,Contractor Costs,"SAFETY, ENGINEERING AND STANDARDS",WSP UK LIMITED,722422,3558.36,Support General Research and Development,RG21 4HJ
Department For Transport,Highways England,30/10/2017,UK subsistence,IT DIRECTORATE,REDFERN TRAVEL LTD,4993,3585.78,This relates to 35 Hotel stays accross 26 employees for the given Directorate,BD1 3AZ
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9072002941157665,3667.61,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9072002941157007,3717.26,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,UK subsistence,OPERATIONS DIRECTORATE,REDFERN TRAVEL LTD,4993,3740.71,This relates to 38 Hotel stays accross 31 employees for the given Directorate,BD1 3AZ
Department For Transport,Highways England,30/10/2017,TA Cost AUC - Programme,MAJOR PROJECTS,ATKINS LTD,722465,3873,Legacy Schemes,BS32 4SY
Department For Transport,Highways England,30/10/2017,CM - Third Party Damage,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9072002941157595,3896.95,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,Postage,FINANCE & BUSINESS SERVICES,AMEY COMMUNITY LIMITED,722434,3956.4,Support General Ex Admin,OX4 4DQ
Department For Transport,Highways England,30/10/2017,Travel - Rail - Standard,CORP AFFAIRS & COMMS DIR,REDFERN TRAVEL LTD,4993,3991.91,Mode of Travel is Travel - Rail - Standard this represents 60 journeys within the given Directorate,BD1 3AZ
Department For Transport,Highways England,30/10/2017,CM - Third Party Damage,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9073001741158842,4054.46,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,Contractor Costs,"SAFETY, ENGINEERING AND STANDARDS",THE UNIVERSITY OF SHEFFIELD,722459,4165,Support General Other,S1 3JD
Department For Transport,Highways England,30/10/2017,ICT Software Purchase,IT DIRECTORATE,CONCENTRA CONSULTING LTD,722518,4200,Support General Corporate Services,SE1 9EQ
Department For Transport,Highways England,30/10/2017,ICT Software Purchase,IT DIRECTORATE,CONCENTRA CONSULTING LTD,722519,4200,Support General Corporate Services,SE1 9EQ
Department For Transport,Highways England,30/10/2017,ICT Software Purchase,IT DIRECTORATE,CONCENTRA CONSULTING LTD,722520,4200,Support General Corporate Services,SE1 9EQ
Department For Transport,Highways England,30/10/2017,ICT Software Purchase,IT DIRECTORATE,CONCENTRA CONSULTING LTD,722522,4200,Support General Corporate Services,SE1 9EQ
Department For Transport,Highways England,30/10/2017,ICT Software Purchase,IT DIRECTORATE,CONCENTRA CONSULTING LTD,722523,4200,Support General Corporate Services,SE1 9EQ
Department For Transport,Highways England,30/10/2017,ICT Software Purchase,IT DIRECTORATE,CONCENTRA CONSULTING LTD,722524,4200,Support General Corporate Services,SE1 9EQ
Department For Transport,Highways England,30/10/2017,ICT Software Purchase,IT DIRECTORATE,CONCENTRA CONSULTING LTD,722525,4200,Support General Corporate Services,SE1 9EQ
Department For Transport,Highways England,30/10/2017,ICT Software Purchase,IT DIRECTORATE,CONCENTRA CONSULTING LTD,722526,4200,Support General Corporate Services,SE1 9EQ
Department For Transport,Highways England,30/10/2017,ICT Software Purchase,IT DIRECTORATE,CONCENTRA CONSULTING LTD,722527,4200,Support General Corporate Services,SE1 9EQ
Department For Transport,Highways England,30/10/2017,UK subsistence,"SAFETY, ENGINEERING AND STANDARDS",REDFERN TRAVEL LTD,4993,4213.55,This relates to 50 Hotel stays accross 40 employees for the given Directorate,BD1 3AZ
Department For Transport,Highways England,30/10/2017,TA Cost AUC - ICT (A),OPERATIONS DIRECTORATE,PITNEY BOWES SOFTWARE EUROPE LIMITED,712095,4241,Operate General Management Costs,AL10 9UJ
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9073001741156688,4340.68,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9072002941157481,4344.16,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9072002941157268,4346.87,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9072002941153545,4370.46,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,Contractor Costs,OPERATIONS DIRECTORATE,AECOM,722474,4404.07,TM - Network Resilience,AL1 9WQ
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9072002941156693,4406.76,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9072002941157144,4435.79,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,Contractor Costs,"SAFETY, ENGINEERING AND STANDARDS",WSP UK LIMITED,722535,4481,Support General Other,RG21 4HJ
Department For Transport,Highways England,30/10/2017,CM - Third Party Damage,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9073001741158879,4547.97,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,TA Cost AUC - Programme,MAJOR PROJECTS,WSP UK LIMITED,722528,4566.62,SR13 RIP Schemes,RG21 4HJ
Department For Transport,Highways England,30/10/2017,Travel - Rail - Standard,HUMAN RESOURCES,REDFERN TRAVEL LTD,4993,4607.45,Mode of Travel is Travel - Rail - Standard this represents 57 journeys within the given Directorate,BD1 3AZ
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9072002941156950,4678.34,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9072002941156960,4690.48,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,Travel - Rail - Standard,IT DIRECTORATE,REDFERN TRAVEL LTD,4993,4742.65,Mode of Travel is Travel - Rail - Standard this represents 75 journeys within the given Directorate,BD1 3AZ
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9073001741157441,4873.21,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,CM - Third Party Damage,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9072002941156734,5035.07,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,CM - Third Party Damage,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9073001741157951,5093.56,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,CM - Third Party Damage,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9073001741157066,5206.64,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,UK subsistence,MAJOR PROJECTS,REDFERN TRAVEL LTD,4993,5248.2,This relates to 58 Hotel stays accross 38 employees for the given Directorate,BD1 3AZ
Department For Transport,Highways England,30/10/2017,PFI Service Payments,OPERATIONS DIRECTORATE,CONNECT A50 LIMITED,722482,5288.71,Operate Roads PFI Service Payments,NW1 3AX
Department For Transport,Highways England,30/10/2017,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,DYNNIQ,722430,5400,Renewals of Technology,RG24 8WZ
Department For Transport,Highways England,30/10/2017,Travel - Rail - Standard,IT DIRECTORATE,REDFERN TRAVEL LTD,4993,5415.35,Mode of Travel is Travel - Rail - Standard this represents 91 journeys within the given Directorate,BD1 3AZ
Department For Transport,Highways England,30/10/2017,UK subsistence,OPERATIONS DIRECTORATE,REDFERN TRAVEL LTD,4993,5549.06,This relates to 51 Hotel stays accross 40 employees for the given Directorate,BD1 3AZ
Department For Transport,Highways England,30/10/2017,Contractor Costs,"SAFETY, ENGINEERING AND STANDARDS",WSP UK LIMITED,722512,5612.6,Support General Research and Development,RG21 4HJ
Department For Transport,Highways England,30/10/2017,Travel - Rail - Standard,COMMERCIAL & PROCUREMENT,REDFERN TRAVEL LTD,4993,6045.45,Mode of Travel is Travel - Rail - Standard this represents 112 journeys within the given Directorate,BD1 3AZ
Department For Transport,Highways England,30/10/2017,Contractor Costs,"SAFETY, ENGINEERING AND STANDARDS",TRL LTD,722436,6058.87,Support General Other,RG40 3GA
Department For Transport,Highways England,30/10/2017,Contractor Costs,"SAFETY, ENGINEERING AND STANDARDS",OVE ARUP & PARTNERS,722533,6071.05,Support General Other,NE1 3PL
Department For Transport,Highways England,30/10/2017,Contractor Costs,"SAFETY, ENGINEERING AND STANDARDS",OVE ARUP & PARTNERS,722485,6157.84,Support General Other,NE1 3PL
Department For Transport,Highways England,30/10/2017,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,SKANSKA CONSTRUCTION UK LTD,722532,6168.77,Local Network Managed Scheme Safety,WD3 9AS
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9072002941157349,6199.49,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,TA Cost AUC - Programme,MAJOR PROJECTS,ARCADIS CONSULTING (UK) LIMITED,722503,6264.68,RIS 1 Schemes,CF3 0EY
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9072002941157033,6359.29,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,RM Cost Reimbursable,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9072002941156695,6466.47,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,Contractor Costs,"SAFETY, ENGINEERING AND STANDARDS",TRL LTD,722426,6659.45,Support General Other,RG40 3GA
Department For Transport,Highways England,30/10/2017,CM - Third Party Damage,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9073001741158013,7151.29,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,Hire car rental,OPERATIONS DIRECTORATE,ENTERPRISE RENT-A-CAR UK LTD,1163824,7217.75,Operate General Management Costs,CB8 0AL
Department For Transport,Highways England,30/10/2017,Contractor Costs,"SAFETY, ENGINEERING AND STANDARDS",ATKINS-CH2M JOINT VENTURE,722486,7356.09,Support General Other,W6 7EF
Department For Transport,Highways England,30/10/2017,Travel - Rail - Standard,FINANCE & BUSINESS SERVICES,REDFERN TRAVEL LTD,4993,7456.9,Mode of Travel is Travel - Rail - Standard this represents 106 journeys within the given Directorate,BD1 3AZ
Department For Transport,Highways England,30/10/2017,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,SKANSKA CONSTRUCTION UK LTD,722531,7663.81,Local Network Managed Scheme Safety,WD3 9AS
Department For Transport,Highways England,30/10/2017,"Contingent Labour	",OPERATIONS DIRECTORATE,HYDER HALCROW M25 JOINT VENTURE,722511,7706.16,Operate General Management Costs,GU2 7AR
Department For Transport,Highways England,30/10/2017,Contractor Costs,"SAFETY, ENGINEERING AND STANDARDS",TRL LTD,722402,7763.79,Support General Research and Development,RG40 3GA
Department For Transport,Highways England,30/10/2017,CM - Third Party Damage,OPERATIONS DIRECTORATE,AMEY HIGHWAYS LIMITED,CONF_9072002941095728,7866.07,Routine Maintenance,CB25 9PG
Department For Transport,Highways England,30/10/2017,Contractor Costs,"SAFETY, ENGINEERING AND STANDARDS",OVE ARUP & PARTNERS,722493,7902.03,Customer Operations Traffic Management,NE1 3PL
Department For Transport,Highways England,30/10/2017,"Admin building refurbishment, maintenance, repairs, inspections and advice",FINANCE & BUSINESS SERVICES,AMEY COMMUNITY LIMITED,722433,7990.68,Operate General Management Costs,OX4 4DQ
Department For Transport,Highways England,30/10/2017,Travel - Rail - Standard,STRATEGY & PLANNING DIR,REDFERN TRAVEL LTD,4993,8151.25,Mode of Travel is Travel - Rail - Standard this represents 126 journeys within the given Directorate,BD1 3AZ
Department For Transport,Highways England,30/10/2017,UK subsistence,HUMAN RESOURCES,REDFERN TRAVEL LTD,4993,8618.63,This relates to 58 Hotel stays accross 16 employees for the given Directorate,BD1 3AZ
Department For Transport,Highways England,30/10/2017,TA Cost AUC - Programme,MAJOR PROJECTS,HYDER HALCROW M25 JOINT VENTURE,722410,8951.29,SR13 RIP Schemes,GU2 7AR
Department For Transport,Highways England,30/10/2017,Contractor Costs,"SAFETY, ENGINEERING AND STANDARDS",OVE ARUP & PARTNERS,722461,9000,Support General Other,NE1 3PL
Department For Transport,Highways England,30/10/2017,Travel - Rail - Standard,OPERATIONS DIRECTORATE,REDFERN TRAVEL LTD,4993,9404.75,Mode of Travel is Travel - Rail - Standard this represents 187 journeys within the given Directorate,BD1 3AZ
Department For Transport,Highways England,30/10/2017,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,SKANSKA CONSTRUCTION UK LTD,722532,9526.6,Safety Delivery,WD3 9AS
Department For Transport,Highways England,30/10/2017,TA Cost AUC - Programme,COMMERCIAL & PROCUREMENT,TURNER & TOWNSEND,722414,9778,Support General Other,B3 2DP
Department For Transport,Highways England,30/10/2017,TA Cost AUC - Programme,MAJOR PROJECTS,DAVITT JONES BOULD LTD (TR140),LOMD261613,10125,Legacy Schemes,TA1 4EB
Department For Transport,Highways England,30/10/2017,Other office-related equipment and consumables Costs,FINANCE & BUSINESS SERVICES,AMEY COMMUNITY LIMITED,722434,10270.87,Support General Ex Admin,OX4 4DQ
Department For Transport,Highways England,30/10/2017,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,SKANSKA CONSTRUCTION UK LTD,722532,11416.6,Renewals of Structures,WD3 9AS
Department For Transport,Highways England,30/10/2017,"Contingent Labour	",OPERATIONS DIRECTORATE,HYDER HALCROW M25 JOINT VENTURE,722509,11539.26,Operate General Management Costs,GU2 7AR
Department For Transport,Highways England,30/10/2017,Contractor Costs,IT DIRECTORATE,MOTT MACDONALD GROUP LTD,722458,11636.68,Technology Projects - Safety,CR0 2EE
Department For Transport,Highways England,30/10/2017,"Contingent Labour	",COMMERCIAL & PROCUREMENT,WSP UK LIMITED,722477,12009.12,Support General Corporate Services,RG21 4HJ
Department For Transport,Highways England,30/10/2017,"Contingent Labour	",COMMERCIAL & PROCUREMENT,WSP UK LIMITED,722476,12192.77,Support General Corporate Services,RG21 4HJ
Department For Transport,Highways England,30/10/2017,TA Cost AUC - Programme,IT DIRECTORATE,KPMG LLP,722403,12600,Technology Projects - Economy,WD17 1DE
Department For Transport,Highways England,30/10/2017,TA Cost AUC - Programme,IT DIRECTORATE,CHUBB SYSTEMS,722405,12982.97,Innovation Safety Delivery,BB1 2PR
Department For Transport,Highways England,30/10/2017,"Contingent Labour	",COMMERCIAL & PROCUREMENT,WSP UK LIMITED,722484,13811.62,Support General Corporate Services,RG21 4HJ
Department For Transport,Highways England,30/10/2017,ICT Software Maintenance,IT DIRECTORATE,ACTICA CONSULTING LIMITED,722481,13945,Support General Corporate Services,GU2 7RF
Department For Transport,Highways England,30/10/2017,Contractor Costs,"SAFETY, ENGINEERING AND STANDARDS",TRL LTD,722496,14000,Support General Other,RG40 3GA
Department For Transport,Highways England,30/10/2017,TA Cost AUC - Programme,"SAFETY, ENGINEERING AND STANDARDS",WSP UK LIMITED,722472,14203.96,Innovation Safety Delivery,RG21 4HJ
Department For Transport,Highways England,30/10/2017,Contractor Costs,"SAFETY, ENGINEERING AND STANDARDS",WSP UK LIMITED,722468,14223.47,Support General Other,RG21 4HJ
Department For Transport,Highways England,30/10/2017,Contractor Costs,"SAFETY, ENGINEERING AND STANDARDS",ATKINS-CH2M JOINT VENTURE,722495,14320.5,TM - Other,W6 7EF
Department For Transport,Highways England,30/10/2017,TA Cost AUC - Programme,COMMERCIAL & PROCUREMENT,FAITHFUL & GOULD,722413,14786.82,Support General Other,WR5 1TX
Department For Transport,Highways England,30/10/2017,Contractor Costs,MAJOR PROJECTS,OVE ARUP & PARTNERS,722505,15028.72,Support General Other,NE1 3PL
Department For Transport,Highways England,30/10/2017,"TOS Operational Vehicle fleet management	",OPERATIONS DIRECTORATE,ENTERPRISE RENT-A-CAR UK LTD,722491,15107.8,Routine Maintenance,CB8 0AL
Department For Transport,Highways England,30/10/2017,"Contingent Labour	",COMMERCIAL & PROCUREMENT,ARCADIS LLP,720335,15153.24,Support General Corporate Services,M60 3NT
Department For Transport,Highways England,30/10/2017,Contractor Costs,"SAFETY, ENGINEERING AND STANDARDS",WSP UK LIMITED,722406,15215.53,Support General Other,RG21 4HJ
Department For Transport,Highways England,30/10/2017,Travel - Rail - Standard,"SAFETY, ENGINEERING AND STANDARDS",REDFERN TRAVEL LTD,4993,15599.3,Mode of Travel is Travel - Rail - Standard this represents 259 journeys within the given Directorate,BD1 3AZ
Department For Transport,Highways England,30/10/2017,TA Cost AUC - ICT (A),IT DIRECTORATE,MISCO UK LIMITED,722536,16006.61,Support General Ex Admin,NN8 6XH
Department For Transport,Highways England,30/10/2017,Contractor Costs,"SAFETY, ENGINEERING AND STANDARDS",ATKINS-CH2M JOINT VENTURE,722428,16200,Support General Other,W6 7EF
Department For Transport,Highways England,30/10/2017,Contractor Costs,"SAFETY, ENGINEERING AND STANDARDS",TRL LTD,722500,17131.44,Support General Research and Development,RG40 3GA
Department For Transport,Highways England,30/10/2017,Contractor Costs,"SAFETY, ENGINEERING AND STANDARDS",OVE ARUP & PARTNERS,722408,17486.76,Support General Other,NE1 3PL
Department For Transport,Highways England,30/10/2017,Travel - Rail - Standard,MAJOR PROJECTS,REDFERN TRAVEL LTD,4993,17698.07,Mode of Travel is Travel - Rail - Standard this represents 322 journeys within the given Directorate,BD1 3AZ
Department For Transport,Highways England,30/10/2017,ICT Software Maintenance,IT DIRECTORATE,VODAFONE LIMITED (TELEPHONE ACCOUNTS),722483,17818,Support General Corporate Services,SE1 0SL
Department For Transport,Highways England,30/10/2017,TA Cost AUC - Programme,IT DIRECTORATE,BAE SYSTEMS APPLIED INTELLIGENCE,722457,18000,Technology Projects - Economy,GU2 7YP
Department For Transport,Highways England,30/10/2017,TA Cost AUC - Programme,"SAFETY, ENGINEERING AND STANDARDS",WSP UK LIMITED,722471,18562.2,Innovation Safety Delivery,RG21 4HJ
Department For Transport,Highways England,30/10/2017,Contractor Costs,"SAFETY, ENGINEERING AND STANDARDS",ROADSAFE,722497,18711.59,Support General Other,SW1P 2BN
Department For Transport,Highways England,30/10/2017,Contractor Costs,"SAFETY, ENGINEERING AND STANDARDS",ROADSAFE,722499,20000,Support General Other,SW1P 2BN
Department For Transport,Highways England,30/10/2017,Contractor Costs,IT DIRECTORATE,CHUBB SYSTEMS,722404,21319.42,Technology Maintenance,BB1 2PR
Department For Transport,Highways England,30/10/2017,Contractor Costs,"SAFETY, ENGINEERING AND STANDARDS",OVE ARUP & PARTNERS,722415,22397.45,Support General Other,NE1 3PL
Department For Transport,Highways England,30/10/2017,Contractor Costs,IT DIRECTORATE,OVE ARUP & PARTNERS,722429,22600,TM - Other,NE1 3PL
Department For Transport,Highways England,30/10/2017,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,JACOBS UK LTD,722451,22964.45,Renewals of Structures,G2 7HX
Department For Transport,Highways England,30/10/2017,Contractor Costs,"SAFETY, ENGINEERING AND STANDARDS",OVE ARUP & PARTNERS,722412,23678.1,Support General Other,NE1 3PL
Department For Transport,Highways England,30/10/2017,TA Cost AUC - ICT (A),OPERATIONS DIRECTORATE,PITNEY BOWES SOFTWARE EUROPE LIMITED,722449,24960,Operate General Management Costs,AL10 9UJ
Department For Transport,Highways England,30/10/2017,TA Cost AUC - Programme,MAJOR PROJECTS,PARSONS BRINCKERHOFF LIMITED (WSP),722502,27156.02,SR13 RIP Schemes,NE4 7YQ
Department For Transport,Highways England,30/10/2017,TA Cost AUC - ICT (A),OPERATIONS DIRECTORATE,PITNEY BOWES SOFTWARE EUROPE LIMITED,722450,28085,Operate General Management Costs,AL10 9UJ
Department For Transport,Highways England,30/10/2017,Contractor Costs,OPERATIONS DIRECTORATE,AECOM,722441,28448.28,Operate General Other,AL1 9WQ
Department For Transport,Highways England,30/10/2017,Contractor Costs,"SAFETY, ENGINEERING AND STANDARDS",PELL FRISCHMANN,722516,29891,Support General Research and Development,WF1 1LY
