Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,City Planned Care - East,HCL NURSING,HNSI0000504,14344.03
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,City Planned Care - West,HCL NURSING,HNSI0000504,10226.35
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,Nurse - Band 6 -Agency,City West CMHT MHSOP,HCL NURSING,HNSI0000504,3162.20
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Clarendon Ward,HCL NURSING,HNSI0000504,213.27
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Clarendon Ward,HCL NURSING,HNSI0000504,1705.41
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Coalville Snibston Ward,HCL NURSING,HNSI0000504,681.51
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Coalville Snibston Ward,HCL NURSING,HNSI0000504,799.52
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Coalville Ward 2,HCL NURSING,HNSI0000504,213.27
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Coalville Ward 4,HCL NURSING,HNSI0000504,1882.61
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Coleman Ward,HCL NURSING,HNSI0000504,763.73
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Coleman Ward,HCL NURSING,HNSI0000504,4435.15
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Dalgliesh Ward,HCL NURSING,HNSI0000504,386.06
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,"East Planned Care - Oadby,Wigston & Harborough",HCL NURSING,HNSI0000504,3569.00
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Gwendolen Ward,HCL NURSING,HNSI0000504,543.37
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Gwendolen Ward,HCL NURSING,HNSI0000504,4095.79
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Kirby Ward,HCL NURSING,HNSI0000504,1719.95
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Kirby Ward,HCL NURSING,HNSI0000504,1426.25
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Rutland Ward Nursing,HCL NURSING,HNSI0000504,514.93
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,St Lukes Stroke Ward,HCL NURSING,HNSI0000504,289.50
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,St Lukes Ward 3,HCL NURSING,HNSI0000504,487.45
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,St Lukes Ward 3,HCL NURSING,HNSI0000504,1996.90
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Wakerley Ward,HCL NURSING,HNSI0000504,308.76
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Wakerley Ward,HCL NURSING,HNSI0000504,4579.47
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Welford Ward,HCL NURSING,HNSI0000504,345.61
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Welford Ward,HCL NURSING,HNSI0000504,482.28
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Beechwood Ward,HCL NURSING,HNSI0000511,2104.66
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,City Planned Care - East,HCL NURSING,HNSI0000511,20965.05
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,City Planned Care - West,HCL NURSING,HNSI0000511,9933.88
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,Nurse - Band 6 -Agency,City West CMHT MHSOP,HCL NURSING,HNSI0000511,1069.88
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Clarendon Ward,HCL NURSING,HNSI0000511,743.65
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Coalville Snibston Ward,HCL NURSING,HNSI0000511,388.00
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Coalville Ward 2,HCL NURSING,HNSI0000511,1087.51
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Coalville Ward 2,HCL NURSING,HNSI0000511,805.19
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Coalville Ward 4,HCL NURSING,HNSI0000511,432.47
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Coleman Ward,HCL NURSING,HNSI0000511,1744.13
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Coleman Ward,HCL NURSING,HNSI0000511,2541.37
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Dalgliesh Ward,HCL NURSING,HNSI0000511,778.95
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,"East Planned Care - Oadby,Wigston & Harborough",HCL NURSING,HNSI0000511,2942.40
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Gwendolen Ward,HCL NURSING,HNSI0000511,847.19
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Gwendolen Ward,HCL NURSING,HNSI0000511,4951.64
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Kirby Ward,HCL NURSING,HNSI0000511,407.02
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Kirby Ward,HCL NURSING,HNSI0000511,302.58
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Rutland Ward Nursing,HCL NURSING,HNSI0000511,432.73
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Rutland Ward Nursing,HCL NURSING,HNSI0000511,392.89
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,St Lukes Stroke Ward,HCL NURSING,HNSI0000511,374.96
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,St Lukes Ward 3,HCL NURSING,HNSI0000511,426.54
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,St Lukes Ward 3,HCL NURSING,HNSI0000511,1467.90
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Wakerley Ward,HCL NURSING,HNSI0000511,218.87
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Wakerley Ward,HCL NURSING,HNSI0000511,3453.92
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Welford Ward,HCL NURSING,HNSI0000511,390.95
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,West Planned Care  - Charnwood Hub,HCL NURSING,HNSI0000511,566.82
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,West Planned Care  - Hinckley Hub,HCL NURSING,HNSI0000511,172.94
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Beechwood Ward,HCL NURSING,HNSI0000516,4002.07
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Beechwood Ward,HCL NURSING,HNSI0000516,449.35
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,City Planned Care - East,HCL NURSING,HNSI0000516,17123.24
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,City Planned Care - West,HCL NURSING,HNSI0000516,7502.76
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,Nurse - Band 6 -Agency,City West CMHT MHSOP,HCL NURSING,HNSI0000516,2116.04
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Clarendon Ward,HCL NURSING,HNSI0000516,495.34
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Coalville Ward 2,HCL NURSING,HNSI0000516,1390.73
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Coalville Ward 4,HCL NURSING,HNSI0000516,1093.08
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Coleman Ward,HCL NURSING,HNSI0000516,1044.55
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Coleman Ward,HCL NURSING,HNSI0000516,1279.06
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Dalgliesh Ward,HCL NURSING,HNSI0000516,1002.10
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Dalgliesh Ward,HCL NURSING,HNSI0000516,419.12
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,"East Planned Care - Oadby,Wigston & Harborough",HCL NURSING,HNSI0000516,2274.68
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Gwendolen Ward,HCL NURSING,HNSI0000516,1332.63
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Gwendolen Ward,HCL NURSING,HNSI0000516,3180.39
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Kirby Ward,HCL NURSING,HNSI0000516,282.94
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Lough Swithland Ward,HCL NURSING,HNSI0000516,219.46
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Lough Swithland Ward,HCL NURSING,HNSI0000516,786.24
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Rutland Ward Nursing,HCL NURSING,HNSI0000516,406.25
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,St Lukes Ward 3,HCL NURSING,HNSI0000516,1178.36
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Wakerley Ward,HCL NURSING,HNSI0000516,110.77
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,Wakerley Ward,HCL NURSING,HNSI0000516,3453.92
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 2 - AGENCY,Welford Ward,HCL NURSING,HNSI0000516,378.29
Department of Health,Leicestershire Partnership NHS Trust,26/10/20,NURSE - BAND 5 - AGENCY,West Planned Care  - Charnwood Hub,HCL NURSING,HNSI0000516,218.04
Department of Health,Leicestershire Partnership NHS Trust,27/10/20,Nurse - Band 6 -Agency,CAMHS Waiting List Monies,HCL SOCIAL CARE,HWSI0000116,30500.98
Department of Health,Leicestershire Partnership NHS Trust,28/10/20,Computer Hardware,HIS External Recharge,DELL COMPUTERS,7402655717,28980.00
Department of Health,Leicestershire Partnership NHS Trust,28/10/20,Computer Hardware,HIS External Recharge,DELL COMPUTERS,7402655718,28980.00
Department of Health,Leicestershire Partnership NHS Trust,28/10/20,Computer Hardware,HIS External Recharge,DELL COMPUTERS,7402655716,28980.00
Department of Health,Leicestershire Partnership NHS Trust,28/10/20,Computer Hardware,HIS External Recharge,DELL COMPUTERS,7402655719,28980.00
Department of Health,Leicestershire Partnership NHS Trust,28/10/20,Computer Hardware,HIS External Recharge,DELL COMPUTERS,7402655715,28980.00
Department of Health,Leicestershire Partnership NHS Trust,28/10/20,Computer Hardware,HIS External Recharge,DELL COMPUTERS,7402655890,28980.00
Department of Health,Leicestershire Partnership NHS Trust,28/10/20,Computer Hardware,HIS External Recharge,DELL COMPUTERS,7402655889,28980.00
Department of Health,Leicestershire Partnership NHS Trust,29/10/20,Course / Training Expenses,Work Force Transformation,UHL NHS TRUST (RWE),L0245396,30000.00
,,,,,,,
,,,,,,,
