Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Public Transport,Tier 1 BOE Transactions,Corporate Travel Management (North) Ltd,99861945,35.00,28/11/2022-Swindon (wilts)-Newport Gwent-Rail,BD1 5HQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,Mobile Phone Costs,Production Services,Telefonica UK Ltd (O2),99862931,"1,376.32",SR 11419786 CALL CHARGES,SMARTFORM
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99863465,504.00,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99863468,840.00,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,Recruitment Costs,Production Services,Skillsbay Ltd,99863643,"5,760.00",Recruitment Services,SW6 3JD
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Subsistence,D&I Operations,Unspecified,99863747,98.82,Lunch (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Other Charges,Finance Operations 1,Unspecified,99863748,25.00,Miscellaneous (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Mileage,Tier 1 ROE Transactions,Unspecified,99863749,282.62,Mileage - Car (excl Home to Office),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Other Charges,Tier 1 ROE Transactions,Unspecified,99863749,4.00,Miscellaneous (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Subsistence,Tier 1 ROE Transactions,Unspecified,99863749,25.00,Evening Meal (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,13/12/2022,T&S - Subsistence,Resourcing,Unspecified,99863750,12.95,Evening Meal (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,PAYE Payable Salaries,Balance Sheet,HM Revenue & Customs,99855339,"200,605.66",HMRC monthly deductions for SSC November 2022,3RD PARTY PAYME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,NI Payable Salaries,Balance Sheet,HM Revenue & Customs,99855340,"268,784.16",HMRC monthly deductions for SSC November 2022,3RD PARTY PAYME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,Student Loans,Balance Sheet,HM Revenue & Customs,99855341,"2,868.00",HMRC monthly deductions for SSC November 2022,3RD PARTY PAYME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,Apprenticeship Levy,Corporate HR,HM Revenue & Customs,99855342,"7,071.00",HMRC monthly deductions for SSC November 2022,3RD PARTY PAYME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,Consultancy Services,Interfaces & API Mgmt,Software AG (UK) Ltd,99863642,375.01,Computer Consumables,DE24 8BY
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,Consultancy Services,Interfaces & API Mgmt,Software AG (UK) Ltd,99863642,"13,972.56",Computer Consumables,DE24 8BY
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,UK - Professional Memberships & Subscriptions,Production Services,PLURALSIGHT LLC,99863986,"44,978.66",Computer Consumables,60055-9719-USD
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,Computing Consumables,D&I Operations,Dell Corporation Ltd,99864556,299.41,Computer Consumables,SWAREHOUSEONLY
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,Contract Staff,Production Services,Alexander Mann Solutions Ltd,99864735,"2,192.59",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,Contract Staff,Project Office,Alexander Mann Solutions Ltd,99864737,"3,649.14",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,Agency Staff,ROE Application Upgrade,Alexander Mann Solutions Ltd,99864763,"4,090.44",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,Contract Staff,D&I Management,Alexander Mann Solutions Ltd,99864775,"2,648.52",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,Contract Staff,SHARP,Alexander Mann Solutions Ltd,99864822,"3,387.66",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,Contract Staff,Corporate Commercial,Alexander Mann Solutions Ltd,99864923,"3,151.56",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,Hardware/Software Maintenance,ISS Recoverable Charges – UKRI,Ogel IT Ltd,99865045,"8,726.01","Technical Assurance, Support and Escalation Services",SG1 2FS
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99865145,840.00,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99865147,840.00,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,T&S - Other Charges,Construction,Unspecified,99865272,64.00,Miscellaneous (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,Health & Safety (inc. Medicals & Opticians),UK SBS Data,Unspecified,99865273,9.98,Medical Fees & Vaccinations (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,UK - Professional Memberships & Subscriptions,Executive Function,Unspecified,99865274,370.00,Professional Subscriptions (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,T&S - Mileage,Procurement Policy & Strategy,Unspecified,99865275,56.16,Mileage - Car (excl Home to Office),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,T&S - Mileage,Procurement Policy & Strategy,Unspecified,99865276,56.16,Mileage - Car (excl Home to Office),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,UK - Professional Memberships & Subscriptions,Accounting,Unspecified,99865277,122.00,Professional Subscriptions (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,T&S - Subsistence,Operational Excellence,Unspecified,99865278,8.24,Breakfast (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,T&S - Subsistence,Operational Excellence,Unspecified,99865278,50.00,Evening Meal (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,T&S - Subsistence,Operational Excellence,Unspecified,99865278,23.15,Lunch (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,T&S - Vehicle Hire,Operational Excellence,Unspecified,99865278,40.60,Vehicle Hire/Rental/Fuel (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,T&S - Vehicle Hire,Finance Services,Enterprise Rent-A-Car UK Ltd,99865976,111.88,04/12/22 - 06/12/22,GL2 5DA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,14/12/2022,T&S - Vehicle Hire,Finance Services,Enterprise Rent-A-Car UK Ltd,99865976,22.38,SR11421804 SUMMARY NUMBER 31652273 UK SBS,GL2 5DA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/12/2022,Voluntary Deductions,Balance Sheet,Civil Service Benevolent Fund,99855343,18.00,SSC THIRD PARTY PAYMENTS November2022,SM3 8DY
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/12/2022,Voluntary Deductions,Balance Sheet,Swindon Office Sports and Social Club,99855344,186.00,SSC THIRD PARTY PAYMENTS November2022,SN2 1EU
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/12/2022,Ees Pension Deductions - JSS,Balance Sheet,RCPS Pension,99855345,"86,314.81",RCPS monthly contributions for SSC November2022,SN2 1UY.
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/12/2022,Other Pension Deductions,Balance Sheet,Scottish Widows,99855346,100.00,SSC THIRD PARTY PAYMENTS November2022,EH16 5BU
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/12/2022,Partnership Pension Deductions,Balance Sheet,Scottish Widows,99855347,"3,791.15",SSC THIRD PARTY PAYMENTS November2022,EH16 5BU
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/12/2022,Partnership Pension Deductions,Balance Sheet,Standard Life Assurance Ltd,99855348,391.31,SSC THIRD PARTY PAYMENTS November2022,EH1 2DH
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/12/2022,Ees Pension Deductions - MRC,Balance Sheet,JLT Pensions Administration Ltd T/A JLT Employee Benefits,99855349,"3,734.08",SSC THIRD PARTY PAYMENTS November2022,PRINCIPAL SECTI
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/12/2022,Ers Pension Deductions - MRC,Balance Sheet,JLT Pensions Administration Ltd T/A JLT Employee Benefits,99855350,"9,708.59",SSC THIRD PARTY PAYMENTS November2022,PRINCIPAL SECTI
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/12/2022,Voluntary Deductions,Balance Sheet,BHCA (Services) Ltd,99855351,59.15,SSC THIRD PARTY PAYMENTS November2022,NN14 1UE
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/12/2022,Ees Pension Deductions - MyCSP,Balance Sheet,Cabinet Office RM Shared Services,99855352,145.36,UKSBS THIRD PARTY PAYMENTS November 2022,FY5 3TA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/12/2022,Ers Pension Deductions - MyCSP,Balance Sheet,Cabinet Office RM Shared Services,99855353,722.78,UKSBS THIRD PARTY PAYMENTS November 2022,FY5 3TA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/12/2022,Union Deductions,Balance Sheet,PCS Union,99855354,906.06,SSC THIRD PARTY PAYMENTS November2022,SW11 2LN
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/12/2022,Ers Pension Deductions - JSS,Balance Sheet,RCPS Pension,99855355,"388,153.64",RCPS monthly contributions for SSC November2022,SN2 1UY.
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/12/2022,Corporate Events,Production Services,Great Western Hotel (Swindon) Ltd,99865132,275.00,Conference & Venues,SN1 1DH
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,15/12/2022,Consultancy Services,Corporate HR,JobTrolley Ltd,99865545,"5,288.40",Consultancy Services,MK9 1LR
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,16/12/2022,T&S - Other Charges,Facilities,Unspecified,99849439,100.00,Home-working Equipment,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,16/12/2022,HR Assignment Default Expense,HR Ops,Enterprise Rent-A-Car UK Ltd,99855285,111.88,,GL2 5DA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,16/12/2022,HR Assignment Default Expense,HR Ops,Enterprise Rent-A-Car UK Ltd,99855285,22.38,SR 11409242 CAR HIRE,GL2 5DA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,16/12/2022,T&S - Vehicle Hire,HR Ops & Specialists,Enterprise Rent-A-Car UK Ltd,99855285,142.03,,GL2 5DA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,16/12/2022,T&S - Vehicle Hire,HR Ops & Specialists,Enterprise Rent-A-Car UK Ltd,99855285,28.41,SR 11409242 CAR HIRE,GL2 5DA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,16/12/2022,T&S - Vehicle Hire,Operational Assurance,Enterprise Rent-A-Car UK Ltd,99855285,117.06,,GL2 5DA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,16/12/2022,T&S - Vehicle Hire,Operational Assurance,Enterprise Rent-A-Car UK Ltd,99855285,23.41,SR 11409242 CAR HIRE,GL2 5DA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,16/12/2022,Data Storage & Recovery,Finance Operations 1,Restore plc,99863562,967.74,Computing Services,RH1 5DY
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,16/12/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99865867,504.00,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,16/12/2022,UK - Professional Memberships & Subscriptions,Finance Operations 1,Unspecified,99866996,283.00,Professional Subscriptions (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,19/12/2022,Staff Training,HRSD Recoverables,Feldman Ltd T/A Brian Feldman and Associates,99867216,780.00,Training,SW15 5RH
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,19/12/2022,Contract Staff,People,Alexander Mann Solutions Ltd,99867248,"2,835.30",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,19/12/2022,Contract Staff,Production Services,Alexander Mann Solutions Ltd,99867252,"1,644.44",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,19/12/2022,Contract Staff,D&I Management,Alexander Mann Solutions Ltd,99867326,"5,297.04",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,19/12/2022,Contract Staff,SHARP,Alexander Mann Solutions Ltd,99867341,"3,387.66",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,19/12/2022,Contract Staff,Production Services,Alexander Mann Solutions Ltd,99867343,"3,465.30",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,19/12/2022,Contract Staff,Corporate Commercial,Alexander Mann Solutions Ltd,99868095,"2,521.25",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,19/12/2022,T&S - Mileage,Partnership Management,Unspecified,99868121,198.00,Mileage - Car Allowance,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,19/12/2022,T&S - Subsistence,Partnership Management,Unspecified,99868121,172.89,Evening Meal (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,19/12/2022,T&S - Subsistence,Partnership Management,Unspecified,99868121,20.58,Lunch (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,19/12/2022,T&S - Accommodation,Operational Excellence,Unspecified,99868122,130.50,Accommodation - Hotels Elsewhere Actuals,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,19/12/2022,T&S - Mileage,Operational Excellence,Unspecified,99868122,176.05,Mileage - Car (excl Home to Office),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,19/12/2022,T&S - Public Transport,Tier 1 BOE Transactions,Unspecified,99868124,12.70,Public Transport - Taxi Fare (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,19/12/2022,T&S - Subsistence,Tier 1 BOE Transactions,Unspecified,99868124,39.75,Evening Meal (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,19/12/2022,T&S - Subsistence,Tier 1 BOE Transactions,Unspecified,99868124,17.46,Lunch (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,19/12/2022,T&S - Vehicle Hire,Category and Continuous Improvement,Unspecified,99868125,22.50,Vehicle Hire/Rental/Fuel (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,20/12/2022,Other Staff Benefits,People,Amazon EU SARL,99866638,"1,600.00",ZZ-Employee Benefits,EC2A 2FA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,20/12/2022,Recruitment Costs,Corporate HR,Agenda Resource Management Ltd,99866939,336.67,Professional Services,HU12 8YJ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,20/12/2022,Legal & Professional Services,Corporate HR,Ideagen Gael Ltd,99867457,"3,668.35",Professional Services,G75 0RD
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,20/12/2022,UK - Professional Memberships & Subscriptions,Core Services,Dun & Bradstreet Ltd,99867581,168.00,Professional Memberships,W2 1AF
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,20/12/2022,Corporate Events,Production Services,Great Western Hotel (Swindon) Ltd,99867591,"1,999.68",Conference & Venues,SN1 1DH
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,20/12/2022,Corporate Events,Production Services,Great Western Hotel (Swindon) Ltd,99867591,0.27,PO 4080025475 overbilled 0.27p within agreed tolerance,SN1 1DH
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,20/12/2022,Corporate Events,Production Services,Great Western Hotel (Swindon) Ltd,99867591,0.05,SR-11431998 D&I Town Hall venue - 16th Dec 2022,SN1 1DH
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,20/12/2022,T&S - Other Charges,Finance Operations 1,Unspecified,99867627,25.00,Miscellaneous (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,20/12/2022,T&S - Mileage,Corporate Commercial,Unspecified,99867628,49.40,Mileage - Car (excl Home to Office),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,20/12/2022,Staff Training,HRSD Recoverables,Provek Ltd,99868227,"1,620.00",Training,RG19 4LW
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,20/12/2022,Staff Training,HRSD Recoverables,Provek Ltd,99868228,"1,620.00",Training,RG19 4LW
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,21/12/2022,Staff Training,Project Office,The Knowledge Academy,99849233,"1,194.00",Training,RG12 1HL
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,21/12/2022,Computer Software Licences,Production Services,Phoenix Software Ltd,99859797,"5,087.88",Computing Software,YO42 1NS
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,21/12/2022,Computer Software,SIAM,IB Boost Ltd,99865430,"5,875.30",Computing Software,EC2A 4NE
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,21/12/2022,Computer Software,SIAM,IB Boost Ltd,99865434,"7,833.73",Computing Software,EC2A 4NE
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,21/12/2022,Telecoms - Land Line Rental,Production Services,British Telecom Plc (BT),99867851,"12,931.36",SR11423434 REGULAR CHARGES 1/12/22-31/12/22,S98 1BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,21/12/2022,Other Staff Benefits,People,Amazon EU SARL,99868578,"1,000.00",ZZ-Employee Benefits,EC2A 2FA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,21/12/2022,Other Staff Benefits,People,Amazon EU SARL,99868748,400.00,ZZ-Employee Benefits,EC2A 2FA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,21/12/2022,T&S - Other Charges,Communications,Unspecified,99868816,91.20,Miscellaneous (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,21/12/2022,T&S - Other Charges,HR Ops,Unspecified,99868817,179.00,Home-working Equipment,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,21/12/2022,Health & Safety (inc. Medicals & Opticians),Corporate HR,Unspecified,99868818,9.98,Medical Fees & Vaccinations (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,22/12/2022,T&S - Public Transport,Accounting,Unspecified,99870016,14.00,Public Transport - Taxi Fare (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,22/12/2022,T&S - Mileage,UK SBS Data,Unspecified,99870017,63.23,Mileage - Car (excl Home to Office),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/12/2022,T&S - Other Charges,HR Ops,Unspecified,99867629,194.00,Home-working Equipment,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/12/2022,Contract Staff,Production Services,Alexander Mann Solutions Ltd,99869740,"3,465.30",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/12/2022,Contract Staff,Corporate Commercial,Alexander Mann Solutions Ltd,99869815,"5,987.96",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/12/2022,Contract Staff,D&I Management,Alexander Mann Solutions Ltd,99869816,"2,648.52",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/12/2022,Contract Staff,People,Alexander Mann Solutions Ltd,99870227,"11,544.66",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,23/12/2022,Contract Staff,People,Alexander Mann Solutions Ltd,99870228,"2,126.47",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,28/12/2022,Contract Staff,Project Office,Calder Conference Ltd,99870469,333.89,Conference & Venues,LS16 6RF
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,28/12/2022,Corporate Events,Executive Function,Calder Conference Ltd,99870470,432.35,Conference & Venues,LS16 6RF
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,28/12/2022,IT / Computing Support Services,Category and Continuous Improvement,BiP Solutions,99870554,"3,000.00",Data Extraction September 2019 - September 2022,G51 1DZ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,29/12/2022,T&S - Other Charges,Project Office,Unspecified,99863745,100.00,Home-working Equipment,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,29/12/2022,T&S - Other Charges,Project Office,Unspecified,99863746,199.99,Home-working Equipment,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,29/12/2022,Contract Staff,Production Services,Alexander Mann Solutions Ltd,99869817,"2,740.74",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,29/12/2022,Agency Staff,ROE Application Upgrade,Alexander Mann Solutions Ltd,99870239,"8,180.88",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,01/12/2022,Bank Charges,Corporate Finance,,,108.56,Bank Charges,
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,21/12/2022,Bank Charges,Corporate Finance,,,248.15,Bank Charges,
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,29/12/2022,Bank Charges,Corporate Finance,,,"1,008.50",Bank Charges,
