Property Reference,Account Holder 1,Account Holder 2,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Postcode,Liable From,RV,Property Description,Charity Y/N,Disc %,Mand %,SBRR Y/N,s44a Y/N,Hardship Y/N,Local Discount,Retail Relief Y/N
1.56E+13,HANOLEX LTD                     ,                                ,UNITS A5(B) & A12-A14(A)        ,                                ,FIELDHOUSE INDUSTRIAL ESTATE       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0AA,07.04.2011                                               ,21500,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.56E+13,OLA UK PRIVATE LIMITED          ,                                ,                                ,                                ,UNIT F6 FF/4                       ,FIELDHOUSE INDUSTRIAL ESTATE       ,ROCHDALE                        ,                                ,OL12 0AA,15.06.2018                                               ,2050,OFFICE                                                      ,N,0,0,N,N,N,N,N
1.56E+13,DENEHURST PARK ROCHDALE LTD     ,                                ,SPOTLAND STADIUM                ,                                ,DENEHURST PARK (ROCHDALE) LTD      ,SANDY LANE                         ,ROCHDALE                        ,LANCASHIRE                      ,OL11 5DR,01.04.2005                                               ,62500,STADIUM AND PREMISES                                        ,N,0,0,N,N,N,Y,N
1.56E+13,PRIMESIGHT LIMITED              ,                                ,MAIDEN NO 1917 ADJ SPOTLAND     ,STADIUM                         ,SANDY LANE                         ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 5DR,01.09.2009                                               ,1125,ADVERTISING RIGHT AND PREMISES                              ,N,0,0,N,N,N,N,N
1.56E+13,DENEHURST PARK (ROCHDALE) LTD   ,                                ,MITRE HOUSE SPOTLAND STADIUM    ,                                ,NORTH STAND WILLBUTTS LANE         ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 5BE,31.01.2012                                               ,10500,OFFICES AND PREMISES                                        ,N,0,0,N,N,N,N,N
1.56E+13,VODAFONE LTD                    ,                                ,VODAFONE SITE REF 23326         ,                                ,AT SPOTLAND STADIUM SANDY LANE     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 5DG,01.04.2005                                               ,7300,COMMUNICATION STATION AND PREMISES                          ,N,0,0,N,N,N,N,N
1.56E+13,ATHENA ROOFING SERVICES         ,(ROCHDALE) LTD                  ,                                ,                                ,26 WILSON STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0PW,01.07.2010                                               ,3450,GARAGE AND PREMISES                                         ,N,0,0,Y,N,N,N,N
1565940003002A     ,JCDECAUX UK LIMITED             ,                                ,MILLS & ALLEN NO 2604           ,01-Apr,CORNER MOSS LANE/WOOD STREET       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5QN,01.04.2005                                               ,2950,Advertising Right and Premises                              ,N,0,0,N,N,N,N,N
1.57E+13,HOWARTH TIMBER & BUILDING       ,SUPPLIES LTD                    ,howarth timber & building       ,supplies ltd                    ,MILNROW ROAD                       ,ROCHDALE                           ,                                ,                                ,OL16 2AA,21.04.2008                                               ,49250,BUILDERS MERCHANT & PREMISES                                ,N,0,0,N,N,N,Y,Y
1.57E+13,ROCHDALE FENCING & LANDSCAPING  ,LTD                             ,                                ,                                ,MR HOPKINSON                       ,LAND ADJ UNIT 12                   ,LINGARD BUSINESS PARK           ,ROCHDALE                        ,OL16 5QN,01.09.2014                                               ,950,LAND USED FOR STORAGE AND PREMISES                          ,N,0,0,Y,N,N,N,N
1.57E+13,DRESSER MOULDINGS (ROCHDALE)    ,LIMITED                         ,DRESSER MOULDINGS LTD STATION   ,YARD SAWMILLS                   ,WOOD STREET                        ,ROCHDALE                           ,LANCS                           ,                                ,OL16 5QN,29.06.2009                                               ,114000,FACTORY AND PREMISES                                        ,N,0,0,N,N,N,N,N
15671X00160178     ,PREMIERE SERVICING LTD          ,                                ,UNIT 1                          ,                                ,CANAL SIDE INDUSTRIAL ESTATE       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,04.09.2012                                               ,5900,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
15671X001605X9     ,RIVERSIDE CONSERVATORIES LTD    ,                                ,UNIT 5                          ,                                ,CANAL SIDE INDUSTRIAL ESTATE       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,01.07.2012                                               ,10250,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
15671X0016068B     ,PAC CONTRACTS LIMITED           ,                                ,UNIT 6                          ,                                ,CANAL SIDE INDUSTRIAL ESTATE       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,15.06.2017                                               ,10250,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
15671X00160924     ,PICTISH BREWING CO LTD          ,                                ,UNIT 9                          ,                                ,CANAL SIDE INDUSTRIAL ESTATE       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,15.07.2013                                               ,6300,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
15671X00161043     ,T AND M REFRIGERATION LTD       ,                                ,UNIT 10                         ,                                ,CANAL SIDE INDUSTRIAL ESTATE       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,04.07.2018                                               ,6300,WAREHOUSE AND PREMISES                                      ,N,0,0,Y,N,N,N,N
15671X00161128     ,SPECIALIST REMEDIAL SOLUTIONS   ,LIMITED                         ,UNIT 11                         ,                                ,CANALSIDE INDUSTRIAL ESTATE        ,WOODBINE STREET EAST               ,ROCHDALE                        ,LANCASHIRE                      ,OL16 5LB,24.06.2014                                               ,6200,WAREHOUSE AND PREMISES                                      ,N,0,0,Y,N,N,N,N
15671X00161202     ,WILLAN INVESTMENTS LIMITED      ,                                ,UNIT 12                         ,                                ,CANAL SIDE INDUSTRIAL ESTATE       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,15.06.2017                                               ,6300,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
15671X00161471     ,ROCHDALE GLASS & GLAZING CO LTD ,                                ,UNIT 13                         ,                                ,CANAL SIDE INDUSTRIAL ESTATE       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5JB,01.04.2005                                               ,20000,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
15671X19757222     ,OLDHAM VENDING SERVICES LIMITED ,                                ,UNIT 4A                         ,                                ,CANALSIDE INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5JR,07.06.2016                                               ,14000,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
15671X77001105     ,GELDARD ELECTRICAL SUPPLIES LTD ,                                ,UNIT 15A                        ,                                ,CANAL SIDE INDUSTRIAL ESTATE       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5JB,17.06.2013                                               ,12000,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
15671X80229564     ,ORCHID JET J G SHEPHERD LTD     ,T/A TYRRELL AUTOMOTIVE          ,UNIT 8                          ,                                ,CANAL SIDE INDUSTRIAL ESTATE       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL15 5LB,08.04.2015                                               ,8000,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
15671X91513988     ,RIGBYS (UK) LTD                 ,                                ,UNITS 3 & 4                     ,                                ,CANAL SIDE INDUSTRIAL ESTATE       ,ROCHDALE                           ,                                ,                                ,OL16 5LB,20.03.2008                                               ,6000,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
15671X99191546     ,LOCKSTITCH LIMITED              ,                                ,UNIT 14 & 15                    ,                                ,CANAL SIDE INDUSTRIAL ESTATE       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,01.04.2005                                               ,14750,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
1.57E+13,MAGIC GROUP LTD                 ,                                ,UNIT 2A                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,17.07.2017                                               ,5000,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
1.57E+13,FOI INDUSTRY LTD                ,                                ,UNIT 2F                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,01.09.2013                                               ,14000,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.57E+13,MASOOD TEXTILES & TRIMMINGS LTD ,                                ,UNIT 2G                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,01.04.2005                                               ,6600,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.57E+13,MASOOD TEXTILES & TRIMMINGS LTD ,                                ,UNIT 2L                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,01.04.2005                                               ,4150,WAREHOUSE AND PREMISES                                      ,N,0,0,N,N,N,N,N
1.57E+13,AM ELITE CHEER AND DANCE ACADEMY,C.I.C.                          ,UNIT 3D                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,01.08.2018                                               ,3750,WAREHOUSE AND PREMISES                                      ,N,0,0,Y,N,N,N,N
1.57E+13,ACTION FORCE LIMITED            ,                                ,UNIT 3F                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,01.03.2013                                               ,5000,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
1.57E+13,HICO LIMITED                    ,                                ,UNIT 4E                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,03.07.2018                                               ,2125,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
1.57E+13,BIZSPACE LTD                    ,                                ,UNIT 4F                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,31.01.2019                                               ,2075,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.57E+13,BIZSPACE LTD                    ,                                ,UNIT 4G                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,01.11.2018                                               ,2125,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.57E+13,J M FASHIONS LTD                ,                                ,UNIT 4L                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,01.04.2005                                               ,6900,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
1.57E+13,BIZSPACE LTD                    ,                                ,                                ,                                ,SITE OFFICE                        ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                        ,                                ,OL16 5LB,28.02.2013                                               ,1150,OFFICES AND PREMISES                                        ,N,0,0,N,N,N,N,N
1.57E+13,ELEGANZE LTD                    ,                                ,                                ,                                ,UNIT 1DA                           ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                        ,                                ,OL16 5LB,12.02.2019                                               ,5100,Workshop and Premises                                       ,N,0,0,N,N,N,N,N
1.57E+13,ELEGANZE LTD                    ,                                ,                                ,                                ,UNIT 1DB                           ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                        ,                                ,OL16 5LB,12.02.2019                                               ,10500,Workshop and Premises                                       ,N,0,0,N,N,N,N,N
1.57E+13,RICHMOND INTERIOR SUPPLIES LTD  ,                                ,UNIT 1E                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,01.08.2018                                               ,13500,WAREHOUSE AND PREMISES                                      ,N,0,0,N,N,N,N,N
1.57E+13,MASOOD TEXTILES & TRIMMINGS LTD ,                                ,UNITS 2B-2E                     ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,                                ,                                ,OL16 5LB,01.04.2005                                               ,11500,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.57E+13,BIZSPACE LTD                    ,                                ,UNIT 4J                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,31.03.2019                                               ,2125,WAREHOUSE AND PREMISES                                      ,N,0,0,N,N,N,N,N
1.57E+13,LUV2NV.COM LTD                  ,                                ,UNIT 4S                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,                                ,                                ,OL16 5LB,01.03.2013                                               ,4950,WAREHOUSE AND PREMISES                                      ,N,0,0,Y,N,N,N,N
1.57E+13,THE MERCHANDISE GUYS LTD        ,                                ,UNIT 3C                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,                                ,                                ,OL16 5LB,07.11.2018                                               ,4100,WAREHOUSE AND PREMISES                                      ,N,0,0,N,N,N,N,N
1.57E+13,BIZSPACE LTD                    ,                                ,UNIT 1H                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,                                ,                                ,OL16 5LB,19.06.2019                                               ,12500,WAREHOUSE AND PREMISES                                      ,N,0,0,N,N,N,N,N
1.57E+13,BIZSPACE LIMITED                ,                                ,UNIT 4N                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,                                ,                                ,OL16 5LB,12.02.2019                                               ,5500,WAREHOUSE AND PREMISES                                      ,N,0,0,N,N,N,N,N
1.57E+13,WINNING MOVES UK LTD            ,                                ,                                ,                                ,UNIT 4Q MOSS MILL INDUSTRIAL ESTATE,ROCHDALE                           ,                                ,                                ,OL16 5LB,07.12.2012                                               ,6100,WAREHOUSE                                                   ,N,0,0,N,N,N,N,N
1.57E+13,FOI INDUSTRY LTD                ,                                ,UNIT 2H                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,01.04.2018                                               ,5700,WAREHOUSE AND PREMISES                                      ,N,0,0,N,N,N,N,N
1.57E+13,TOWING ELECTRICS LTD            ,                                ,UNIT 3L                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCS                           ,                                ,OL16 5LB,01.04.2008                                               ,6400,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
1.57E+13,BIZSPACE LTD                    ,                                ,UNIT 3J                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,13.06.2019                                               ,6100,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.57E+13,TELEFONICA UK LIMITED           ,                                ,MM02 SITE REF 34686             ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCS                           ,                                ,OL16 5LB,27.06.2007                                               ,12250,COMMUNICATION STATION AND PREMISES                          ,N,0,0,N,N,N,N,N
1.57E+13,TIGER LILY GARMENTS LTD         ,                                ,UNIT 1G                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCS                           ,                                ,OL16 5LB,01.04.2017                                               ,7000,WAREHOUSE AND PREMISES                                      ,N,0,0,N,N,N,N,N
1.57E+13,MOBILE BROADBAND NETWORK LTD    ,                                ,T-MOBILE SITE REF 66028 ON      ,ROOF OF                         ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,29.03.2010                                               ,12000,COMMUNICATION STATION AND PREMISES                          ,N,0,0,N,N,N,N,N
1.57E+13,BIZSPACE LTD                    ,                                ,UNIT 4M                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,                                ,                                ,OL16 5LB,12.02.2019                                               ,5700,WAREHOUSE AND PREMISES                                      ,N,0,0,N,N,N,N,N
1.57E+13,MASOOD TEXTILES & TRIMMINGS LTD ,                                ,UNIT 2J                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,01.04.2005                                               ,6300,WAREHOUSE AND PREMISES                                      ,N,0,0,N,N,N,N,N
1.57E+13,EDS TEXTILES LIMITED            ,                                ,UNIT 1F                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCS                           ,                                ,OL16 5LB,15.01.2018                                               ,5800,WAREHOUSE AND PREMISES                                      ,N,0,0,Y,N,N,N,N
1.57E+13,INTELLIGENT STORAGE W G C LTD   ,                                ,UNIT 4C                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,10.06.2019                                               ,4000,WAREHOUSE AND PREMISES                                      ,N,0,0,N,N,N,N,N
1.57E+13,BIZSPACE LTD                    ,                                ,UNIT 4H                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,01.04.2019                                               ,4100,WAREHOUSE AND PREMISES                                      ,N,0,0,N,N,N,N,N
1.57E+13,DPS SIGN & SCREENPRINT LTD      ,                                ,unit 3k                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,                                ,                                ,OL16 5LB,01.09.2009                                               ,6300,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
1.57E+13,AA ELITE TRADERS LIMITED        ,                                ,UNIT 3A                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,21.01.2019                                               ,5000,WORKSHOP AND PREMISES                                       ,N,0,0,Y,N,N,N,N
1.57E+13,FOREVER STRONG FITNESS &        ,PERFORMANCE LIMITED             ,UNIT 3N                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,01.01.2018                                               ,6700,WAREHOUSE AND PREMISES                                      ,N,0,0,Y,N,N,N,N
1.57E+13,ESSPEE NATURALS LTD             ,                                ,UNIT 3M                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,01.09.2018                                               ,5800,WAREHOUSE AND PREMISES                                      ,N,0,0,Y,N,N,N,N
1.57E+13,SA FOODSTORES LTD               ,                                ,                                ,                                ,34 WOODBINE STREET EAST            ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,22.09.2017                                               ,2850,SHOP AND PREMISES                                           ,N,0,0,Y,N,N,N,N
1567449033496C     ,THE ELECTRICITY NETWORK COMPANY ,LTD                             ,                                ,                                ,THE ELECTRICITY NETWORK COMPANY LTD,WOODBINE STREET                    ,ROCHDALE                        ,                                ,OL16 5JB,01.04.2013                                               ,162,INDEPENDENT DISTRIBUTION NETWORK OPERATOR                   ,N,0,0,N,N,N,N,N
1.57E+13,BONITA BELLE LTD                ,                                ,                                ,                                ,UNIT 1A                            ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                        ,                                ,OL16 5LB,01.02.2018                                               ,11750,Warehouse and Premises                                      ,N,0,0,Y,N,N,N,N
1.57E+13,1860 GEL LIMITED                ,                                ,                                ,                                ,UNIT 1B                            ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                        ,                                ,OL16 5LB,01.12.2016                                               ,14000,Warehouse and Premises                                      ,N,0,0,Y,N,N,N,N
1.57E+13,RICHMOND INTERIOR SUPPLIES LTD  ,                                ,UNIT 1C                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,                                ,                                ,OL16 5LB,01.10.2017                                               ,14000,WORKSHOP AND PREMISES                                       ,N,0,0,N,N,N,N,N
1.57E+13,VODAFONE LTD                    ,                                ,VODAFONE SITE REF 35774 OFF     ,                                ,WOODHOUSE LANE                     ,ROCHDALE                           ,LANCS                           ,                                ,OL12 7TB,01.04.2007                                               ,6300,COMMUNICATION STATION AND PREMISES                          ,N,0,0,N,N,N,N,N
1569880014004A     ,NORDEN CRICKET & RECREATION CLUB,                                ,NORDEN CRICKET CLUB             ,                                ,WOODHOUSE LANE                     ,ROCHDALE                           ,                                ,                                ,OL12 7SD,01.04.2005                                               ,6900,CRICKET GROUND AND PREMISES                                 ,Y,0,80,N,N,N,N,N
1.57E+13,RENSHAW PROPERTIES LTD          ,                                ,I P PROPERTY SERVICES PT 2ND    ,FLR                             ,D BLOCK WOODLAND ROAD              ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 7EQ,08.08.2011                                               ,0,PROPERTY UNDER REFURBISHMENT                                ,N,0,0,N,N,N,N,N
1.57E+13,RENSHAW PROPERTIES LTD          ,Redacted Personal Data,FEDERAL MOGUL LTD               ,                                ,WOODLAND ROAD                      ,ROCHDALE                           ,                                ,                                ,OL12 7EQ,10.10.2012                                               ,0,AWAITING DEMOLITION                                         ,N,0,0,N,N,N,N,N
1.57E+13,RENSHAW PROPERTIES LTD          ,                                ,SITE SUB STATIONS (1-4)         ,                                ,WOODLAND ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 7EQ,08.08.2011                                               ,0,PROPRTY UNDER REFURBISHMENT                                 ,N,0,0,N,N,N,N,N
1.57E+13,RENSHAW PROPERTIES LTD          ,                                ,TBA TEXTILES                    ,                                ,WOODLAND ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 7EQ,14.05.2012                                               ,0,PROPERTY BEYOND ECONOMIC REPAIR                             ,N,0,0,N,N,N,N,N
1.57E+13,RENSHAW PROPERTIES LTD          ,                                ,SECURITY OFFICE (J BLOCK)       ,                                ,WOODLAND ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 7EQ,08.08.2011                                               ,0,PROPERTY UNDER REFURBISHMENT                                ,N,0,0,N,N,N,N,N
1.58E+13,BARCLAYS BANK UK PLC A/C REF    ,68721017,                                ,                                ,1 YORKSHIRE STREET                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1BH,01.04.2005                                               ,40000,BANK AND PREMISES                                           ,N,0,0,N,N,N,N,N
1.58E+13,BUCKEYE LTD                     ,T/A COCKADOODLEMOO              ,                                ,                                ,5 YORKSHIRE STREET                 ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1BH,09.10.2015                                               ,29500,RESTAURANT AND PREMISES                                     ,N,0,0,N,N,N,N,N
158008000400X1     ,CLYDESDALE BANK PLC             ,                                ,YORKSHIRE BANK PLC              ,                                ,YORKSHIRE STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1BH,01.04.2005                                               ,39500,BANK AND PREMISES                                           ,N,0,0,N,N,N,N,N
1.58E+13,SAMUEL SMITH OLD BREWERY        ,                                ,ROEBUCK HOTEL                   ,                                ,YORKSHIRE STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1BH,01.04.2005                                               ,18200,PUBLIC HOUSE AND PREMISES                                   ,N,0,0,N,N,N,N,N
1580080005137B     ,THOMAS COOK UK LTD              ,                                ,                                ,                                ,13 YORKSHIRE STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1BH,01.04.2012                                               ,22000,SHOP AND PREMISES                                           ,N,0,0,N,N,N,N,N
1.58E+13,POWER LEISURE BOOKMAKERS LTD    ,                                ,                                ,                                ,15 YORKSHIRE STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1BH,29.01.2010                                               ,25250,SHOP AND PREMISES                                           ,N,0,0,N,N,N,N,N
158008000610X8     ,LIVERPOOL & CHESTER PROPERTY    ,COMPANY LIMITED                 ,1ST AND 2ND FLRS                ,13-15                           ,YORKSHIRE STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1BH,21.04.2019                                               ,19500,OFFICES AND PREMISES                                        ,N,0,0,N,N,N,N,N
1.58E+13,MOLESWORTH BRIGHT CLEGG         ,SOLICITORS                      ,                                ,                                ,17 YORKSHIRE STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1BH,03.02.2017                                               ,24750,BANK AND PREMISES                                           ,N,0,0,N,N,N,N,N
1.58E+13,SAYERS THE BAKERS LTD           ,                                ,                                ,                                ,19 YORKSHIRE STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1BH,09.06.2008                                               ,16250,SHOP AND PREMISES                                           ,N,0,0,N,N,N,N,N
1580080009006A     ,SPORTZ LTD T/A BUTTERWORTH'S OF ,ROCHDALE                        ,                                ,                                ,21 YORKSHIRE STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1BH,01.04.2005                                               ,22500,SHOP AND PREMISES                                           ,N,0,0,N,N,N,Y,Y
1.58E+13,B & M RETAIL LTD                ,                                ,                                ,                                ,41-43 YORKSHIRE STREET             ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1BT,20.09.2010                                               ,249000,SHOP AND PREMISES                                           ,N,0,0,N,N,N,N,N
158008001200X9     ,CRAWSHAWS ROCHDALE LTD          ,                                ,                                ,                                ,45 YORKSHIRE STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1BT,15.02.2019                                               ,44000,SHOP AND PREMISES                                           ,N,0,0,N,N,N,Y,Y
1.58E+13,CEX (FRANCHISING) LIMITED       ,                                ,                                ,                                ,47 YORKSHIRE STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1BT,17.09.2013                                               ,29750,SHOP AND PREMISES                                           ,N,0,0,N,N,N,N,N
1.58E+13,FRASER HART LTD                 ,                                ,                                ,                                ,49 YORKSHIRE STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1BT,01.04.2005                                               ,23500,SHOP AND PREMISES                                           ,N,0,0,N,N,N,Y,Y
1.58E+13,TEMPLE RETAIL LTD               ,(IN ADMINISTRATION)             ,                                ,                                ,51-53 YORKSHIRE STREET             ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1BT,04.07.2018                                               ,49250,SHOP AND PREMISES                                           ,N,0,0,N,N,N,N,N
1.58E+13,JAYBEE LEISURE (LEIGH) LTD      ,                                ,                                ,                                ,55 YORKSHIRE STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1BT,28.03.2008                                               ,27500,SHOP AND PREMISES                                           ,N,0,0,N,N,N,N,N
1.58E+13,BRITISH HEART FOUNDATION        ,                                ,                                ,                                ,57-59 YORKSHIRE STREET             ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1BZ,18.01.2010                                               ,22500,SHOP AND PREMISES                                           ,Y,0,80,N,N,N,Y,Y
1.58E+13,TMST LTD                        ,                                ,                                ,                                ,61 YORKSHIRE STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1BZ,22.04.2016                                               ,15250,SHOP AND PREMISES                                           ,N,0,0,N,N,N,Y,Y
1.58E+13,BLUE HORIZON LEISURE LTD        ,                                ,REED HOTEL                      ,                                ,1 REED HILL YORKSHIRE STREET       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2DR,30.10.2017                                               ,10750,PUBLIC HOUSE AND PREMISES                                   ,N,0,0,Y,N,N,N,N
