Merchant Category,Supplier Name,Service,Summary of purpose of expenditure,Date,Net Amount
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,-100
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,26.95
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,384.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,84.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,84.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,90.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,84.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,102.55
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,84.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,67.73
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,384.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,67.73
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,102.55
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,84.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,84.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,538
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,384.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,11/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-182.88
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,3262
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-272.28
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,621.4
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,371.84
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2561.68
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-26.68
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,754.48
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,3011
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,4332
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2678.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,14/09/2017,1000
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,720
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,600
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2780
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2453.6
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,720
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-22.72
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,853.44
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,6417.6
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1680
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-288.6
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2240
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,916.88
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,672
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-23.84
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2240
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,964
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1589.6
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1411.2
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-20.84
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1680
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-60.84
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1920
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1168
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,4248
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2259.28
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-260.44
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,856.8
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2329.4
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-20.84
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,752.32
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-87.84
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1686.12
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,709.8
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-103.88
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,880
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,15273.92
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-117.32
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2602.32
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-10.88
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1400
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,3690.84
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,814
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1265.68
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2660
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1674.16
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-26.68
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2124.8
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-102.68
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1240
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1608
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2520
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-65.6
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,920
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-143.04
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,720
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1456
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1577.24
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-26.68
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,800
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1131.36
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1552.16
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,922.4
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1610.4
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-102.68
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2094.96
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2448
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,702.24
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-142.68
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,800
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-26.68
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1062.4
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,740
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,888
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1720
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-25.88
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,553.84
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1420.48
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2782.72
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-25.92
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1727.68
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,755
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,903.2
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,690.56
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-70
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,800
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-6.52
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2420
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-6.04
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1559.48
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2624.56
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-80
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,860
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2816.8
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1815.88
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1504.32
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,873.44
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2640
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1000
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,541.4
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-26
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,531.2
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,531.2
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,14/09/2017,600
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-181.08
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,935
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2106
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,720
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,575.2
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1563.84
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-245.4
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1688.4
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-168.6
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,916.48
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,520
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,709.8
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,920
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-26.68
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1286.4
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1039
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1737.6
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-62.48
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1893.04
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-6.04
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1060
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,528
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-35.6
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,765.52
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,4172
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1193.72
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-247.76
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1809.48
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-123.6
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2413.76
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-247.76
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1610.8
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1209.6
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,680
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1567.76
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1784
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,6168
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,528
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-262.68
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2678.4
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-27.36
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1640.48
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,595.4
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-35.6
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,824
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-94.6
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2433.6
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,929.6
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-26.68
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,728
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1012.24
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-41.6
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,768
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,504
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-193.36
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1448.24
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-306.44
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1232.24
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-271.52
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,952
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-33.36
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,756
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-199.12
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,809.4
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-256.2
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,6000
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-26.68
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1666.44
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,672
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,520
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-206.16
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1430.2
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,840
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1836
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,3160
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2067.36
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,572
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-497.96
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1805.76
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1053.48
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,583.48
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1520
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,926.6
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2067.2
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1415.6
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2016
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1526.4
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-38.32
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,608
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-4
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,813.72
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-4
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,539.6
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-88.68
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,904.2
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-272.2
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2026.08
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,517.68
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1080
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-126.76
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,3305.24
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,568.32
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2871.92
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-63.76
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,656
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1960
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1280.96
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,580
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1280
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,560
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,656.8
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,685
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1280
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1600
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1917.84
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-10.84
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,800
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,924
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1408.24
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-326.2
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1009.4
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-198.36
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,840
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-226.32
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,729.28
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,668
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-213.76
