Supplier Name,Company Registration Number,Supplier Postcode,UID,Council,Contract Status,Classification,Name,Route to Market,Contract Type Detail,Start Date,End Date,Annual Contract Value (average),Value,Customer Name
Insight Direct,-,S9 2BU,-,Stockport Metropolitan Council,Live,270000 - Information Communication Technology,Schools Central Web filtering solution,-,Call-off Contract,04/05/2021,03/05/2024,"£87,457.89","£87,457.89","Stockport Metropolitan Borough Council, Place, People, Corporate and Support Services, Adult Social Care, Public Health, Childrens Social Care , SPEND Hub, ICT, Education, HR Services, Insurance, Revenues and Benefits, Accountancy, Highways and Transport, Strategic Housing, Neighbourhoods, Public Protection, Culture and Leisure, Economy, Work and Skills, Development and Regeneration, Estates and Asset Management"
European Electronique,-,OX29 4TT,-,Stockport Metropolitan Council,Live,270000 - Information Communication Technology,Network Micro Segmentation (Security),-,Call-off Contract,01/04/2021,31/03/2026,"£276,471.51","£276,471.50",Stockport Metropolitan Borough Council
HB Aluminium Fabrication ltd,-,LS10 1BG,-,Stockport Metropolitan Council,Live,"391111 - Works - Construction, Repair & Maintenance - Buildings - Repair & Maintenance",Oak Tree Primary School – New Opening Windows,-,Contract,02/08/2021,31/08/2021,"£268,850.75","£268,850.80","Stockport Metropolitan Borough Council, Estates and Asset Management"
B B R Roofing Ltd,-,L20 7BZ,-,Stockport Metropolitan Council,Live,"391110 - Works - Construction, Repair & Maintenance - Buildings - Construction",Roof Replacement at Alkrington Primary School,-,Contract,19/07/2021,13/08/2021,"£56,275.64","£56,275.64",Rochdale Borough Council
J C Mills & Son Ltd,-,OL16 4RP,-,Stockport Metropolitan Council,Live,"390000 - Works - Construction, Repair & Maintenance","Boiler Replacement at Bellfield School, Rochdale",-,Contract,26/07/2021,20/08/2021,"£50,086.50","£50,086.50",Rochdale Borough Council
Corona Energy Retail 4 Limited,-,-,-,Stockport Metropolitan Council,Live (On-going),371100 - Utilities - Gas,Supply of gas to Trafford,-,Contract,01/04/2021,31/03/2023,"£794,994.17","£1,589,988.00","Estates and Asset Management, Place"
Coolspirit,-,-,-,Stockport Metropolitan Council,Live (On-going),270000 - Information Communication Technology,Cloud Backup to support Microsoft 365,RBS - Low/Med - Simple (RFQ),Contract,01/09/2021,01/05/2024,"£78,400.00","£78,400.00","Stockport Metropolitan Borough Council, Digital Finance"
Wilde Consultants Ltd,2603960,SK1 3HS,-,Stockport Metropolitan Council,Live,150000 - Consultancy,Manchester City Council - Secondment Structural Engineer,-,Call-off Contract,01/04/2021,31/03/2022,"£75,000.00","£75,000.00","Stockport Metropolitan Borough Council, Neighbourhoods"
Wilde Consultants Ltd,2603960,SK1 3HS,-,Stockport Metropolitan Council,Live,150000 - Consultancy,Manchester City Council - Structural Engineering Services,-,Call-off Contract,01/04/2021,31/03/2022,"£75,000.00","£75,000.00","Stockport Metropolitan Borough Council, Neighbourhoods"
Paul Kelly Psychology,-,M2 4AD,-,Stockport Metropolitan Council,Live,311600 - Healthcare - Services,Provision of Psychotherapy Service,-,Contract,01/02/2021,31/07/2022,"£11,405.00","£11,405.00",Accountancy
