"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"COOG50","N/D","SCS1","Economics.Deputy Director","Cyber Security Team","Ministry of Justice","Ministry of Justice Headquarters","DIR - Security, Service & Information Governance","020 3334 3555","general.queries@justice.gov.uk","COOG13","947350","1.00","N/A","N/A","","","West Midlands","","1"
"HMCTS59","Gemma Hewison","SCS2","Operation Delivery.Director","Reform - Director's Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Reform","020 3334 3555","general.queries@justice.gov.uk","HMCTS8","11245138","1.00","110000","114999","","","South East","","1"
"COOG51","N/D","SCS1","Other.Deputy Director","Pay, Reward & Employee Relations","Ministry of Justice","Ministry of Justice Headquarters","DIR - HR Operations","020 3334 3555","general.queries@justice.gov.uk","COOG8","1650671","1.00","N/A","N/A","","","West Midlands","","1"
"HMCTS60","N/D","SCS1","Operation Delivery.Director","Crime Operations BAU - Enforcement","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Enforcement","020 3334 3555","general.queries@justice.gov.uk","HMCTS10","22566866","1.00","N/A","N/A","","","East Midlands","","1"
"COOG52","Caroline Murray","SCS2","Human Resources.Director","Directors Office - Business Partnering & Change","Ministry of Justice","Ministry of Justice Headquarters","DIR - Business Partnering & Change","020 3334 3555","general.queries@justice.gov.uk","COOG55","18562540","1.00","100000","104999","","","London","","1"
"HMCTS61","Paula Potter","SCS2","Other.Director","Common Platform","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Criminal Justice","020 3334 3555","general.queries@justice.gov.uk","HMCTS59","3137806","1.00","95000","99999","","","London","","1"
"HMCTS62","N/D","SCS1","Finance.Deputy Director","Financial Accounts Team - HMCS HQ","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Finance, Governance and Performance","020 3334 3555","general.queries@justice.gov.uk","HMCTS67","0","1.00","N/A","N/A","","","London","","1"
"SDTG15","N/D","SCS1","Finance.Deputy Director","Change","Ministry of Justice","Ministry of Justice Headquarters","DIR - Project Delivery","020 3334 3555","general.queries@justice.gov.uk","PG21","638190","1.00","N/A","N/A","","","London","","1"
"PG62","N/D","SCS1","Human Resources.Admin Officer","Judicial Office - Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Judicial Offices","020 3334 3555","general.queries@justice.gov.uk","PG34","4313127","1.00","N/A","N/A","","","London","","1"
"HMCTS63","N/D","SCS1","Operation Delivery.Deputy Director","HQ-Property Directorate","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Estates","020 3334 3555","general.queries@justice.gov.uk","HMCTS43","752640","1.00","N/A","N/A","","","East of England","","1"
"SDTG16","N/D","SCS1","Programme and Project Management.Deputy Director","Project Centre of Excellence","Ministry of Justice","Ministry of Justice Headquarters","DIR - Project Delivery","020 3334 3555","general.queries@justice.gov.uk","PG21","208723","1.00","N/A","N/A","","","Wales","","1"
"HMCTS64","Paul Harris","SCS2","Other.Deputy Director","Operations HQ Private Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Head of Operations","020 3334 3555","general.queries@justice.gov.uk","HMCTS8","385565791","1.00","105000","109999","","","East of England","","1"
"COOG53","N/D","SCS1","Tax Professionals.Deputy Director","Tax CoE","Ministry of Justice","Ministry of Justice Headquarters","DIR - Financial Management and Control","020 3334 3555","general.queries@justice.gov.uk","COOG26","1042820","1.00","N/A","N/A","","","London","","1"
"PG63","N/D","SCS1","Policy Delivery.Deputy Director","Director's Office","Ministry of Justice","Ministry of Justice Headquarters","DIR - International, Rights & Constitutional Policy","020 3334 3555","general.queries@justice.gov.uk","PG68","1070186","1.00","N/A","N/A","","","London","","1"
"PG64","N/D","SCS1","Other.Deputy Director","Court Recovery","Ministry of Justice","Ministry of Justice Headquarters","DIR - Court Recovery, Criminal & Family Justice","020 3334 3555","general.queries@justice.gov.uk","PG40","1327595","1.00","N/A","N/A","","","Yorkshire and The Humber","","1"
"PG65","N/D","SCS1","Policy Delivery.Deputy Director","Victims & Vulnerability Payroll","Ministry of Justice","Ministry of Justice Headquarters","DIR - Victims and Vulnerability","020 3334 3555","general.queries@justice.gov.uk","PG46","775716","1.00","N/A","N/A","","","London","","1"
"PG66","N/D","SCS1","Operation Delivery.Deputy Director","Directors Office A2J","Ministry of Justice","Ministry of Justice Headquarters","DIR - Access to Justice","020 3334 3555","general.queries@justice.gov.uk","PG41","575717","0.80","N/A","N/A","","","London","","1"
"COOG54","N/D","SCS1","Other.Senior Manager","Performance and Account - SES","Ministry of Justice","Ministry of Justice Headquarters","DIR - Property","020 3334 3555","general.queries@justice.gov.uk","COOG49","1218576","1.00","N/A","N/A","","","London","","1"
"PG67","N/D","SCS1","Policy Delivery.Deputy Director","Ministers' Private Offices","Ministry of Justice","Ministry of Justice Headquarters","DIR - Private Office & Parliamentary","020 3334 3555","general.queries@justice.gov.uk","PG56","0","1.00","N/A","N/A","","","London","","1"
"PG68","James Dowler","SCS2","Policy Delivery.Director","Director's Office","Ministry of Justice","Ministry of Justice Headquarters","DIR - International, Rights & Constitutional Policy","020 3334 3555","general.queries@justice.gov.uk","PG25","7566551","1.00","95000","99999","","","London","","1"
"PG69","James Barton","SCS2","Policy Delivery.Director","Probation Programme - Delivery","Ministry of Justice","Ministry of Justice Headquarters","DIR - Policy - DG Office","020 3334 3555","general.queries@justice.gov.uk","PG25","239278","1.00","100000","104999","","","West Midlands","","1"
"PG70","N/D","SCS1","Other.Deputy Director","Judicial Office - Programme","Ministry of Justice","Ministry of Justice Headquarters","DIR - Judicial Offices","020 3334 3555","general.queries@justice.gov.uk","PG34","3962027","1.00","N/A","N/A","","","London","","1"
"HMCTS65","Jason Latham","SCS2","Other.Director","Civil, Family & Tribunals - Director's Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Development Directorate","020 3334 3555","general.queries@justice.gov.uk","HMCTS64","6417364","1.00","95000","99999","","","North West","","1"
"HMCTS66","N/D","SCS1","Operation Delivery.Deputy Director","Operations HQ Private Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Head of Operations","020 3334 3555","general.queries@justice.gov.uk","HMCTS64","0","1.00","N/A","N/A","","","West Midlands","","1"
"PG71","Annabel Burns","SCS2","Policy Delivery.Director","Judicial Policy (Admin)","Ministry of Justice","Ministry of Justice Headquarters","DIR - Judicial and Legal Services","020 3334 3555","general.queries@justice.gov.uk","PG25","4212401","1.00","100000","104999","","","London","","1"
"HMCTS67","Andrew Baigent","SCS2","Administration - General.","HMCTS Finance Director's Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Finance, Governance and Performance","020 3334 3555","general.queries@justice.gov.uk","HMCTS8","14240263","1.00","130000","134999","","","London","","1"
"HMCTS68","Rachel Hunt","SCS2","Operation Delivery.Director","CFT Sub Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Reform","020 3334 3555","general.queries@justice.gov.uk","HMCTS59","2776502","1.00","95000","99999","","","London","","1"
"COOG55","Mark Adam","SCS2","Human Resources.Director","Chief People Officer Group Office","Ministry of Justice","Ministry of Justice Headquarters","DIR - Service Excellence","020 3334 3555","general.queries@justice.gov.uk","COOG6","45822763","1.00","125000","129999","","","London","","1"
"PG72","Claire Fielder","SCS2","Policy Delivery.Director","Youth Justice Offender Policy (YJOP) Directors Office","Ministry of Justice","Ministry of Justice Headquarters","DIR - Youth Justice & Offender Policy","020 3334 3555","general.queries@justice.gov.uk","PG25","6358272","1.00","95000","99999","","","London","","1"
"SDTG17","N/D","SCS1","Other.Deputy Director","HMPPS Digital - Prisons","Ministry of Justice","Ministry of Justice Headquarters","DIR - Director of Digital","020 3334 3555","general.queries@justice.gov.uk","SDTG4","7951621","1.00","N/A","N/A","","","Yorkshire and The Humber","","1"
"PG73","N/D","SCS1","Policy Delivery.Deputy Director","Directors Office A2J","Ministry of Justice","Ministry of Justice Headquarters","DIR - Access to Justice","020 3334 3555","general.queries@justice.gov.uk","PG41","0","1.00","N/A","N/A","","","London","","1"
"PG74","N/D","SCS1","Other.Deputy Director","Prisons & Probation Ombudsman Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Prisons & Probation Ombudsman","020 3334 3555","general.queries@justice.gov.uk","PG27","1736292","0.58","N/A","N/A","","","London","","1"
"COOG56","N/D","SCS1","Programme and Project Management.Deputy Director","Functional Director","Ministry of Justice","Ministry of Justice Headquarters","DIR - Functional Reform","020 3334 3555","general.queries@justice.gov.uk","COOG19","325237","1.00","N/A","N/A","","","Yorkshire and The Humber","","1"
"PG75","N/D","SCS1","Law.Deputy Director","Legal Services Policy","Ministry of Justice","Ministry of Justice Headquarters","DIR - Judicial and Legal Services","020 3334 3555","general.queries@justice.gov.uk","PG46","0","1.00","N/A","N/A","","","London","","1"
"PG76","N/D","SCS1","Policy Delivery.Deputy Director","Victims & Vulnerability Payroll","Ministry of Justice","Ministry of Justice Headquarters","DIR - Victims and Vulnerability","020 3334 3555","general.queries@justice.gov.uk","PG46","396847","0.61","N/A","N/A","","","London","","1"
"PSAAG21","N/D","SCS1","Communications and Marketing.Deputy Director","Corporate Communications","Ministry of Justice","Ministry of Justice Headquarters","DIR - Communications and Information Directorate","020 3334 3555","general.queries@justice.gov.uk","PSAAG1","1210599","1.00","N/A","N/A","","","London","","1"
"LAA10","N/D","SCS1","Other.Deputy Director","Agency Transformation Programme","Ministry of Justice","Legal Aid Agency","Legal Aid Agency Programme","020 3334 3555","general.queries@justice.gov.uk","LAA5","0","0.65","N/A","N/A","","","London","","1"
"HMCTS69","N/D","SCS1","Operation Delivery.Deputy Director","Central Operations and Tribunals Scotland","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Head of Operations","020 3334 3555","general.queries@justice.gov.uk","HMCTS64","4358544","1.00","N/A","N/A","","","West Midlands","","1"
"HMCTS70","N/D","SCS1","Information Technology.Head of Operations","Digital Directorate Programme Staff","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ ICT","020 3334 3555","general.queries@justice.gov.uk","HMCTS8","6492872","1.00","N/A","N/A","","","London","","1"
"PG77","N/D","SCS1","Policy Delivery.Deputy Director","Criminal and Family Justice Policy Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Court Recovery, Criminal & Family Justice","020 3334 3555","general.queries@justice.gov.uk","PG40","1343321","1.00","N/A","N/A","","","London","","1"
"HMCTS71","N/D","SCS1","Operation Delivery.Deputy Director","Regional Tier","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Courts & Tribunals Service Centres","020 3334 3555","general.queries@justice.gov.uk","HMCTS11","9882797","1.00","N/A","N/A","","","unknown","","1"
"HMCTS72","N/D","SCS1","Finance.Deputy Director","HMCTS Finance Director's Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Finance, Governance and Performance","020 3334 3555","general.queries@justice.gov.uk","HMCTS67","3162603","1.00","N/A","N/A","","","North East","","1"
"HMPPS1","N/D","SCS1","Other.Deputy Director","Reducing Reoffending & Accommodation","Ministry of Justice","Her Majesty's Prison and Probation Service","Reducing Reoffending Core","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS21","4558145","1.00","N/A","N/A","","","London","","1"
"HMPPS2","N/D","SCS1","Other.Deputy Director","Youth Custody Service","Ministry of Justice","Her Majesty's Prison and Probation Service","Director's Office YCS","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS40","1291038","1.00","N/A","N/A","","","London","","1"
"HMPPS3","N/D","SCS1","Other.Deputy Director","Prison Supply","Ministry of Justice","Her Majesty's Prison and Probation Service","Houseblocks Policy","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS40","0","1.00","N/A","N/A","","","London","","1"
"HMPPS4","Edward Cornmell","SCS2","Operation Delivery.Director","Youth Custody Service","Ministry of Justice","Her Majesty's Prison and Probation Service","Director's Office YCS","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS9","53493965","1.00","115000","119999","","","Yorkshire and The Humber","","1"
"HMPPS5","N/D","SCS1","NPS.Probation Deputy Director","Probation Reform Programme","Ministry of Justice","Her Majesty's Prison and Probation Service","NPS Development and Business Change","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS28","4461674","1.00","N/A","N/A","","","North West","","1"
"HMPPS6","N/D","SCS1","Operation Delivery.Deputy Director","Prison Reform","Ministry of Justice","Her Majesty's Prison and Probation Service","Drug Strategy","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS39","1221421","1.00","N/A","N/A","","","London","","1"
"HMPPS7","N/D","SCS1","Other.Deputy Director","Probation Reform Programme","Ministry of Justice","Her Majesty's Prison and Probation Service","Probation workforce programme - Programme and PMO","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS37","2219808","1.00","N/A","N/A","","","East of England","","1"
"HMPPS8","N/D","SCS1","Strategy.Deputy Director","Central Operational Services","Ministry of Justice","Her Majesty's Prison and Probation Service","Strategic Oversight of Prisons","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS44","257137","1.00","N/A","N/A","","","London","","1"
"HMPPS9","Amy-Clare Mason","SCS3","Other.Director General","Probation and Women","Ministry of Justice","Her Majesty's Prison and Probation Service","DG Probation Office","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS28","1807404668","1.00","150000","154999","","","Wales","","1"
"HMPPS10","Christopher Jennings","SCS2","Other.Director","Wales","Ministry of Justice","Her Majesty's Prison and Probation Service","Director HMPPS Wales and PPG","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS36","107846012","1.00","100000","104999","","","Wales","","1"
"HMPPS11","N/D","SCS1","Operation Delivery.Deputy Director","Probation Reform Programme","Ministry of Justice","Her Majesty's Prison and Probation Service","Probation Programme: Service Design","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS28","305398","1.00","N/A","N/A","","","London","","1"
"HMPPS12","Hannah Meyer","SCS2","Other.Director","Reducing Reoffending & Accommodation","Ministry of Justice","Her Majesty's Prison and Probation Service","Director of Reducing Reoffending Group","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS9","16109533","1.00","100000","104999","","","London","","1"
"HMPPS13","N/D","SCS1","Operation Delivery.Deputy Director","SOCT","Ministry of Justice","Her Majesty's Prison and Probation Service","National Security Group - Directors Office","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS39","19847757","1.00","N/A","N/A","","","London","","1"
"HMPPS14","N/D","SCS1","Programme and Project Management.Deputy Director","Probation Reform Programme","Ministry of Justice","Her Majesty's Prison and Probation Service","Probation Programme PMO","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS28","2440173","1.00","N/A","N/A","","","London","","1"
"HMPPS15","N/D","SCS1","Other.Deputy Director","Reducing Reoffending & Accommodation","Ministry of Justice","Her Majesty's Prison and Probation Service","Reducing Reoffending Operations","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS21","6676620","1.00","N/A","N/A","","","London","","1"
"HMPPS16","N/D","SCS1","Operation Delivery.Deputy Director","SOCT","Ministry of Justice","Her Majesty's Prison and Probation Service","National Security Group - Directors Office","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS39","0","1.00","N/A","N/A","","","London","","1"
"HMPPS17","N/D","SCS1","Operation Delivery.Deputy Director","Reducing Reoffending & Accommodation","Ministry of Justice","Her Majesty's Prison and Probation Service","Director of Reducing Reoffending Group","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS21","0","1.00","N/A","N/A","","","East of England","","1"
"HMPPS18","N/D","SCS1","Other.Deputy Director","Prison Supply","Ministry of Justice","Her Majesty's Prison and Probation Service","PETP","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS40","2105601","1.00","N/A","N/A","","","London","","1"
"HMPPS19","N/D","SCS1","Other.Deputy Director","Prison Supply","Ministry of Justice","Her Majesty's Prison and Probation Service","PETP","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS28","0","1.00","N/A","N/A","","","North West","","1"
"HMPPS20","N/D","SCS1","Other.Deputy Director","Central Operational Services","Ministry of Justice","Her Majesty's Prison and Probation Service","Offender Management in Custody","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS44","634318","1.00","N/A","N/A","","","London","","1"
"HMPPS21","N/D","SCS1","Other.Deputy Director","Reducing Reoffending & Accommodation","Ministry of Justice","Her Majesty's Prison and Probation Service","Director of Reducing Reoffending Group","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS9","47477460","1.00","N/A","N/A","","","London","","1"
"HMPPS22","Sarah Coccia","SCS2","Other.Deputy Director","Public Sector Prisons","Ministry of Justice","Her Majesty's Prison and Probation Service","PSP South","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS36","338710622","1.00","115000","119999","","","South East","","1"
"HMPPS23","N/D","SCS1","Other.Deputy Director","Probation Reform Programme","Ministry of Justice","Her Majesty's Prison and Probation Service","Probation Programme: Competition Programme Director","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS21","0","1.00","N/A","N/A","","","Yorkshire and The Humber","","1"
"HMPPS24","N/D","SCS1","Other.Deputy Director","Prison Supply","Ministry of Justice","Her Majesty's Prison and Probation Service","PFI Exits","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS18","1418319","1.00","N/A","N/A","","","East of England","","1"
"HMPPS25","N/D","SCS1","Other.Deputy Director","Central Operational Services","Ministry of Justice","Her Majesty's Prison and Probation Service","Offender Safety Rights and Responsibilities Group","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS44","3623055","1.00","N/A","N/A","","","London","","1"
"HMPPS26","N/D","SCS1","Other.Deputy Director","Reducing Reoffending & Accommodation","Ministry of Justice","Her Majesty's Prison and Probation Service","Joint Strategic Policy Unit","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS44","0","1.00","N/A","N/A","","","London","","1"
"HMPPS27","N/D","SCS1","Other.Deputy Director","Transforming Delivery in Prisons","Ministry of Justice","Her Majesty's Prison and Probation Service","TDiP - Innovation and Business Change","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS38","472291","1.00","N/A","N/A","","","North West","","1"
"HMPPS28","Josephine Farrar","SCS4","Other.Permanent Secretary","Strategy, Planning & Performance","Ministry of Justice","Her Majesty's Prison and Probation Service","Chief Executive's Office","020 3334 3555","general.queries@justice.gsi.gov.uk","PG1","1879256575","1.00","165000","169999","","","London","","1"
"HMPPS29","Ian Blakeman","SCS2","General.","Strategy, Planning & Performance","Ministry of Justice","Her Majesty's Prison and Probation Service","Chief Executive's Office","020 3334 3555","general.queries@justice.gsi.gov.uk","PG21","3953255","1.00","115000","119999","","","North East","","1"
"HMPPS30","Helen Judge","SCS3","Policy Delivery.Head of Section","Public Sector Prisons","Ministry of Justice","Her Majesty's Prison and Probation Service","Yorkshire","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS52","81562992","1.00","125000","129999","","","Yorkshire and The Humber","","1"
"HMPPS31","Sonia Flynn","SCS2","NPS.Director of National Probation Service","Probation and Women","Ministry of Justice","Her Majesty's Prison and Probation Service","Director of National Probation Service","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS9","482195511","1.00","120000","124999","","","South East","","1"
"HMPPS32","Neil Richards","SCS2","Operation Delivery.Director","Custodial Contracts","Ministry of Justice","Her Majesty's Prison and Probation Service","Custodial Services Contract Management","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS36","7554454","1.00","115000","119999","","","East Midlands","","1"
"HMPPS33","N/D","SCS1","HQMP11.C&C Head of Electronic Monitoring Operations (HEMO)","Electronic Monitoring","Ministry of Justice","Her Majesty's Prison and Probation Service","Electronic Mon HQ","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS28","2202860","1.00","N/A","N/A","","","London","","1"
"HMPPS34","N/D","SCS1","General.","Strategy, Planning & Performance","Ministry of Justice","Her Majesty's Prison and Probation Service","Insights Group","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS29","3388674","1.00","N/A","N/A","","","South East","","1"
"HMPPS35","N/D","SCS1","Psychology.Deputy Director","Central Operational Services","Ministry of Justice","Her Majesty's Prison and Probation Service","Psychology Services","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS44","40249852","1.00","N/A","N/A","","","East of England","","1"
"HMPPS36","Philip Copple","SCS3","Finance.Director General","Central Operational Services","Ministry of Justice","Her Majesty's Prison and Probation Service","Director of PSP Office","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS9","1207552180","1.00","155000","159999","","","North East","","1"
"HMPPS37","Ian Barrow","SCS2","Other.Director","Probation Reform Programme","Ministry of Justice","Her Majesty's Prison and Probation Service","Probation workforce programme - Programme and PMO","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS28","7150205","1.00","100000","104999","","","Wales","","1"
"HMPPS38","Dominic Herrington","SCS2","Other.Director","Prison Reform","Ministry of Justice","Her Majesty's Prison and Probation Service","Prison Reform","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS44","2526517","1.00","130000","134999","","","London","","1"
"HMPPS39","Richard Vince","SCS2","Operation Delivery.Director","Public Sector Prisons","Ministry of Justice","Her Majesty's Prison and Probation Service","DDC High Security Prisons Group","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS36","234818451","1.00","115000","119999","","","London","","1"
"HMPPS40","Gary Badley","SCS2","Other.Director","Prison Supply","Ministry of Justice","Her Majesty's Prison and Probation Service","Director of Commissioning Office and Admin Hub","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS36","8312891","1.00","110000","114999","","","West Midlands","","1"
"HMPPS41","N/D","SCS1","Other.Deputy Director","Prison Supply","Ministry of Justice","Her Majesty's Prison and Probation Service","Capacity Taskforce","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS40","0","1.00","N/A","N/A","","","London","","1"
"HMPPS42","N/D","SCS1","Operation Delivery.Deputy Director","Reducing Reoffending & Accommodation","Ministry of Justice","Her Majesty's Prison and Probation Service","Community Rehabilitation Services North and Mids","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS21","35727229","1.00","N/A","N/A","","","West Midlands","","1"
"HMPPS43","N/D","SCS1","NPS.Probation Deputy Director","Strategy, Planning & Performance","Ministry of Justice","Her Majesty's Prison and Probation Service","Effective Practice & Service Improvement Group","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS12","3724128","1.00","N/A","N/A","","","East of England","","1"
"HMPPS44","Michelle Jarman-Howe","SCS2","Operation Delivery.Director","Central Operational Services","Ministry of Justice","Her Majesty's Prison and Probation Service","Deputy Director Prisons","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS36","60793822","1.00","115000","119999","","","East of England","","1"
"HMPPS45","N/D","SCS1","Other.Deputy Director","Prison Supply","Ministry of Justice","Her Majesty's Prison and Probation Service","3k Places Programme","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS40","0","1.00","N/A","N/A","","","North West","","1"
"HMPPS46","N/D","SCS1","Operation Delivery.Deputy Director","Central Operational Services","Ministry of Justice","Her Majesty's Prison and Probation Service","Rehabilitation Systems and Change Group","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS44","8208323","1.00","N/A","N/A","","","East Midlands","","1"
"HMPPS47","N/D","SCS1","Administration - General.","Probation and Women","Ministry of Justice","Her Majesty's Prison and Probation Service","Critical Public Protection Casework Team","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS31","3749630","1.00","N/A","N/A","","","London","","1"
"HMPPS48","N/D","SCS1","Finance.Deputy Director","Strategy, Planning & Performance","Ministry of Justice","Her Majesty's Prison and Probation Service","Change & Business Services","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS12","5563831","1.00","N/A","N/A","","","London","","1"
"HMPPS49","N/D","SCS1","BA.Programmes","Electronic Monitoring","Ministry of Justice","Her Majesty's Prison and Probation Service","Electronic Mon HQ","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS29","0","1.00","N/A","N/A","","","London","","1"
"HMPPS50","N/D","SCS1","General.","Wales","Ministry of Justice","Her Majesty's Prison and Probation Service","Strategic Support Administration and Assurance","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS10","4407421","1.00","N/A","N/A","","","Wales","","1"
"HMPPS51","N/D","SCS1","NPS.Probation Divisional Director","South Central Probation Service","Ministry of Justice","Her Majesty's Prison and Probation Service","NPS South Central Headquarters","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS31","28052994","1.00","N/A","N/A","","","South East","","1"
"HMPPS52","Alan Scott","SCS2","Operation Delivery.Director","Public Sector Prisons","Ministry of Justice","Her Majesty's Prison and Probation Service","PSP North","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS36","449159175","1.00","115000","119999","","","North West","","1"
"HMPPS53","N/D","SCS1","Administration - General.","Prison Supply","Ministry of Justice","Her Majesty's Prison and Probation Service","PETP: Custodial Capacity","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS40","2412473","1.00","N/A","N/A","","","London","","1"
"HMPPS54","N/D","SCS1","Finance & Procurement.","Wales","Ministry of Justice","Her Majesty's Prison and Probation Service","Offender Management and Public Protection Group","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS10","12969056","1.00","N/A","N/A","","","London","","1"
"HMPPS55","N/D","SCS1","Other.Deputy Director","Central Operational Services","Ministry of Justice","Her Majesty's Prison and Probation Service","Education, Employment and Accommodation Group","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS14","0","1.00","N/A","N/A","","","London","","1"
"HMPPS56","N/D","SCS1","Programme and Project Management.Director","Prison Supply","Ministry of Justice","Her Majesty's Prison and Probation Service","Contract Management FM","020 3334 3555","general.queries@justice.gsi.gov.uk","HMPPS40","920245","1.00","N/A","N/A","","","London","","1"
