Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Invoice Number,Invoice Distribution Amount,Account Code,Cost Centre
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,903",9115102901,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,903",9115102901,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,903",9115102901,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£2,888",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£2,885",9115102900,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,880",9115102901,10393860
DWP,CORPORATE,17-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,FG CD ACC POSTAGE,UK MAIL,5606648,"£2,873",5217100002,10392328
DWP,CORPORATE,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER,CMG OPS EXTERNAL CONTRACTS/SLAS LAW CHARGES,ROYAL BANK OF SCOTLAND,RBS-24-JAN-2018,"£2,860",5224100000,10416549
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,843",9115102901,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,843",9115102901,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£2,829",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£2,827",9115102900,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,823",9115102901,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,815",9115102901,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,804",9115102901,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,798",9115102901,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£2,793",9115102900,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,778",9115102901,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,774",9115102901,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,774",9115102901,10393860
DWP,CORPORATE,17-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,FG CD NEWCASTLE ESTATE,UK MAIL,5606646,"£2,768",5217100002,10392330
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,765",9115102901,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,759",9115102901,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,758",9115102901,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,752",9115102901,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,748",9115102901,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,741",9115102901,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,737",9115102901,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,721",9115102901,10393860
DWP,CORPORATE,17-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,FG CD NEWCASTLE ESTATE,UK MAIL,5606646,"£2,719",5217100002,10392330
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,703",9115102901,10393860
DWP,CORPORATE,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER UTILITIES COST - PRIME,FG CD LEEDS QUARRY HOUSE,TELEREAL TRILLIUM,995513,"£2,691",5222502900,10393830
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,681",9115102901,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£2,672",9115102900,10393860
DWP,CORPORATE,25-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - REMOTE STORAGE,FG CD CENTRAL CONTRACTS,IRON MOUNTAIN UK LTD,487062,"£2,667",5217102901,10392332
DWP,CORPORATE,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER UTILITIES COST - PRIME,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995513,"£2,665",5222502900,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,664",9115102901,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,655",9115102901,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£2,655",9115102900,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,639",9115102901,10393860
DWP,EMPLOYMENT PROGRAMMES,22-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,99776,"£2,639",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,22-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,99776,"£2,639",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,22-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,99776,"£2,639",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,22-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,99776,"£2,639",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,22-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,99776,"£2,639",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,22-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,99776,"£2,639",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,22-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,99776,"£2,639",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,22-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,99776,"£2,639",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,100094,"£2,639",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,100094,"£2,639",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,100094,"£2,639",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,100094,"£2,639",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,100094,"£2,639",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,100094,"£2,639",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,100094,"£2,639",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,100094,"£2,639",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,100094,"£2,639",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,100094,"£2,639",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,100094,"£2,639",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,100094,"£2,639",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,100094,"£2,639",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,100094,"£2,639",5213102918,10419070
DWP,CORPORATE,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER UTILITIES COST - PRIME,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995513,"£2,637",5222502900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£2,635",9115102900,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,623",9115102901,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,612",9115102901,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£2,593",9115102900,10393860
DWP,CORPORATE,17-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,FG CD ACC POSTAGE,UK MAIL,5606648,"£2,585",5217100002,10392328
DWP,CORPORATE,17-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,FG CD NEWCASTLE ESTATE,UK MAIL,5606646,"£2,582",5217100002,10392330
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,580",9115102901,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£2,560",9115102900,10393860
DWP,CORPORATE,17-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,FG CD NEWCASTLE ESTATE,UK MAIL,5606646,"£2,550",5217100002,10392330
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,497",9115102901,10393860
DWP,CORPORATE,25-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - REMOTE STORAGE,FG CD CENTRAL CONTRACTS,IRON MOUNTAIN UK LTD,487063,"£2,487",5217102901,10392332
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,483",9115102901,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£2,468",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£2,456",9115102900,10393860
DWP,CORPORATE,17-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,FG CD ACC POSTAGE,UK MAIL,5606648,"£2,451",5217100002,10392328
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,424",9115102901,10393860
DWP,EMPLOYMENT PROGRAMMES,22-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,99776,"£2,421",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,22-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,99776,"£2,421",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,22-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,99776,"£2,421",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,22-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,99776,"£2,421",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,22-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,99776,"£2,421",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,22-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,99776,"£2,421",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,100094,"£2,421",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,100094,"£2,421",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,100094,"£2,421",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,100094,"£2,421",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,100094,"£2,421",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,100094,"£2,421",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,100094,"£2,421",5213102918,10419070
DWP,EMPLOYMENT PROGRAMMES,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP REMPLOY,REMPLOY LTD,100094,"£2,421",5213102918,10419070
DWP,CORPORATE,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER UTILITIES COST - PRIME,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995513,"£2,414",5222502900,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,412",9115102901,10393860
DWP,CORPORATE,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER UTILITIES COST - PRIME,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995513,"£2,408",5222502900,10393860
DWP,EMPLOYMENT PROGRAMMES,18-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,WWEG EP WORK CHOICE WEST YORKSHIRE,THE PLUSS ORGANISATION,99662,"£2,408",5213102915,10419086
DWP,CORPORATE,17-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,FG CD NEWCASTLE ESTATE,UK MAIL,5606646,"£2,389",5217100002,10392330
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,376",9115102901,10393860
DWP,CORPORATE,17-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,FG CD NEWCASTLE ESTATE,UK MAIL,5606646,"£2,375",5217100002,10392330
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£2,372",9115102900,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD LIVERPOOL REDGRAVE COURT,TELEREAL TRILLIUM,995466,"£2,369",9115102900,10393811
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,365",9115102901,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£2,357",9115102900,10393860
DWP,CORPORATE,17-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,FG CD NEWCASTLE ESTATE,UK MAIL,5606646,"£2,355",5217100002,10392330
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,354",9115102901,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,352",9115102901,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD ACCOMMODATION CHARGES (VAT) FOR NON OGDs,TELEREAL TRILLIUM,995466,"£2,348",9115102900,10393855
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£2,340",9115102900,10393860
DWP,CORPORATE,17-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,FG CD ACC POSTAGE,UK MAIL,5606648,"£2,336",5217100002,10392328
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,326",9115102901,10393860
DWP,CORPORATE,17-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,FG CD NEWCASTLE ESTATE,UK MAIL,5606646,"£2,326",5217100002,10392330
DWP,CORPORATE,17-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,FG CD NEWCASTLE ESTATE,UK MAIL,5606646,"£2,323",5217100002,10392330
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,322",9115102901,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD ACCOMMODATION CHARGES (VAT) FOR NON OGDs,TELEREAL TRILLIUM,995466,"£2,319",9115102900,10393855
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,310",9115102901,10393860
DWP,CORPORATE,31-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME FIXED CHARGE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,995466,"£2,310",9115102900,10393860
DWP,CORPORATE,17-Jan-18,AI - PFI - RENTALS UNDER PFI OPERATING LEASES - BUILDINGS - PRIME VARIABLE,FG CD OPS & CMG ESTATES PRIME COSTS,TELEREAL TRILLIUM,991728,"£2,289",9115102901,10393860
DWP,CORPORATE,17-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,FG CD ACC POSTAGE,UK MAIL,5606648,"£2,259",5217100002,10392328
DWP,CORPORATE,31-Jan-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER UTILITIES COST - PRIME,FG CD ACCOMMODATION CHARGES (VAT) FOR NON OGDs,TELEREAL TRILLIUM,995513,"£2,245",5222502900,10393855
