Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
19/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Luxus Ltd,544625,82618.59,DESNZ - Net Zero Innovation Industry and Carbon Capture Demonstration-R & D Current Grants to Private Sector - NPISH,LN11 0LQ,GRANT
19/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Matrix Moulding Systems Ltd,544627,47056.36,DESNZ - Net Zero Innovation Industry and Carbon Capture Demonstration-R & D Current Grants to Private Sector - NPISH,NG23 5FF,GRANT
19/10/2023,Clearing Account   - Cost - Computer Equipment,DESNZ - Corporate Services - ICS Charge - DESNZ - ICS - Digital,DELL CORPORATION LTD,544759,51637.2,DESNZ - DESNZ Corporate Services Programme-Clearing Account   - Cost - Computer Equipment,RG12 1RD,VENDOR
19/10/2023,Clearing Account   - Cost - Computer Equipment,DESNZ - Corporate Services - ICS Charge - DESNZ - ICS - Digital,DELL CORPORATION LTD,544760,51637.2,DESNZ - DESNZ Corporate Services Programme-Clearing Account   - Cost - Computer Equipment,RG12 1RD,VENDOR
19/10/2023,Clearing Account   - Cost - Computer Equipment,DESNZ - Corporate Services - ICS Charge - DESNZ - ICS - Digital,DELL CORPORATION LTD,544761,51637.2,DESNZ - DESNZ Corporate Services Programme-Clearing Account   - Cost - Computer Equipment,RG12 1RD,VENDOR
19/10/2023,Clearing Account   - Cost - Computer Equipment,DESNZ - Corporate Services - ICS Charge - DESNZ - ICS - Digital,DELL CORPORATION LTD,544762,51637.2,DESNZ - DESNZ Corporate Services Programme-Clearing Account   - Cost - Computer Equipment,RG12 1RD,VENDOR
19/10/2023,Clearing Account   - Cost - Computer Equipment,DESNZ - Corporate Services - ICS Charge - DESNZ - ICS - Digital,DELL CORPORATION LTD,544763,51637.2,DESNZ - DESNZ Corporate Services Programme-Clearing Account   - Cost - Computer Equipment,RG12 1RD,VENDOR
19/10/2023,Clearing Account   - Cost - Computer Equipment,DESNZ - Corporate Services - ICS Charge - DESNZ - ICS - Digital,DELL CORPORATION LTD,544764,51637.2,DESNZ - DESNZ Corporate Services Programme-Clearing Account   - Cost - Computer Equipment,RG12 1RD,VENDOR
19/10/2023,Clearing Account   - Cost - Computer Equipment,DESNZ - Corporate Services - ICS Charge - DESNZ - ICS - Digital,DELL CORPORATION LTD,544766,51637.2,DESNZ - DESNZ Corporate Services Programme-Clearing Account   - Cost - Computer Equipment,RG12 1RD,VENDOR
19/10/2023,Clearing Account   - Cost - Computer Equipment,DESNZ - Corporate Services - ICS Charge - DESNZ - ICS - Digital,DELL CORPORATION LTD,544767,51637.2,DESNZ - DESNZ Corporate Services Programme-Clearing Account   - Cost - Computer Equipment,RG12 1RD,VENDOR
19/10/2023,Clearing Account   - Cost - Computer Equipment,DESNZ - Corporate Services - ICS Charge - DESNZ - ICS - Digital,DELL CORPORATION LTD,544768,51637.2,DESNZ - DESNZ Corporate Services Programme-Clearing Account   - Cost - Computer Equipment,RG12 1RD,VENDOR
19/10/2023,Current Grants To Overseas Bodies,"DESNZ - Net Zero, Nuclear & International - DESNZ - INZ: Climate Finance & Strategy","Foreign, Commonwealth and Development Office",544770,133004.2,DESNZ - INZ - CARE Fund-Current Grants To Overseas Bodies,MK11 9NQ,WGA ONLY
19/10/2023,Independent Experts,"DESNZ - Net Zero, Nuclear & International - DESNZ - INZ: Trade & Energy",BDO LLP,544775,51124.25,DESNZ - INZ - Extractive Industries Transparency Initiative (EITI)-Independent Experts,W1U 3LL,VENDOR
19/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",LONDON ECONOMICS LTD,544781,86438.4,DESNZ - Climate Science Capability-R & D Outsourced Other,WC2R 1LA,VENDOR
19/10/2023,Outsourced Programme Management,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,IFF RESEARCH LTD,544782,72524.04,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Outsourced Programme Management,EC3R 6HD,VENDOR
30/10/2023,Professional Subscriptions,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Industrial Decarbonisation and Emissions Trading,ICE Data Desktop Solutions Ltd,544812,79186.92,DESNZ - UK role in EU ETS-Professional Subscriptions,EC1Y 4SU,VENDOR
23/10/2023,Other Professional Services,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,RICARDO-AEA LTD,544824,94754.59,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Other Professional Services,OX11 0QR,VENDOR
20/10/2023,Outsourced Technical Support,ICS - Integrated Corporate Services - ICS - Digital,Visionist Ltd,544831,168201.23,DESNZ - Shared Services CS Admin-Outsourced Technical Support,BH24 3FG,VENDOR
20/10/2023,Utilisation of Provisions - Purchase of Goods & Services - Other,DESNZ - Energy Infrastructure - DESNZ - Energy Development,CLYDE & CO LLP,544836,285572.85,DESNZ - BRITISH SHIPBUILDERS PROVISION-Utilisation of Provisions - Purchase of Goods & Services - Other,NE1 3AZ,VENDOR
25/10/2023,Technical Advice / Services & Support,"DESNZ - Net Zero, Nuclear & International - DESNZ - Nuclear Projects Delivery Directorate",Ove Arup and Partners Ltd,544837,105996.88,DESNZ - New Nuclear Sizewell C (Net Zero)-Technical Advice / Services & Support,NE1 3PL,VENDOR
20/10/2023,Utilisation of Provisions - Purchase of Goods & Services - Other,DESNZ - Energy Infrastructure - DESNZ - Energy Development,CLYDE & CO LLP,544843,36653.68,DESNZ - AMD: British Shipbuilders Provision-Utilisation of Provisions - Purchase of Goods & Services - Other,EX3A 7AR,VENDOR
20/10/2023,External Legal Advice and Service,"DESNZ - Net Zero, Nuclear & International - DESNZ - New Nuclear Strategy and Fusion Energy and Advanced Nuclear Technologies",Ashurst LLP,544849,286314.75,DESNZ - Great British Nuclear-External Legal Advice and Service,E1 6PW,VENDOR
20/10/2023,Grant-In-Aid to Arms Length Bodies,"DESNZ - Net Zero, Nuclear & International - DESNZ - Net Zero Strategy",THE COMMITTEE ON CLIMATE CHANGE,544910,1220843,DESNZ - Committee On Climate Change Grant-In-Aid Payments-Grant-In-Aid to Arms Length Bodies,YO1 7PX,GRANT
31/10/2023,IT Services,ICS - Integrated Corporate Services - ICS - Digital,Triad Group Plc,544928,63101.1,DESNZ - Shared Services CS Admin-IT Services,GU7 1XE,VENDOR
23/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Hildebrand Technology Ltd,545129,76328,DESNZ - Net Zero Innovation - Smart-R & D Outsourced Other,W1S 2YZ,VENDOR
23/10/2023,Consultancy Expenditure,DESNZ - Energy Infrastructure - DESNZ - Hydrogen and Industrial Carbon Capture,Ashurst LLP,545134,97697.7,DESNZ - Hydrogen and Industrial Energy Business Models-Consultancy Expenditure,E1 6PW,VENDOR
26/10/2023,International Subscriptions,"DESNZ - Net Zero, Nuclear & International - DESNZ - Nuclear Protection Directorate",International Atomic Energy Agency,545174,3502709.6,DESNZ - Contribution To The Iaea Technical Co-Operation Fund-International Subscriptions,1400,VENDOR
26/10/2023,International Subscriptions,"DESNZ - Net Zero, Nuclear & International - DESNZ - Nuclear Protection Directorate",International Atomic Energy Agency,545177,2054910.55,DESNZ - Iaea Annual Subscription-International Subscriptions,10017,VENDOR
25/10/2023,R & D Research and Development Expenditure,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Vattenfall Wind Power Ltd,545185,147270.47,DESNZ - Net Zero Innovation - Hydrogen-R & D Research and Development Expenditure,EC3A 8BE,VENDOR
27/10/2023,Research and Development Expenditure,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Smart Metering Implementation Programme,IFF RESEARCH LTD,545503,41141.02,DESNZ - Roll-out of Smart Meters-Research and Development Expenditure,EC3R 6HD,VENDOR
23/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Samsung Electronics UK Ltd,545508,270633,DESNZ - Net Zero Innovation - Built-R & D Outsourced Other,TW18 4QE,VENDOR
23/10/2023,Utilisation of Provisions - Purchase of Goods & Services - Other,DESNZ - Energy Infrastructure - DESNZ - Energy Development,CMS Cameron McKenna Nabarro Olswang LLP,545509,459042.58,DESNZ - Coal Health Administration Costs Including Legal Defence And Records Man-Utilisation of Provisions - Purchase of Goods & Services - Other,S1 4HS,VENDOR
24/10/2023,Other Professional Services,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Portfolio & Affordability,Nottingham City Council,545511,1770000,DESNZ - WHT Supply Chain M&E Research & Training-Other Professional Services,NG2 3NG,WGA ONLY
23/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Satellite Applications Catapult Ltd,545512,92836.25,DESNZ - Delivery of BEIS Energy Innovation-R & D Current Grants to Private Sector - NPISH,OX11 0QR,VENDOR
23/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Satellite Applications Catapult Ltd,545513,31733.41,DESNZ - Delivery of BEIS Energy Innovation-R & D Current Grants to Private Sector - NPISH,OX11 0QR,VENDOR
23/10/2023,Other Professional Services,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Portfolio & Affordability,Nottingham City Council,545515,650000,DESNZ - WHT Supply Chain M&E Research & Training-Other Professional Services,NG2 3NG,WGA ONLY
23/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Ashman Bank Ltd,545520,67977,DESNZ - Net Zero Innovation - Built-R & D Current Grants to Private Sector - NPISH,B3 2FD,GRANT
23/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Ashman Bank Ltd,545525,58003,DESNZ - Net Zero Innovation - Built-R & D Current Grants to Private Sector - NPISH,B3 2FD,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Blackpool Council,545528,351246.81,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,FY1 3AH,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Cambridge City Council,545529,86754,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,CB2 3QJ,GRANT
24/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Cornwall Council,545531,117560,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,TR4 9LD,WGA ONLY
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Coventry City Council,545532,1290875.69,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,CV1 5RR,WGA ONLY
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Westmorland and Furness Council,545534,358099.91,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,LA9 4DQ,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Fairhive Homes Ltd,545535,67006,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,HP20 2NJ,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,GREATER MANCHESTER COMBINED AUTHORITY,545536,1000000,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,M60 2LA,WGA ONLY
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,GreenSquareAccord Ltd,545537,708003.03,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,B70 6QG,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Haig Housing Trust,545538,84073.34,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,SM4 5NS,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Hinckley and Bosworth Borough Council,545539,38718.67,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,LE10 0FR,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Homes Plus Ltd,545540,101097,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,SY9 5AB,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Kingston upon Hull City Council,545541,114300,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,HU1 2AB,WGA ONLY
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Islington and Shoreditch Housing Association,545542,192261,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,N4 2DR,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,London Borough of Islington,545543,80317.58,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,N7 7EP,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,London Borough of Barnet,545544,256289.76,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,NW9 4EW,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,London Borough of Brent,545545,60000,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,HA9 0FJ,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,London Borough of Hackney,545546,35000,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,E8 1EA,VENDOR
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Moat Homes Ltd,545548,113613.68,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,DA2 6QE,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Network Homes Ltd,545549,100000,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,HA9 0HP,VENDOR
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,North East Derbyshire District Council,545550,488672.69,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,S42 6NG,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Notting Hill Genesis,545551,42565.82,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,N1 9FL,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Oxford City Council,545552,66000.64,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,OX1 1DS,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Peabody Trust,545554,2087028.95,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,SE1 7JB,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Phoenix Community Housing Association (Bellingham & Downham) Ltd,545555,25032.14,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,SE6 2RP,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Rugby Borough Council,545556,130598.52,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,CV21 2RR,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Sanctuary Housing Association,545557,781760.31,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,WR1 3ZQ,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Settle Group,545558,209018.09,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,SG6 1HA,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Soha Housing Ltd,545559,161016,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,OX11 7NN,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,SOUTH CAMBRIDGESHIRE DISTRICT COUNCIL,545560,117035,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,CB23 6EA,WGA ONLY
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Southampton City Council,545562,32853,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,SO14 7LY,VENDOR
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Southend On Sea City Council,545563,52281.95,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,SS2 6AN,WGA ONLY
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Southern Housing Group Ltd,545564,362342.77,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,ME9 8GU,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Sovereign Housing Association Ltd,545565,262775.09,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,RG21 4FA,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Stevenage Borough Council,545566,76023.79,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,SG1 1HN,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Thanet District Council,545567,600000,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,CT9 1XZ,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,The Guinness Partnership Ltd,545568,60000,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,OL9 7LH,VENDOR
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,The Riverside Group Ltd,545569,334406.25,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,L24 8RF,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Together Housing Association,545570,297078.26,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,HX1 2EB,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Welwyn Hatfield Borough Council,545571,201361.84,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,AL8 6AE,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,West of England Combined Authority,545573,569176.71,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,BS1 6QH,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,West of England Combined Authority,545574,831035.49,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,BS1 6AL,GRANT
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Domestic,Westminster City Council,545575,385000,DESNZ - Social Housing Decarbonisation Fund (SHDF)-Capital Grants To Local Government,SW1E 6QP,WGA ONLY
23/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",The Biorenewables Development Centre Ltd,545578,50342.82,DESNZ - Net Zero Innovation - Bioenergy and VC-R & D Outsourced Other,YO19 5SN,VENDOR
23/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Advanced Infrastructure Technology Ltd,545581,96359,DESNZ - Delivery of BEIS Energy Innovation-R & D Current Grants to Private Sector - NPISH,CB1 7RT,VENDOR
23/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Advanced Infrastructure Technology Ltd,545582,88142,DESNZ - Delivery of BEIS Energy Innovation-R & D Current Grants to Private Sector - NPISH,CB1 7RT,VENDOR
23/10/2023,Capital Grants to Private Sector - Companies,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Clean Heat,Rotherham Energy Ltd,545584,111315.38,DESNZ - Green Heat Networks Fund (GHNF)-Capital Grants to Private Sector - Companies,NW6 3JL,GRANT
23/10/2023,Capital Grants to Private Sector - Companies,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Clean Heat,Bradford Energy Ltd,545585,845172.46,DESNZ - Green Heat Networks Fund (GHNF)-Capital Grants to Private Sector - Companies,NW6 3JL,GRANT
23/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Kew Projects Ltd,545587,27097.65,DESNZ - Net Zero Innovation - Bioenergy and VC-R & D Outsourced Other,B3 3HN,VENDOR
23/10/2023,Capital Grants To Local Government,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Clean Heat,Royal Borough of Kingston upon Thames,545588,750000,DESNZ - Green Heat Networks Fund (GHNF)-Capital Grants To Local Government,KT1 1EU,GRANT
23/10/2023,Capital Grants to Private Sector - Companies,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Clean Heat,GTC Infrastructure Ltd,545589,140696.72,DESNZ - Green Heat Networks Fund (GHNF)-Capital Grants to Private Sector - Companies,IP30 9UP,VENDOR
23/10/2023,R & D Research and Development Expenditure,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Loughborough University Enterprises Ltd,545590,32433.25,DESNZ - Energy Research and Studies-R & D Research and Development Expenditure,LE11 3TU,VENDOR
23/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",FeTu Ltd,545591,31309.75,DESNZ - Delivery of BEIS Energy Innovation-R & D Current Grants to Private Sector - NPISH,HX5 9HH,GRANT
23/10/2023,R & D Technical Advice/Services and Support,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Clean Heat,MOTT MACDONALD LTD,545593,49548.33,DESNZ - Hydrogen Heating - CDEL expenditure-R & D Technical Advice/Services and Support,CR0 2EE,VENDOR
24/10/2023,Administration of Grants and Awards,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Clean Heat,Gemserv Limited,545597,183650.65,DESNZ - Heat Networks Efficiency Scheme (HNES)-Administration of Grants and Awards,EC3M 4AJ,VENDOR
24/10/2023,Research and Development Expenditure,DESNZ - Net Zero Buildings and Industry (NZBI) - DESNZ - Net Zero Buildings - Clean Heat,Ove Arup and Partners Ltd,545608,28337,DESNZ - Heat Networks Zoning-Research and Development Expenditure,W1T 4BQ,VENDOR
31/10/2023,Other IT Consultancy,ICS - Integrated Corporate Services - ICS - Digital,Tecknuovo Ltd,545623,48730,DESNZ - Shared Services CS Admin-Other IT Consultancy,SE1 1JA,VENDOR
30/10/2023,Consultancy Expenditure,DESNZ - Energy Markets & Supply - DESNZ - Energy Affordability,Deloitte LLP,545626,57857.03,DESNZ - Energy Bills Relief Scheme-Consultancy Expenditure,EC4A 3HQ,VENDOR
24/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Rickerby Estates Ltd,545804,128664.25,DESNZ - Net Zero Innovation - Bioenergy and VC-R & D Outsourced Other,CA2 4AU,VENDOR
24/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Environmental Power International (UK RandD) Ltd,545806,99589.59,DESNZ - Net Zero Innovation - Bioenergy and VC-R & D Outsourced Other,SM4 4AW,VENDOR
24/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Catagen Ltd,545808,259754.02,DESNZ - Net Zero Innovation - Bioenergy and VC-R & D Outsourced Other,BT3 9DT,VENDOR
31/10/2023,Other IT Consultancy,ICS - Integrated Corporate Services - ICS - Digital,Tecknuovo Ltd,545830,59640,DESNZ - Shared Services CS Admin-Other IT Consultancy,SE1 1JA,VENDOR
24/10/2023,R & D Current Grants to Private Sector - NPISH,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",VIA Analytics Ltd,545834,26626.78,DESNZ - Net Zero Innovation - Built-R & D Current Grants to Private Sector - NPISH,M2 6BA,GRANT
24/10/2023,R & D Outsourced Other,"DESNZ - Net Zero, Nuclear & International - DESNZ - Science And Innovation",Advanced Biofuel Solutions Ltd,545836,229452,DESNZ - Net Zero Innovation - Bioenergy and VC-R & D Outsourced Other,GL7 4DD,VENDOR
31/10/2023,Other IT Consultancy,ICS - Integrated Corporate Services - ICS - Digital,Tecknuovo Ltd,545837,66345,DESNZ - Shared Services CS Admin-Other IT Consultancy,SE1 1JA,VENDOR
31/10/2023,Other IT Consultancy,ICS - Integrated Corporate Services - ICS - Digital,Tecknuovo Ltd,545842,36865,DESNZ - Shared Services CS Admin-Other IT Consultancy,SE1 1JA,VENDOR
