Minister,Date,Name of organisation or individual,Purpose of meeting
Paul Scully,2021-11-23,"Sainsbury’s, New West End Company, Marks & Spencer, British Independent Retailers Association, Association of Convenience Stores, British Retail Consortium, Kingfisher, Primark, IKEA, Lidl, Booksellers Association, Retail Sector Council, Lincolnshire Cooperative, ASOS, Value Retail, Co-op, Asda, Ebay",To discuss supply chains and the Northern Ireland Protocol
Paul Scully,2021-11-23,Amazon,To discuss support for SMEs and competition reform
Paul Scully,2021-11-23,British Institute of Innkeeping,To attend British Institute of Innkeeping’s Winter Event
Paul Scully,2021-11-23,Grosvenor,To discuss London’s economic recovery from COVID-19
Paul Scully,2021-11-23,Retail Sector Council,To discuss skills and retail crime
Paul Scully,2021-11-24,"RPS Group, Apex Airspace, Berkeley Homes (Capital) Plc, Gallagher Group, Hammerson plc, Langham Homes, London Borough of Barking & Dagenham, London Borough of Brent, Long Harbour Ltd, Moda Living, Movers & Shakers, Old Oak and Park Royal Development Corporation, Sellar Property Group, The Earls Court Development Company, Weston Homes",To discuss London’s economic recovery from COVID-19 and levelling up
Paul Scully,2021-11-24,"Hanover Comms (Nick King, Senior Political Counsel), Airbus, Betting and Gaming Council, Cisco, C-Capture, Goldman Sachs, Octopus, Suntory Beverage and Food, Tate & Lyle Sugars, UBER, Valero Energy, Worcester Bosh",Hanover Comms Webinar ‘in conversation with Minister Scully’
Paul Scully,2021-11-24,"British Toy & Hobby Association, David Linden MP",To discuss unsafe toys and children’s safety
Paul Scully,2021-11-25,The Business Show 2021,To provide an address on ‘Building Back Better: the roles of franchising and SMEs in the economic recovery’
Paul Scully,2021-11-25,Carers UK,To speak at Carers Rights Day 2021 ‘Supporting Carers at Work’ event
Paul Scully,2021-11-25,"British Chambers of Commerce, Confederation of British Industry, Federation of Small Businesses, Institute of Directors, Logistics UK, Make UK, Association for the Manufacturers of Small and Large Domestic Appliances, BEAMA, British Retail Consortium, British Safety Industry Federation, Construction Products Association, Engineering and Machinery Alliance, Gambica, Lighting Industry Association, MAPUK International, TechUK",To discuss product regulatory reform
Paul Scully,2021-11-25,"Enterprise Investment Scheme Association, Calculus Capital, Philip Hare & Associates, Clear Solutions Wealth & Tax Management, Adempi Associates, Kin Capital, SuperSeed, BDO, Wiggin, Shoosmiths, Bovill, Kin Capital, Three Sixty Services, Parkwalk Advisors, Shakespeare Martineau, Thompson Taraz, Hardman & Co, Bulletin Marketing, Clear Solutions, Triplepoint, CoInvestor, Indagate Group, St James’s Place Wealth Management, Sapphire Capital Partners, Vala Capital, Acceleris Capital, Kingsley Napley, Seedrs, Ashurst, RW Blears LLP, DC Consulting, Mainspring Fund Services, Fiscability, Crowdcube, GrowthInvest",To discuss support for SMEs at Enterprise Investment Scheme Association’s Autumn Technical Seminar
Paul Scully,2021-11-25,Plunkett Foundation,To attend the rural community business awards
Paul Scully,2021-11-26,"Greater London Authority, London & Partners, No. 10",To discuss London’s economic recovery from COVID-19
Paul Scully,2021-11-29,"Make UK, Federation Small Businesses, Confederation of British Industry, Institute of Director, British Chambers of Commerce",To discuss business priorities
Paul Scully,2021-11-29,"Sarah Olney MP, All Party Parliamentary Group for BAME Business, Grand Trunk Road restaurant, Raja Foods, Academia and Industry Forum, UK Curry Connect, Maggie’s Exotic Foods",To discuss the impact of COVID-19 on hospitality ethnic minority led businesses
Paul Scully,2021-11-29,Small Business Britain,To attend Small Business Britain’s Small Business Saturday Tea Reception
Paul Scully,2021-11-29,"Victoria BID, University College London, Westminster City Council, Lendlease, Power to Change, Savanta, University of London, Jones Lang LaSalle, Grosvenor, London Plus, Transport for London, The Crown Estate, New London Architecture, Canary Wharf Group, Greater London Authority, London Property Alliance, London School of Economics and Political Science, Confederation of British Industry, Peabody, Kohn Pedersen Fox Associates, Toynbee Hall, London Communications Agency, The Royal Borough of Kensington and Chelsea, London First, Network Rail, McKinsey & Company, Delancey, Centre for London, Tech London Advocates, Create Streets, Central District Alliance, London Councils, City of London Corporation, L&Q Housing Group, Commonplace, King's College London, The House of St Barnabas, Trust for London, The Northbank BID, London Borough of Islington, Bloomberg, Guy's & St Thomas' Charity, Central London Forward, Capital & Counties Properties PLC, British Land, Public Health England, Uber, West London Alliance",To attend the London Conference dinner and discuss London
Paul Scully,2021-12-01,British Chambers of Commerce,To discuss help to grow management and labour shortages
Paul Scully,2021-12-01,London Recovery Board,To discuss London’s economic recovery from COVID-19
Paul Scully,2021-12-01,"Centre for Research in Ethnic Minority Entrepreneurship, Lloyds Banking","To provide an address at the Centre for Research in Ethnic Minority Entrepreneurship’s ‘New Directions in Ethnic Minority Entrepreneurship: Taking Stock, Looking Forward’ conference"
Paul Scully,2021-12-02,"The Custard Factory, The Clean Kilo, AutoBrew, Baked in Brick, Kanteen, Small Business Commissioner",Visit to Birmingham discuss support for SMEs
Paul Scully,2021-12-02,"The Bullring, Hammerson, Bullring and Grand Central",Visit to Birmingham to discuss support for SMEs
Paul Scully,2021-12-02,"Birmingham Tech, Goldman Sachs, British Business Bank, Aston University, Nourish3d, CrowdProperty, You. Smart. Thing., Niyo Enterprise, CyberQ Group, Shopper.com, Conigital, Innovation Alliance for the West Midlands, Bruntwood Sci-Tech, SuperTech West Midlands, West Midlands 5G Limited, West Midlands Health Technologies Cluster",Visit to Birmingham to discuss support for SMEs
Paul Scully,2021-12-02,"University of Birmingham, Tyseley Energy Park, Vanguard, Jigsaw, Aceleron, Velorim, Hope Energy, The Confederation of British Metalforming, Ambue, Wondrwall, Surple, Faraday Battery, SEaB Energy",Visit to Birmingham to discuss support for SMEs
Paul Scully,2021-12-02,"Centre for Research in Ethnic Minority Entrepreneurship, Lloyds Banking","To attend the Centre for Research in Ethnic Minority Entrepreneurship’s ‘New Directions in Ethnic Minority Entrepreneurship: Taking Stock, Looking Forward’ conference dinner"
Paul Scully,2021-12-06,UKHospitality,To discuss the Government response to COVID-19
Paul Scully,2021-12-06,TechUK,To discuss levelling up & digital support for SMEs
Paul Scully,2021-12-06,British Private Equity & Venture Capital Association,To discuss support for SMEs
Paul Scully,2021-12-06,NatWest Group,To discuss the rose review board
Paul Scully,2021-12-06,The Sanctuary House Hotel,Visit to discuss recovery for the hospitality sector
Paul Scully,2021-12-07,"The Canterbury & Coastal Business Club, Sir Roger Gale MP",To discuss business support
Paul Scully,2021-12-08,Star Pubs & Bars,To discuss levelling up and the pubs code
Paul Scully,2021-12-08,Retail Sector Council,To discuss violence and aggression against retail workers
Paul Scully,2021-12-08,Intuit,To discuss the role of SMEs in Combating Climate Change
Paul Scully,2021-12-08,"London Councils, Royal Borough of Kensington & Chelsea, Greater London Authority",To discuss youth unemployment in London
Paul Scully,2021-12-08,"Westminster City Council, London Councils, New West Company, Greater London Authority, The Crown Estate, Grosvenor, British Museum, Camden London Borough Council",To discuss the future of work and connectivity in London
Paul Scully,2021-12-08,Rose Review Board,To discuss female entrepreneurship
Paul Scully,2021-12-09,"Make UK, Federation of Small Businesses, Confederation of British Industry, Institute of Directors, British Chambers of Commerce",To discuss business priorities
Paul Scully,2021-12-09,The Confederation of British Industry,Webinar ‘In discussion with the Minister for Small Business’ to discuss support for SMEs
Paul Scully,2021-12-09,"UK Hospitality, British Beer & Pub Association, Mitchells & Butlers, McDonalds, Greene King, Deliveroo, Pizza Express, The Restaurant Group, Big Table Group, Azzurri, Hawksmoor, Society of Independent Brewers, St Austells Brewery, Nationwide Caterers Association, British Takeaway Campaign, Fullers, JW Lees, Molson Coors, Loungers, Arc Inspirations, Marstons, Hospitality Ulster, Night Time Industries Association, REKOM, Stonegate, Revolution, British Institute of Innkeeping, ABInBev, Admiral Taverns, Drake & Morgan, Carlsberg Marstons",To discuss the hospitality sector and COVID-19
Paul Scully,2021-12-09,Barclays,To provide an address at the ‘Growing through sustainable innovation’ webinar on help to grow management
Paul Scully,2021-12-10,Greater London Authority,To discuss transport for London
Paul Scully,2021-12-13,"Amazon, British Toy & Hobby Association, Child Accident Prevention Trust, Ebay, Stoke on Trent Trading Standards, British Standards Institution, Royal Borough of Greenwich Trading Standards, British Retail Consortium, Currys, The Royal Society for the prevention of accidents, Energizer Holdings, B&Q, LoveHoney, Duracell, Tesco, Tech UK, British & Irish Portable Battery Association, Bristol Royal Hospital for Children, Bradford Royal Infirmary, John Lewis, British Home Enhancement Trade Association, Association of Manufacturers of Domestic Appliances, Alibaba Group, Jo Gideon MP",To discuss button batteries and product safety
Paul Scully,2021-12-13,"Ethnic Minority Business Group, UK Finance, The Entrepreneurs Network, Business Action Momentum Enterprise, Centre for Research in Ethnic Minority Entrepreneurship, Business in the Community, Jomas Associates, British African Business Alliance, StartUp Discovery School, European Federation of Black Women Business Owners, Bode Sharp Coaching",Meeting of Ethnic Minority Business Group
Paul Scully,2021-12-14,"British Independent Retailers Association, Kingfisher, Primark, IKEA, Association Of Convenience Stores, Lidl, Sainsburys, Delicious Planet, Lincolnshire Coop, Asos, Boots, Currys, Retail Sector Council",To discuss the Government response to COVID-19
Paul Scully,2021-12-14,"Rt Hon Theresa May MP, Lord Nicholas Wilson, Elizabeth Filkin, Peter Aitken",To discuss domestic abuse
Paul Scully,2021-12-15,Post Office Horizon Inquiry,To discuss the Post Office Horizon inquiry
Paul Scully,2021-12-15,The European House Ambrosetti,To provide an address at the Retail 5.0 Community event on retail in the UK
Paul Scully,2021-12-15,London First,To discuss London
Paul Scully,2021-12-15,All Party Parliamentary Beer Group,To provide an address at the All Party Parliamentary Beer Group Christmas Reception on hospitality
Paul Scully,2021-12-16,Hyde Park Winter Wonderland,Visit to discuss hospitality and tourism recovery from COVID-19
Paul Scully,2021-12-16,St Mary’s Hospital Vaccination Centre,Visit to discuss COVID-19 vaccinations in London
Paul Scully,2021-12-16,Wallace Collection,Visit to discuss hospitality and tourism recovery from COVID-19
Paul Scully,2021-12-16,Selfridges,Visit to discuss retail recovery from COVID-19
Paul Scully,2021-12-16,Roti Chai,Visit to discuss hospitality recovery from COVID-19
Paul Scully,2021-12-16,The Admiralty,Visit to discuss hospitality and tourism recovery from COVID-19
Paul Scully,2021-12-16,Trafalgar Square Christmas Market,Visit to discuss retail recovery from COVID-19
Martin Callanan,2021-10-08,Smart Data Communications Company Control Centre,To discuss Smart Meters
Martin Callanan,2021-10-08,"Lucy Powell MP, One Manchester, Constructive Thinking, Manchester City Council",Visit to energy efficiency project
Martin Callanan,2021-10-08,Royal Northern College of Music,Tour of the energy efficiency installations as the recipients of the Public Sector Decarbonisation Scheme
Martin Callanan,2021-10-11,BEIS Ministerial Stakeholder Reception,Stakeholder reception to discuss the work of the department
Martin Callanan,2021-10-11,Committee on Fuel Poverty,To discuss the fuel poverty landscape and how it relates to the Private Rented Sector
Martin Callanan,2021-10-11,"Institute of Chartered Accountants in England and Wales, Energy UK, Britishvolt",Reception to discuss BEIS departmental priorities
Martin Callanan,2021-10-11,"Regulatory Policy Committee, Lord Frost",To discuss ‘Reforming the framework for better regulation’
Martin Callanan,2021-10-12,Institute of Chartered Accountants in England and Wales,Speech to discuss the Government’s plans and ambitions on the climate crisis and sustainable future
Martin Callanan,2021-10-15,Jacksonville Jaguars,Speech to discuss ‘Corporate Value and Job Creation in a Post-COVID World’
Martin Callanan,2021-10-19,Octopus Energy,Tour of facilities to discuss the Heat and Buildings Strategy
Martin Callanan,2021-10-19,"Finsbury Glover Hering, Partner, Allen & Overy, Latham & Watkins, Barclays, Freshfields Bruckhaus Deringer, Citigroup, White and Case, Linklaters, Clearly Gottlieb Steen and Hamilton, Global M&A, Goldman Sachs, KKR",Speech to discuss the National Security Investment Act with a question and answer
Martin Callanan,2021-10-22,Ground Source Heat Pump Association,Speech to discuss how the government is supporting industry to grow the market for heat pumps
Martin Callanan,2021-10-25,Building Research Establishment,Introductory meeting to discuss decarbonisation
Martin Callanan,2021-10-27,NatWest,To discuss the Greener Homes Attitude tracker
Martin Callanan,2021-11-02,"Chartered Institute of Internal Auditors’, Barclays, Tim Steer (Author), National Cyber Security Centre, University of Oxford",Keynote speech to discuss the audit reform package
Martin Callanan,2021-11-03,Built Environment Networking,Keynote speech at the Green Retrofitting and Property Decarbonisation Conference
Martin Callanan,2021-11-09,UK Green Building Council,To discuss the launch of the ‘Whole Life Carbon Roadmap report’
Martin Callanan,2021-11-09,Hydro Zero,To discuss their technology and issues they are facing
Martin Callanan,2021-11-10,Queen’s Awards for Enterprise,To attend the Queen’s Awards for Enterprise royal reception
Martin Callanan,2021-11-11,The Kensa Group,To discuss COP26
Martin Callanan,2021-11-12,"William Grant and Sons Distillery, Anaerobic Digestion and Bioresources Association, Grissan, Scotch Whisky Association",Tour of the distillery and a demonstration of how they use biofuel on site
Martin Callanan,2021-11-15,Ernst and Young,Keynote speaker on audit reform
Martin Callanan,2021-11-16,"Aerospace, Defence, Security and Space, Squire Patton Boggs",Speech to discuss National Security and Investment
Martin Callanan,2021-11-23,"Mazars, JBP Associates",To discuss the White Paper ‘Restoring Trust in Audit and Corporate Governance Reform’
Martin Callanan,2021-11-25,UK Extractive Industries Transparency Initiative,Speech in support of their successful validation result
Martin Callanan,2021-11-26,"British Library (Boston Spa), CBRE","A tour of the site, view the ground source heat pump test boreholes and solar panels"
Martin Callanan,2021-11-26,Cenergist,To officially open their new office and tour of facilities
Martin Callanan,2021-11-26,John Charles Centre for Sports,"Tour of facilities, and to switch on new solar panels"
Martin Callanan,2021-11-26,Holbeck Estates,Tour of estate to see homes that are fitted with external wall insulation
Martin Callanan,2021-12-01,"Cleary Gottlieb and Member, Company Law Committee, City of London Law Society, Institute of Directors, Deloitte, Institute of Chartered Accountants in England and Wales",To discuss the National Investment Act
Martin Callanan,2021-12-06,"Energy UK, BEAMA, Baxi Heating, Octopus Energy, Association for Decentralised Energy, Future Energy Systems at Renewable UK, Vattenfall Heat UK, Green Construction Board, Home Builders Federation, Federation of Master Builders, National Housing Federation, Persimmon, dRMM Architects, Barratt Homes, UK Green Building Council, Energy Systems Catapult, UK Energy Research Centre, Britain Thinks, National Energy Action, Local Government Association",To discuss the Heat and Buildings and Net Zero Strategies
Martin Callanan,2021-12-13,"Institute of Chartered Accountants in England and Wales, Crowe, Haysmacintyre LLP, Mazars, Moore Kingston Smith, RSM, Saffery Champness, Smith and Williamson",To discuss the White Paper ‘Restoring Trust in Audit and Corporate Governance Reform’
Martin Callanan,2021-12-14,Anaerobic Digestion and Bioresources Association,Speech discussing the Green Gas Support Scheme
Martin Callanan,2021-12-21,"Heat Pump Federation, Energy Efficiency Association, Heat and Hot Water Industry Council, Heat Pump Association, Builders Merchants Federation, National Homes Improvement Council, Association of Decentralised Energy",To discuss how BEIS can support the clean heat and energy efficiency industry during the pandemic
,,,
"*Meetings were conducted in line with Government requirements during the COVID-19 emergency. For larger meetings, a collective description may be applied.",,,
